,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
373,NYSE,INFA,Informatica Inc.,informatica,stock,['common'],1298574000.0,USD,24.72,100,1,false,0,USD,0.0,749824,8621727069.0,,-0.0259,-104.92395437262358,0.0,0.41527238543088557,2.0,Technology services,Technology Services,america
374,NYSE,J,Jacobs Solutions Inc.,jacobs-engineering,stock,['common'],1296007000.0,USD,147.32,100,1,false,0,USD,0.5322778763477557,427502,17610111733.161186,36.814353899592675,4.0017,-20.983729563225662,0.832537191210591,0.7237141479613534,1.470588,Technology services,Technology Services,america
375,NYSE,MO,"Altria Group, Inc.",altria,stock,['common'],1296000000.0,USD,67.68,100,1,false,0,USD,0.14797277300977885,5963164,113695025365.67268,13.079524591747996,5.1745,-10.747550710638883,6.03728913879846,0.7339896856298955,1.90625,Consumer non-durables,Consumer Non-Durables,america
376,NYSE,LMT,Lockheed Martin Corporation,lockheed-martin,stock,['common'],1293000000.0,USD,447.2,100,1,false,0,USD,0.269058295964123,1026288,104405573656.84665,25.178337171265618,17.7613,-35.54634626061902,2.92600896860987,0.6964967763827621,1.770833,Electronic technology,Electronic Technology,america
377,NYSE,BIPC,Brookfield Infrastructure Corporation,brookfield,stock,['common'],1279841644.2499998,USD,38.94,100,1,false,0,USD,-0.17944116893104406,465431,4634572147.771871,,-8.570807049999999,-203.18888748241216,4.28860280546327,0.8010204327493996,,Utilities,Utilities,america
378,NYSE,PHM,"PulteGroup, Inc.",pulte-group,stock,['common'],1267326000.0,USD,125.37,100,1,false,0,USD,-0.9246088193456627,1450109,24735197395.352776,9.372546967397561,13.3763,1.973714303139346,0.679626995416469,0.720626896286526,1.441176,Consumer durables,Consumer Durables,america
379,NASDAQ,DKNG,DraftKings Inc.,draftkings,stock,['common'],1266585000.0,USD,46.09,100,1,false,0,USD,0.9638554216867576,6845699,22882305934.6988,,-0.6526,25.151966968689077,0.0,0.6187185354550437,1.162162,Consumer services,Consumer Services,america
380,NYSE,SO,Southern Company (The),southern,stock,['common'],1265000000.0,USD,94.62,100,1,false,0,USD,-0.3265564099863081,3294411,104086481848.28653,24.430043117915883,3.8731,-7.671219814536691,3.05488254503318,0.630142738215454,1.690476,Utilities,Utilities,america
381,NYSE,DOV,Dover Corporation,dover,stock,['common'],1264893000.0,USD,177.41,100,1,false,0,USD,-0.7440975718921408,841925,24329025375.997204,10.69604799083592,16.5865,54.6627751927865,1.15251202864496,0.946644520857381,1.47619,Producer manufacturing,Producer Manufacturing,america
382,NYSE,CIEN,Ciena Corporation,ciena,stock,['common'],1253948000.0,USD,87.36,100,1,false,0,USD,0.831024930747921,1496080,12349840079.257618,121.68825741746761,0.7179,-30.864791987673346,0.0,0.9157991015609745,1.5,Electronic technology,Electronic Technology,america
383,NASDAQ,ITRI,"Itron, Inc.",itron,stock,['common'],1224257000.0,USD,123.41,100,1,false,0,USD,-1.0265458336674964,421525,5642050302.776405,21.079871549603716,5.8544,44.30011584629415,0.0,0.9327255966766402,1.230769,Electronic technology,Electronic Technology,america
384,NYSE,RMD,ResMed Inc.,resmed,stock,['common'],1222530000.0,USD,288.34,100,1,false,0,USD,-0.24908323531447701,907868,42217254810.58707,30.32572227889904,9.5081,37.36852750809063,0.733411748425932,0.9857655604218821,1.465517,Health technology,Health Technology,america
385,NASDAQ,TRIP,"TripAdvisor, Inc.",tripadvisor,stock,['common'],1212000000.0,USD,16.95,100,1,false,0,USD,-1.2237762237762286,1276616,1968464345.1660838,35.62421185372005,0.4758,214.47455386649045,0.0,0.32463268790487826,2.125,Consumer services,Consumer Services,america
386,NYSE,DDS,"Dillard's, Inc.",dillards,stock,['common'],1211800000.0,USD,506.8,100,1,false,0,USD,1.898021553804085,92008,7912651331.062409,13.97278780275982,36.2705,-10.728438027635159,0.201061605275857,0.5973641650321737,2.5,Retail trade,Retail Trade,america
387,NASDAQ,TSEM,Tower Semiconductor Ltd.,tower-semiconductor,stock,['common'],1207603000.0,USD,49.97,100,1,false,0,USD,-0.15984015984015643,978618,5584478332.3504505,28.72499425155208,1.7396,-60.782722395058386,0.0,0.9229904718501573,1.166667,Electronic technology,Electronic Technology,america
388,NASDAQ,BULL,Webull Corporation,webull,stock,['common'],1204223315.0,USD,14.27,100,1,false,0,USD,-0.4881450488145068,4886844,6917337853.011158,92.24305106658048,0.1547,-2.397476340694005,0.0,0.4041965760934435,,Technology services,Technology Services,america
389,NASDAQ,FSLR,"First Solar, Inc.",first-solar,stock,['common'],1202095000.0,USD,192.0,100,1,false,0,USD,-6.994768455725634,5222728,20591549071.575275,16.419237873708695,11.6936,4.446310223476659,0.0,1.2806514748267892,1.227273,Electronic technology,Electronic Technology,america
390,NASDAQ,EXC,Exelon Corporation,exelon,stock,['common'],1202000000.0,USD,44.64,100,1,false,0,USD,-0.5347593582887744,5169414,45085834354.10694,16.946321463822034,2.6342,8.644724903076797,3.47593582887701,0.8958699491642771,1.833333,Utilities,Utilities,america
391,NASDAQ,CRNX,"Crinetics Pharmaceuticals, Inc.",crinetics-pharmaceuticals,stock,['common'],1196860000.0,USD,29.4,100,1,false,0,USD,1.0656583018219277,1556000,2768774263.5613613,,-4.1125,-9.096455857385392,0.0,1.5977741240275243,1.138889,Health technology,Health Technology,america
392,NASDAQ,APP,Applovin Corporation,applovin,stock,['common'],1192608000.0,USD,418.76,100,1,false,0,USD,1.5471167369901535,5061503,141645539875.03232,62.21086565745101,6.7313,185.22457627118644,0.0,0.722742090576701,1.293103,Technology services,Technology Services,america
393,NASDAQ,OPEN,Opendoor Technologies Inc,opendoor,stock,['common'],1185000000.0,USD,3.6,100,1,false,0,USD,11.80124223602484,205090952,2649435009.31677,,-0.4256,27.59441987070432,0.0,0.842373623340025,2.277778,Finance,Finance,america
394,NASDAQ,RNA,"Avidity Biosciences, Inc.",avidity-biosciences,stock,['common'],1183144000.0,USD,44.66,100,1,false,0,USD,0.7216959855660648,1241345,5745657986.525484,,-3.5569,-20.454468488604423,0.0,0.39081658090296295,1.055556,Health technology,Health Technology,america
395,NASDAQ,VSAT,"ViaSat, Inc.",viasat,stock,['common'],1177492000.0,USD,26.615,100,1,false,0,USD,2.4836349634193287,1359575,3573406008.446668,,-4.6215,43.13959497034868,0.0,0.37817059918750795,1.555556,Electronic technology,Electronic Technology,america
396,NYSE,ETR,Entergy Corporation,entergy,stock,['common'],1175631000.0,USD,89.22,100,1,false,0,USD,-0.6790604475119665,1459567,39828616932.30391,22.207287933094385,4.0176,-3.9586919104991494,2.63275075141935,0.6139690970874676,1.411765,Utilities,Utilities,america
397,NYSE,CE,Celanese Corporation,celanese,stock,['common'],1173000000.0,USD,44.68,100,1,false,0,USD,-1.5642211940956177,1687297,4892626284.608063,,-14.8149,-184.25216105550498,1.74047146948667,0.47245768145929734,1.714286,Process industries,Process Industries,america
398,NYSE,XYL,Xylem Inc.,xylem,stock,['common'],1170000000.0,USD,140.22,100,1,false,0,USD,-1.1630365827870626,817637,34130904607.497147,36.44539169309144,3.8474,22.112546418256258,1.07140339747656,0.7942622588530832,1.4375,Producer manufacturing,Producer Manufacturing,america
399,NASDAQ,QRVO,"Qorvo, Inc.",qorvo,stock,['common'],1165478000.0,USD,89.07,100,1,false,0,USD,0.022459292532280767,829910,8252715787.390679,103.95658263305322,0.8568,,0.0,0.5582351881957718,1.844828,Electronic technology,Electronic Technology,america
400,NASDAQ,Z,"Zillow Group, Inc.",zillow-group,stock,['common'],1163000000.0,USD,81.4,100,1,false,0,USD,0.3699136868064259,1938284,19543985725.42047,,-0.2669,55.825885468387945,0.0,0.6202322035678861,1.616667,Technology services,Technology Services,america
401,NASDAQ,ANTA,Antalpha Platform Holding Company,antalpha-platform-company,stock,['common'],1158681568.0,USD,12.02,100,1,false,0,USD,4.978165938864631,36134,277662000.0,,,,0.0,1.283664486608808,1.0,Finance,Finance,america
402,NYSE,EXPD,"Expeditors International of Washington, Inc.",expeditors,stock,['common'],1156162000.0,USD,118.41,100,1,false,0,USD,-0.7376980467767705,859842,16070430208.50264,19.321204209839276,6.1285,31.583467525496516,1.25743985246039,0.7888742420828345,2.382353,Transportation,Transportation,america
403,NASDAQ,ILMN,"Illumina, Inc.",illumina,stock,['common'],1155000000.0,USD,99.29,100,1,false,0,USD,-1.4980158730158641,1257205,15260873158.588198,12.575199159035932,7.8957,,0.0,0.9075987704583408,1.730769,Health technology,Health Technology,america
404,NASDAQ,BEAM,Beam Therapeutics Inc.,beam-therapeutics,stock,['common'],1150337000.0,USD,16.01,100,1,false,0,USD,-0.31133250311330735,2485834,1619603973.89477,,-4.5089,-150.04991126885537,0.0,0.9440178991062296,1.15625,Health technology,Health Technology,america
405,NASDAQ,MPWR,"Monolithic Power Systems, Inc.",monolithic-power-system,stock,['common'],1146077000.0,USD,820.74,100,1,false,0,USD,-0.6692727558788257,413072,39306879606.19244,21.372546977209282,38.4016,356.74322347372055,0.680165079211396,0.7131872618986984,1.4,Electronic technology,Electronic Technology,america
406,NYSE,HIMS,"Hims & Hers Health, Inc.",hims-and-hers-health,stock,['common'],1144615000.0,USD,43.96,100,1,false,0,USD,1.3370216689718724,27665193,9935820784.023052,55.01877346683354,0.799,968.1818181818181,0.0,1.1418783979519453,1.78125,Health services,Health Services,america
407,NYSE,IP,International Paper Company,international-paper,stock,['common'],1135000000.0,USD,48.03,100,1,false,0,USD,2.16975111678367,4807855,25358980159.80855,,-0.0978,-107.50517995549076,3.93533290789194,1.3356546310776203,1.733333,Process industries,Process Industries,america
408,NASDAQ,HTZ,"Hertz Global Holdings, Inc",hertz,stock,['common'],1129000000.0,USD,5.37,100,1,false,0,USD,-2.5408348457350214,12538200,1668921930.0598915,,-8.2935,-212.9268384711165,0.0,1.0828925756780678,2.35,Finance,Finance,america
409,NYSE,GHC,Graham Holdings Company,graham-holdings,stock,['common'],1127496000.0,USD,1062.63,100,1,false,0,USD,-0.5000140453383446,40750,4632929815.384337,6.820365526868953,155.8025,425.88898452399036,0.66668539378447,1.1501454969334157,2.25,Consumer services,Consumer Services,america
410,NASDAQ,WIX,Wix.com Ltd.,wix,stock,['common'],1126996000.0,USD,126.8,100,1,false,0,USD,-0.09454774661204267,779929,7058724456.126694,45.63284989383524,2.7787,123.65582743077917,0.0,0.4413049715889721,1.185185,Technology services,Technology Services,america
411,NASDAQ,TPG,TPG Inc.,tpg-partners,stock,['common'],1125200000.0,USD,60.09,100,1,false,0,USD,0.8052340211373998,936368,22706285176.08757,,-0.1836,46.11094804813619,2.91897332662305,0.4080380312808182,1.538462,Finance,Finance,america
412,NASDAQ,PODD,Insulet Corporation,insulet,stock,['common'],1121600000.0,USD,327.85,100,1,false,0,USD,-1.5465465465465396,458691,23078191730.40601,99.77479533765484,3.2859,-40.327970072276905,0.0,0.5640139497514822,1.259259,Health technology,Health Technology,america
413,NYSE,TPR,"Tapestry, Inc.",tapestry,stock,['common'],1119600000.0,USD,98.39,100,1,false,0,USD,-0.485485991706285,2293389,20477284200.40619,155.38534428300696,0.6332,-81.92767645631761,1.41600080914332,0.40431238049972323,1.431818,Retail trade,Retail Trade,america
414,NYSE,KEN,Kenon Holdings Ltd.,kenon-ltd,stock,['common'],1119000000.0,USD,44.43,100,1,false,0,USD,0.3614185678789171,7561,2317035269.7838264,3.892008374431704,11.4157,,10.8425570363677,0.7127169210176553,,Utilities,Utilities,america
415,NYSE,CRCL,"Circle Internet Group, Inc.",circle-internet-group-inc,stock,['common'],1118651000.0,USD,131.8,100,1,false,0,USD,-4.361076844931421,4986545,30502201569.4,,,,0.0,0.32838332129919584,1.90625,Technology services,Technology Services,america
416,AMEX,SEB,Seaboard Corporation,seaboard,stock,['common'],1117000000.0,USD,3610.08,100,1,false,0,USD,2.026639384801477,5427,3462763548.683535,25.189000535167178,143.3197,-44.598625245174404,0.254354406124854,3.514896373056995,,Process industries,Process Industries,america
417,NYSE,NVST,Envista Holdings Corporation,envista-holdings,stock,['common'],1110600000.0,USD,20.46,100,1,false,0,USD,-1.2548262548262454,858540,3400077815.038611,65.28398213146139,0.3134,,0.0,0.4471958454654839,1.821429,Health technology,Health Technology,america
418,NASDAQ,CHYM,"Chime Financial, Inc.",chime-financial-inc,stock,['common'],1106862000.0,USD,26.18,100,1,false,0,USD,-1.4678208505833668,1632229,9731394825.4061,,-2.6046,-829.8821849339522,0.0,0.5357359074370357,1.428571,Technology services,Technology Services,america
419,NASDAQ,GTLB,GitLab Inc.,gitlab,stock,['common'],1104832000.0,USD,44.18,100,1,false,0,USD,1.0983981693363774,2777373,7298536397.316705,443.1293881644935,0.0997,,0.0,0.5629751174903236,1.233333,Technology services,Technology Services,america
420,NYSE,APTV,Aptiv PLC,aptiv,stock,['common'],1101000000.0,USD,74.37,100,1,false,0,USD,-1.0379241516966082,1679277,16194797502.659084,12.32127768849716,6.0359,-43.087614090669085,0.0,0.6395656911286914,1.479167,Producer manufacturing,Producer Manufacturing,america
421,NYSE,PAGS,PagSeguro Digital Ltd.,pagseguro-digital,stock,['common'],1099745320.95972,USD,8.38,100,1,false,0,USD,-0.11918951132300103,4122914,2762118788.526818,6.794227339062754,1.2334,5.3557700521055756,0.00166865315852205,0.8410982863330876,1.533333,Commercial services,Commercial Services,america
422,NYSE,UNP,Union Pacific Corporation,union-pacific,stock,['common'],1098000000.0,USD,225.3,100,1,false,0,USD,-0.16838000708968248,3435511,133611861459.24405,19.570032573289904,11.5125,8.150381873009605,2.37504431052818,0.8855670129135389,1.482759,Transportation,Transportation,america
423,NASDAQ,DUOL,"Duolingo, Inc.",duolingo,stock,['common'],1097883000.0,USD,345.52,100,1,false,0,USD,1.959395656279505,1319347,15832260714.134562,143.5897435897436,2.4063,73.60219320395352,0.0,0.4532809493487492,1.44,Technology services,Technology Services,america
424,NASDAQ,IAC,IAC Inc.,iac-interactivecorp,stock,['common'],1095571000.0,USD,35.36,100,1,false,0,USD,0.16997167138810845,705163,2834361146.334278,,-5.3014,-138.8018018018018,0.0,0.5081520820736057,1.233333,Technology services,Technology Services,america
425,NYSE,CYD,China Yuchai International Limited,china-yuchai-international-limited,stock,['common'],1093602260.87781,USD,30.91,100,1,false,0,USD,1.1122015047432119,151521,1159691321.351652,18.88325493310526,1.6369,39.01486199575372,1.73372587504089,0.3762645018687697,2.0,Producer manufacturing,Producer Manufacturing,america
426,NYSE,GDDY,GoDaddy Inc.,godaddy,stock,['common'],1086700000.0,USD,146.03,100,1,false,0,USD,-0.20501605959134242,1482441,20217710700.36363,26.02334491668894,5.6115,-55.11877149484123,0.0,0.48508102958938626,1.47619,Technology services,Technology Services,america
427,NYSE,NOV,NOV Inc.,national-oilwell-varco,stock,['common'],1080000000.0,USD,12.41,100,1,false,0,USD,1.8047579983593163,3602556,4608636340.327317,10.195530726256983,1.2172,-54.295584259537385,2.46103363412633,1.1740733820795157,1.645833,Industrial services,Industrial Services,america
428,NYSE,SYY,Sysco Corporation,sysco,stock,['common'],1071000000.0,USD,79.72,100,1,false,0,USD,-1.555939738206971,2048087,38644405409.804886,21.340043365366597,3.7357,-3.964112187973981,2.55618671276859,0.6528374495514834,1.5,Distribution services,Distribution Services,america
429,NYSE,KVUE,Kenvue Inc.,kenvue,stock,['common'],1070000000.0,USD,21.44,100,1,false,0,USD,-0.8784096162736834,8979431,41144855434.54832,29.126477380790657,0.7361,26.06610721013872,3.791030975497,0.514071986477928,1.775,Consumer non-durables,Consumer Non-Durables,america
430,NYSE,WHR,Whirlpool Corporation,whirlpool,stock,['common'],1068000000.0,USD,88.21,100,1,false,0,USD,1.3908045977011423,765563,4930445497.495058,,-2.6882,-127.82815734989647,8.04597701149425,0.6749121716630742,2.0,Consumer durables,Consumer Durables,america
431,NASDAQ,CZR,"Caesars Entertainment, Inc.",caesars,stock,['common'],1067000000.0,USD,25.0,100,1,false,0,USD,-0.8723235527359194,4986747,5199788142.347344,,-0.925,28.12742812742812,0.0,0.8305948435115401,1.275,Consumer services,Consumer Services,america
