,ticker,name,description,logoid,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
91,NASDAQ:MBX,MBX,"MBX Biosciences, Inc.",mbx-biosciences,stock,['common'],,11.26,100,1,false,0,USD,-7.401315789473687,335988,,-2.305,,0.0,Health technology,Health Technology,america,1.0,0.6246641845294159
92,NASDAQ:OMCC,OMCC,Old Market Capital Corporation,nicholas-financial,stock,['common'],,5.51,100,1,false,0,USD,-7.394957983193285,1844,,-0.7264,74.55780883331582,0.0,Finance,Finance,america,,2.1696670196493706
93,NYSE:UAN,UAN,"CVR Partners, LP",cvr-partners,stock,['common'],,89.48,100,1,false,0,USD,-7.3034289858075185,50466,10.7528690740852,8.3215,77.6769509981851,7.35522635450119,Process industries,Process Industries,america,,1.2481203751335523
94,NASDAQ:INTG,INTG,The Intergroup Corporation,the-intergroup,stock,['common'],,11.57,100,1,false,0,USD,-7.291666666666667,8160,,-3.481,45.1992254529998,0.0,Consumer services,Consumer Services,america,,1.9493084255034516
95,NASDAQ:PRME,PRME,"Prime Medicine, Inc.",prime-medicine,stock,['common'],,3.51,100,1,false,0,USD,-7.265521796565398,4740086,,-1.5985,24.896635970682205,0.0,Health technology,Health Technology,america,1.363636,1.0350189468353603
96,NASDAQ:ARTV,ARTV,"Artiva Biotherapeutics, Inc.",artiva-biotherapeutics,stock,['common'],,2.56,100,1,false,0,USD,-7.246376811594193,51648,,-3.0882,,0.0,Health technology,Health Technology,america,1.0,0.4273720688919009
97,NASDAQ:KYMR,KYMR,"Kymera Therapeutics, Inc.",kymera-therapeutics,stock,['common'],,37.68,100,1,false,0,USD,-7.237813884785815,1736904,,-3.0994,-23.886801502917915,0.0,Health technology,Health Technology,america,1.0,3.1529270473647735
98,NYSE:OEC,OEC,Orion S.A.,orion-engineered-carbons,stock,['common'],,9.77,100,1,false,0,USD,-7.217473884140549,977646,36.27924248050501,0.2693,-79.63089025035927,0.786324786324786,Process industries,Process Industries,america,1.6,1.495436807306982
99,AMEX:LUD,LUD,Luda Technology Group Limited,luda-technology-limited,stock,['common'],,4.94,100,1,false,0,USD,-7.1428571428571415,27506,,,,,Non-energy minerals,Non-Energy Minerals,america,,0.9348881947678074
100,NYSE:DOCS,DOCS,"Doximity, Inc.",doximity,stock,['common'],,61.83,100,1,false,0,USD,-7.134274556924002,2858724,53.077517383466386,1.1649,46.47302904564316,0.0,Technology services,Technology Services,america,1.55,1.2964678836984602
101,NASDAQ:MATH,MATH,Metalpha Technology Holding Limited,metalpha-technology-limited,stock,['common'],,2.76,100,1,false,0,USD,-7.070707070707084,238459,6.694154741692942,0.4123,,0.0,Transportation,Transportation,america,,0.8988446823347594
102,NYSE:KVYO,KVYO,"Klaviyo, Inc. Series A",klaviyo,stock,['common'],,30.07,100,1,false,0,USD,-7.047913446676973,2700115,,-0.2412,82.85226787999432,0.0,Technology services,Technology Services,america,1.142857,0.9353261629202965
103,NASDAQ:OBIO,OBIO,"Orchestra BioMed Holdings, Inc.",orchestra-biomed,stock,['common'],,2.52,100,1,false,0,USD,-7.011070110701105,379620,,-1.7718,-21.3229252259655,0.0,Health technology,Health Technology,america,1.071429,0.6762714962306442
104,NASDAQ:AARD,AARD,"Aardvark Therapeutics, Inc.",aardvark-therapeutics,stock,['common'],,11.15,100,1,false,0,USD,-7.005838198498749,73947,,-3.1577,,0.0,Health technology,Health Technology,america,1.0,2.7503496191383
105,NASDAQ:DOMH,DOMH,Dominari Holdings Inc.,dominari-holdings,stock,['common'],,5.33,100,1,false,0,USD,-6.980802792321122,317405,,-4.5367,-0.15011368904391134,0.0,Finance,Finance,america,,1.0636939558738172
106,NASDAQ:CLAR,CLAR,Clarus Corporation,black-diamond,stock,['common'],,3.21,100,1,false,0,USD,-6.956521739130441,201233,,-2.151,-1318.0067950169876,2.89855072463768,Consumer durables,Consumer Durables,america,1.666667,0.528430658132283
107,NASDAQ:UPXI,UPXI,"Upexi, Inc.",grove-inc,stock,['common'],,5.62,100,1,false,0,USD,-6.95364238410596,10273109,,,,0.0,Health technology,Health Technology,america,1.0,1.4277448221103446
108,NASDAQ:MEIP,MEIP,"MEI Pharma, Inc.",mei-pharma,stock,['common'],,4.83,100,1,false,0,USD,-6.936416184971105,946731,,-4.7521,-221.0602741121924,0.0,Health technology,Health Technology,america,,1.6144506937630392
109,NASDAQ:VBIX,VBIX,Viewbix Inc.,viewbix,stock,['common'],,4.16,100,1,false,0,USD,-6.935123042505585,15834,,-3.3207,-55.95266049875545,0.0,Electronic technology,Electronic Technology,america,,0.5300846649057438
110,NASDAQ:GRAN,GRAN,Grande Group Limited,,stock,['common'],,4.43,100,1,false,0,USD,-6.9327731092436995,267430,,,,0.0,Commercial services,Commercial Services,america,,3.2770593590967407
111,NYSE:CDRE,CDRE,"Cadre Holdings, Inc.",cadre-holdings,stock,['common'],,28.44,100,1,false,0,USD,-6.906710310965628,434658,30.580645161290324,0.93,-9.73502863243715,1.19476268412439,Electronic technology,Electronic Technology,america,1.285714,0.9521871312848342
112,NASDAQ:SNES,SNES,"SenesTech, Inc.",senestech,stock,['common'],,4.37,100,1,false,0,USD,-6.823027718550112,248519,,-5.4454,91.74338913148958,0.0,Process industries,Process Industries,america,1.0,1.1814519100263607
113,NASDAQ:PXLW,PXLW,"Pixelworks, Inc.",pixelworks,stock,['common'],,8.525,100,1,false,0,USD,-6.779661016949144,61498,,-6.382,-37.783630907403,0.0,Electronic technology,Electronic Technology,america,1.0,0.7826602660367851
114,NYSE:NSP,NSP,"Insperity, Inc.",insperity,stock,['common'],,49.85,100,1,false,0,USD,-6.770151486815032,668003,47.58949880668258,1.0475,-75.2557106748872,4.48849822330279,Commercial services,Commercial Services,america,2.0,0.6270391587950764
115,NASDAQ:SPAI,SPAI,Safe Pro Group Inc.,safe-pro,stock,['common'],,3.86,100,1,false,0,USD,-6.763285024154585,175439,,-0.7188,,0.0,Electronic technology,Electronic Technology,america,1.0,0.41078557100433005
116,NASDAQ:ECOR,ECOR,"electroCore, Inc.",electrocore,stock,['common'],,4.31,100,1,false,0,USD,-6.70995670995672,222084,,-1.7004,22.50831700314452,0.0,Health technology,Health Technology,america,1.0,2.050290671105437
117,NYSE:SRL,SRL,Scully Royalty Ltd.,scully-royalty-ltd,stock,['common'],,5.32,100,1,false,0,USD,-6.666666666666665,5294,,-1.0218,-1568.1034482758625,4.56140350877193,Non-energy minerals,Non-Energy Minerals,america,,1.8886906885479844
118,NASDAQ:JACK,JACK,Jack In The Box Inc.,jack-in-the-box,stock,['common'],,16.98,100,1,false,0,USD,-6.65200659703134,1318678,,-3.4409,-70.50195728655666,9.67564595931831,Consumer services,Consumer Services,america,1.944444,1.3376390332969847
119,NASDAQ:SBET,SBET,"SharpLink Gaming, Inc.",sharplink-gaming,stock,['common'],,22.335,100,1,false,0,USD,-6.626254180602009,112966808,,-9.083,98.90192283792561,0.0,Commercial services,Commercial Services,america,,2.704164859739824
120,NASDAQ:TSSI,TSSI,"TSS, Inc.",tss,stock,['common'],,18.825,100,1,false,0,USD,-6.575682382133992,3014265,52.55443886097152,0.3582,335.23693803159176,0.0,Technology services,Technology Services,america,,0.8372282271539906
121,NASDAQ:GALT,GALT,Galectin Therapeutics Inc.,galectin-therapeutics,stock,['common'],,3.88,100,1,false,0,USD,-6.506024096385553,315105,,-0.724,1.8038790180387874,0.0,Health technology,Health Technology,america,1.0,0.8813874401345752
122,NASDAQ:OPRX,OPRX,OptimizeRx Corporation,optimizerx,stock,['common'],,16.18,100,1,false,0,USD,-6.473988439306363,822893,,-0.5406,45.912956478239124,0.0,Technology services,Technology Services,america,1.142857,1.7270981251517703
123,NASDAQ:MBOT,MBOT,Microbot Medical Inc.,microbot-medical,stock,['common'],,2.89,100,1,false,0,USD,-6.472491909385105,2002587,,-0.6442,28.070567217507815,0.0,Health technology,Health Technology,america,1.0,0.8682500663136472
124,NYSE:CWAN,CWAN,"Clearwater Analytics Holdings, Inc.",clearwater-analytics,stock,['common'],,18.45,100,1,false,0,USD,-6.4401622718052725,8362324,11.66687745036044,1.5814,,0.0,Technology services,Technology Services,america,1.166667,1.5137011344589328
125,NYSE:HUBS,HUBS,"HubSpot, Inc.",hubspot,stock,['common'],,420.79,100,1,false,0,USD,-6.432891576981234,1994217,,-0.2261,58.68055555555556,0.0,Technology services,Technology Services,america,1.175676,1.8536373302384492
126,NASDAQ:SPRY,SPRY,"ARS Pharmaceuticals, Inc.",ars-pharmaceuticals,stock,['common'],,16.38,100,1,false,0,USD,-6.400000000000006,2294797,,-0.1627,68.6874518860662,0.0,Health technology,Health Technology,america,1.0,2.124282146657121
127,NASDAQ:SISI,SISI,"Shineco, Inc.",,stock,['common'],,6.15,100,1,false,0,USD,-6.392694063926939,71378,,-64.8322,75.29162741206206,0.0,Process industries,Process Industries,america,,0.15066172704125763
128,NASDAQ:MRVI,MRVI,"Maravai LifeSciences Holdings, Inc.",maravai-lifesciences,stock,['common'],,2.06,100,1,false,0,USD,-6.363636363636369,1731875,,-1.1486,-15.821316930523347,0.0,Health technology,Health Technology,america,1.5,1.065347615352964
129,NASDAQ:ZD,ZD,"Ziff Davis, Inc.",j2-global,stock,['common'],,34.35,100,1,false,0,USD,-6.352235550708829,817704,23.64562538721002,1.4527,-7.700616303450027,0.0,Technology services,Technology Services,america,1.5,1.0018538555134588
130,NASDAQ:GMM,GMM,Global Mofy AI Limited,global-mofy-ai-limited,stock,['common'],,2.51,100,1,false,0,USD,-6.350272367733764,29071,,,,0.0,Technology services,Technology Services,america,,0.9827658481176947
131,NASDAQ:CURI,CURI,CuriosityStream Inc.,curiositystream,stock,['common'],,4.14,100,1,false,0,USD,-6.334841628959281,799295,,-0.0863,88.03051317614424,3.28054298642534,Consumer services,Consumer Services,america,1.0,1.0028265759111095
132,NYSE:TWLO,TWLO,Twilio Inc.,twilio,stock,['common'],,92.44,100,1,false,0,USD,-6.313975879193275,7864272,758.9490968801313,0.1218,,0.0,Technology services,Technology Services,america,1.431034,1.8790472995805765
133,NASDAQ:INMB,INMB,INmune Bio Inc.,inmune-bio,stock,['common'],,2.4,100,1,false,0,USD,-6.250000000000005,751400,,-2.4955,-21.12313740717372,0.0,Health technology,Health Technology,america,1.5,0.17423678421875718
134,NASDAQ:MRNO,MRNO,Murano Global Investments PLC,murano-global-investments-plc,stock,['common'],,6.0,100,1,false,0,USD,-6.250000000000005,7349,,,,0.0,Consumer services,Consumer Services,america,,0.6253297254982045
