,exchange,name,description,logoid,type,typespecs,cash_n_short_term_invest_fq,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NYSE,BRK.A,Berkshire Hathaway Inc.,berkshire-hathaway,stock,['common'],344091000000.0,USD,727200.0,100,1,false,0,USD,1.273953075983948,428,1045629117121.3031,16.61479224046523,43768.2271,-7.203717980527366,0.0,1.1204188481675392,1.714286,Finance,Finance,america
1,NASDAQ,AMZN,"Amazon.com, Inc.",amazon,stock,['common'],96892000000.0,USD,228.01,100,1,false,0,USD,-1.503304678387843,29862838,2431706667761.682,34.79581247710902,6.5528,56.99465727497067,0.0,0.7252572565535732,1.135714,Retail trade,Retail Trade,america
2,NASDAQ,GOOG,Alphabet Inc.,alphabet,stock,['common'],95148000000.0,USD,202.49,100,1,false,0,USD,-0.8811003964951701,13461376,2443695849924.2485,21.56787559248016,9.3885,34.66972674460303,0.39649517842283,0.741845066990168,1.23913,Technology services,Technology Services,america
3,NASDAQ,MSFT,Microsoft Corporation,microsoft,stock,['common'],94565000000.0,USD,509.77,100,1,false,0,USD,-1.417520789015672,21467890,3789205109794.7974,37.368783720384705,13.6416,15.596003762361141,0.626571262811835,1.0740243669601257,1.1,Technology services,Technology Services,america
4,NASDAQ,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,stock,['common'],86717000000.0,USD,62.41,100,1,false,0,USD,-1.932746700188567,3854230,27787888642.36848,32.73194524571249,1.9067,20.853140647778407,0.420333123821496,0.9621575367301193,1.4,Finance,Finance,america
5,NYSE,SCHW,Charles Schwab Corporation (The),schwab,stock,['common'],58600000000.0,USD,95.76,100,1,false,0,USD,-0.42632837683268854,6777135,173825390948.47375,25.78143930215653,3.7143,54.33165745626793,1.08141832172195,0.8547238525103674,1.363636,Finance,Finance,america
6,NYSE,AXP,American Express Company,american-express,stock,['common'],57937000000.0,USD,306.1,100,1,false,0,USD,-0.3093958638658162,2215391,213009552292.2573,21.490957088294767,14.2432,6.257646742860547,0.990066764370624,0.9132304688295458,1.716667,Finance,Finance,america
7,NASDAQ,AAPL,Apple Inc.,apple,stock,['common'],55372000000.0,USD,230.56,100,1,false,0,USD,-0.1429252024773633,39352970,3421600228298.9614,35.049101577939254,6.5782,0.15682333774874735,0.437437740915588,0.5707423077241535,1.522222,Electronic technology,Electronic Technology,america
8,NASDAQ,NVDA,NVIDIA Corporation,nvidia,stock,['common'],53691000000.0,USD,175.64,100,1,false,0,USD,-3.499807702873471,184795533,4285615870657.8975,56.57593815429215,3.1045,81.60280783854927,0.0219768144607439,1.2736085382861455,1.2,Electronic technology,Electronic Technology,america
9,NASDAQ,META,"Meta Platforms, Inc.",meta-platforms,stock,['common'],47232000000.0,USD,751.48,100,1,false,0,USD,-2.0707090451802896,12258307,1887689494101.741,27.214914822111485,27.6128,40.97873535343221,0.267146226722442,1.148606410729248,1.235714,Technology services,Technology Services,america
10,NYSE,F,Ford Motor Company,ford,stock,['common'],37504000000.0,USD,11.58,100,1,false,0,USD,1.0471204188481607,58006576,46086783316.80628,14.776062268725278,0.7837,-17.574673958771562,6.54450261780105,0.9889997976053818,2.019231,Consumer durables,Consumer Durables,america
11,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],37341000000.0,USD,329.31,100,1,false,0,USD,-1.7454350161117145,75644219,1062172613434.3655,190.7053509381515,1.7268,-51.50391776897801,0.0,1.0026158384092478,1.794118,Consumer durables,Consumer Durables,america
12,NYSE,GM,General Motors Company,general-motors,stock,['common'],32282000000.0,USD,57.06,100,1,false,0,USD,1.4760803841365915,5987107,54325559957.0226,9.045369519038712,6.3082,-29.071937754390703,0.906989151698382,0.9678429382740302,1.612903,Consumer durables,Consumer Durables,america
13,NYSE,BA,Boeing Company (The),boeing,stock,['common'],22967000000.0,USD,225.0,100,1,false,0,USD,-3.188330966825867,9053635,170135488520.71768,,-16.5217,-193.5677606211908,0.0,1.5640237440606723,1.303571,Electronic technology,Electronic Technology,america
