,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
154,NASDAQ,HNRG,Hallador Energy Company,hallador-energy,stock,['common'],169.78653530377667,16.43,100,1,false,0,USD,1.107692307692306,356625,706658109.0,USD,,-4.6058,-2322.8300894266176,0.0,0.3723679342890803,Energy minerals,Energy Minerals,america,1.333333
155,NASDAQ,ATYR,"aTyr Pharma, Inc.",atyr-pharma,stock,['common'],169.10994764397904,5.14,100,1,false,0,USD,-0.3875968992248151,2111512,503651281.99999994,USD,,-0.7974,11.889502762430942,0.0,0.5111980671472458,Health technology,Health Technology,america,1.0
156,NYSE,UI,Ubiquiti Inc.,ubiquiti-networks,stock,['common'],167.575,535.15,100,1,false,0,USD,2.935236299986534,260220,32375888513.000004,USD,45.5020831561942,11.761,103.17871642048888,0.461636115332089,1.1350847714912349,Electronic technology,Electronic Technology,america,2.166667
157,NASDAQ,CPSH,CPS Technologies Corp.,cps-technologies,stock,['common'],164.96350364963502,3.63,100,1,false,0,USD,1.9662921348314562,153975,52729236.0,USD,,-0.1266,-132.7205882352941,0.0,1.2399339668223546,Producer manufacturing,Producer Manufacturing,america,
158,NASDAQ,PRZO,ParaZero Technologies Ltd.,parazero-technologies-ltd,stock,['common'],162.20614828209762,1.45,100,1,false,0,USD,-0.6849315068493157,357217,27207263.999999996,USD,,-0.268,-121.30470685383983,0.0,0.49017541461899183,Electronic technology,Electronic Technology,america,
159,NASDAQ,PGY,Pagaya Technologies Ltd.,pagaya-technologies-ltd,stock,['common'],160.6198034769463,34.48,100,1,false,0,USD,1.5611192930780382,2942313,2641458428.0,USD,,-3.8361,-95.26112185686655,0.0,0.747857604454134,Technology services,Technology Services,america,1.1
160,NASDAQ,SATS,EchoStar Corporation,echostar,stock,['common'],159.54081632653057,50.87,100,1,false,0,USD,70.24765729585006,46579050,14636134726.0,USD,,-1.1235,85.80973551923611,0.0,25.55254809303775,Communications,Communications,america,1.777778
161,NASDAQ,ADPT,Adaptive Biotechnologies Corporation,adaptive-biotechnologies,stock,['common'],158.58585858585857,12.8,100,1,false,0,USD,1.026045777426999,1205257,1949106279.0,USD,,-0.8141,44.47551493657072,0.0,0.6625832388551838,Health technology,Health Technology,america,1.142857
162,NASDAQ,MIND,"MIND Technology, Inc.",mind-technology,stock,['common'],158.55421686746988,10.73,100,1,false,0,USD,1.6098484848484842,137555,85511882.99999999,USD,54.57782299084435,0.1966,,0.0,0.7090763630215298,Industrial services,Industrial Services,america,1.0
163,AMEX,OPTT,"Ocean Power Technologies, Inc.",opt,stock,['common'],158.09999999999997,0.5162,10000,1,false,0,USD,1.1958439521662407,4060569,93249574.99999999,USD,,-0.1735,62.736254295532646,0.0,1.4001162071532671,Producer manufacturing,Producer Manufacturing,america,
