,exchange,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,market,sector
160,NYSE,ELV,"Elevance Health, Inc.",anthem,stock,['common'],493356268.8,USD,309.6,100,1,false,0,-0.1290322580645088,1593528,0.6884682832749863,69715201355.41936,USD,13.17732784561756,23.4949,-17.633716507332185,2.15483870967742,1.391304,Health services,america,Health Services
161,NYSE,HCA,"HCA Healthcare, Inc.",hca-healthcare,stock,['common'],484573929.94,USD,404.26,100,1,false,0,-1.4432688088156458,1198669,1.0012651667988692,94594210522.1809,USD,16.981361919844073,23.8061,11.701748294404144,0.672875323028914,1.518519,Health services,america,Health Services
162,NYSE,NKE,"Nike, Inc.",nike,stock,['common'],484116815.26000005,USD,76.18,100,1,false,0,-0.10490427484919787,6354907,0.7646447311128056,112510530603.92422,USD,35.27995183624323,2.1593,-42.05243807530258,2.05874639391555,1.657895,Consumer non-durables,america,Consumer Non-Durables
163,NYSE,CMG,"Chipotle Mexican Grill, Inc.",chipotle-mexican-grill,stock,['common'],480212632.68999994,USD,42.91,100,1,false,0,-0.371488274901332,11191159,0.6100718670366848,57537375360.95912,USD,37.92981525678423,1.1313,10.857422831945126,0.0,1.302632,Consumer services,america,Consumer Services
164,NYSE,RCL,Royal Caribbean Cruises Ltd.,royal-caribbean-cruises,stock,['common'],478806893.47999996,USD,325.03,100,1,false,0,-1.2427078269324356,1473116,0.7376855154260529,88287135404.41148,USD,24.497840620454184,13.2677,47.996073575834636,0.744409333981526,1.388889,Consumer services,america,Consumer Services
165,NYSE,KEY,KeyCorp,keycorp,stock,['common'],477097706.24999994,USD,18.15,100,1,false,0,-0.3841931942919884,26286375,1.1886829984991272,19901762275.052135,USD,,-0.0678,-108.83272537780093,4.50054884742042,1.557692,Finance,america,Finance
166,NASDAQ,PYPL,"PayPal Holdings, Inc.",paypal,stock,['common'],475516874.0,USD,67.55,100,1,false,0,-0.7784958871915411,7039480,0.7160309434065824,64535809746.2096,USD,14.462190631155263,4.6708,13.149224806201543,0.0,1.666667,Commercial services,america,Commercial Services
167,NYSE,VRT,"Vertiv Holdings, LLC",vertiv-holdings,stock,['common'],473955645.86,USD,126.58,100,1,false,0,-0.7527050337149191,3744317,0.5988424351356533,48336683271.41351,USD,60.47200458627938,2.0932,62.80625340281557,0.107809314724792,1.310345,Electronic technology,america,Electronic Technology
168,NYSE,MS,Morgan Stanley,morgan-stanley,stock,['common'],470927400.84,USD,144.04,100,1,false,0,-0.05550929780739142,3269421,0.7114818890460544,229936185480.85815,USD,16.320333567495297,8.8258,45.304576885083954,2.61934499028587,1.722222,Finance,america,Finance
169,NYSE,GTLS,"Chart Industries, Inc.",chart-industries,stock,['common'],467729870.4,USD,197.6,100,1,false,0,-0.32786885245901926,2367054,0.680726135025261,8881212594.885246,USD,36.631938007489524,5.3942,152.4901703800786,0.0,1.875,Producer manufacturing,america,Producer Manufacturing
