,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
0,NASDAQ,GXAI,Gaxos.ai Inc.,gaxosai,stock,['common'],2835.827478373418,2.06,100,1,false,0,USD,87.27272727272725,250649149,14674314.490909088,USD,,-1.005,69.47237325719146,0.0,,Technology services,Technology Services,america
1,NASDAQ,PRFX,PainReform Ltd.,painreform,stock,['common'],2402.9639409744714,2.37,100,1,false,0,USD,76.86567164179104,165073290,4771144.276119403,USD,,,,0.0,,Health technology,Health Technology,america
2,NASDAQ,TLPH,"Talphera, Inc.",acelrx-pharmaceuticals,stock,['common'],446.41312953286604,0.448,10000,1,false,0,USD,3.583815028901737,60333538,9194149.142196534,USD,,-0.3989,36.972665507979144,0.0,1.0,Health technology,Health Technology,america
3,NASDAQ,PWM,Prestige Wealth Inc.,prestige-wealth,stock,['common'],278.92144231932946,0.4079,10000,1,false,0,USD,4.536135315222961,14288755,12906754.656073807,USD,,,,0.0,,Finance,Finance,america
4,NASDAQ,FLNT,"Fluent, Inc.",fluent,stock,['common'],171.36540447769661,2.28,100,1,false,0,USD,3.1674208144796308,3334925,47125748.14479638,USD,,-1.808,33.404545287119234,0.0,2.0,Technology services,Technology Services,america
5,NASDAQ,PSIG,PS International Group Ltd.,ps-international-ltd,stock,['common'],159.01718783268845,0.3891,10000,1,false,0,USD,-2.0639315378806913,6497490,10107626.118046816,USD,,,,0.0,,Transportation,Transportation,america
6,NASDAQ,CISS,C3is Inc.,c3is,stock,['common'],150.0289281260435,3.45,100,1,false,0,USD,4.5454545454545565,4403139,2693649.181818182,USD,,-37.5449,-101.53784304087819,0.0,,Transportation,Transportation,america
7,NASDAQ,VELO,"Velo3D, Inc.",velo3d,stock,['common'],142.03755095537173,3.36,100,1,false,0,USD,-66.58378915962209,2139398,47266970.84745762,USD,,-52.743,78.50646786484052,0.0,,Producer manufacturing,Producer Manufacturing,america
8,AMEX,NBY,"NovaBay Pharmaceuticals, Inc.",novabay-pharma,stock,['common'],131.4481411643124,0.6,10000,1,false,0,USD,-3.676352544549692,6817663,3494098.8922780543,USD,,-1.8638,96.11529475029128,0.0,,Health technology,Health Technology,america
9,NASDAQ,GLE,Global Engine Group Holding Limited,global-engine-limited,stock,['common'],122.38469698537783,0.7099,10000,1,false,0,USD,-0.9902370990237093,13244374,16285106.0,USD,157.75555555555556,0.0045,-61.20689655172414,0.0,,Technology services,Technology Services,america
10,NASDAQ,LASE,Laser Photonics Corporation,laser-photonics,stock,['common'],121.07320270171036,3.92,100,1,false,0,USD,59.34959349593496,131568966,55962511.18699188,USD,,-0.3292,66.8512737891451,0.0,,Electronic technology,Electronic Technology,america
11,NASDAQ,MASK,3 E Network Technology Group Ltd,3-e-network-technology-ltd,stock,['common'],58.13191458127156,0.82,10000,1,false,0,USD,-7.396950875211745,2296728,9184000.000000002,USD,4.772991850989523,0.1718,12.140992167101832,0.0,,Technology services,Technology Services,america
12,NASDAQ,IVDA,"Iveda Solutions, Inc.",iveda-solutions,stock,['common'],57.99105475371841,1.52,100,1,false,0,USD,-14.366197183098587,2422008,4418223.81971831,USD,,-1.3789,21.201211497799875,0.0,,Electronic technology,Electronic Technology,america
13,NASDAQ,VCIG,VCI Global Limited,vci-global-limited,stock,['common'],48.0034761682358,0.9849,10000,1,false,0,USD,15.87058823529412,90097446,30631712.083411764,USD,,,,0.0,,Commercial services,Commercial Services,america
14,NASDAQ,IINN,Inspira Technologies Oxy B.H.N. Ltd.,inspira-technologies-oxy,stock,['common'],34.712702218589136,1.23,100,1,false,0,USD,-1.2048192771084436,9214886,31511709.855421685,USD,,-0.597,39.23045602605863,0.0,1.0,Health technology,Health Technology,america
15,NASDAQ,BINI,"Bollinger Innovations, Inc.",mullen-automotive,stock,['common'],28.045853233610558,0.5919,10000,1,false,0,USD,19.817813765182184,184669623,2725661.158299595,USD,,-7600422638.9732,99.50616896260168,0.0,,Technology services,Technology Services,america
16,NASDAQ,LMFA,"LM Funding America, Inc.",lm-funding,stock,['common'],22.23365879840579,1.41,100,1,false,0,USD,-42.91497975708503,4867337,7285110.93522267,USD,,-4.295,3.895638942963911,0.0,1.0,Commercial services,Commercial Services,america
17,NYSE,JACS,Jackson Acquisition Company II,jackson-acquisition-company-ii,stock,['common'],21.419557635829666,10.34,100,1,false,0,USD,0.14527845036320164,746840,276468266.1501211,USD,62.1021021021021,0.1665,,0.0,,Finance,Finance,america
18,NASDAQ,UBXG,U-BX Technology Ltd.,u-bx-technology-ltd,stock,['common'],20.295047310194782,3.73,100,1,false,0,USD,16.00783752682487,395518,77524856.88427207,USD,,-0.1368,-27.85046728971963,0.0,,Commercial services,Commercial Services,america
19,NASDAQ,YSXT,"YSX Tech. Co., Ltd",ysx-tech-co-ltd,stock,['common'],19.792259420867534,2.65,100,1,false,0,USD,37.30569948186528,5610967,62109375.0,USD,14.763231197771589,0.1795,,0.0,,Finance,Finance,america
20,AMEX,SBEV,"Splash Beverage Group, Inc. (NV)",splash-beverage-nv,stock,['common'],17.990684208683064,1.5201,100,1,false,0,USD,-3.1783439490445895,1541100,3258304.3352866243,USD,,-48.5343,-151.46263367321563,0.0,,Health services,Health Services,america
21,AMEX,NTIP,"Network-1 Technologies, Inc.",network-1-technologies,stock,['common'],17.928233426329825,1.4,100,1,false,0,USD,2.1897810218977956,116313,31909977.22627737,USD,,-0.0991,-20.559610705596107,7.2992700729927,,Commercial services,Commercial Services,america
22,NASDAQ,SGLY,Singularity Future Technology Ltd.,singularity-future-technology,stock,['common'],16.077311683302444,1.0471,10000,1,false,0,USD,12.591397849462352,170897,4401476.96860215,USD,,-1.0458,77.5405892964522,0.0,,Transportation,Transportation,america
