,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
672,NASDAQ,ATHR,"Aether Holdings, Inc.",aether,stock,['common'],9.756097560975618,8.95,100,1,false,0,USD,2.4027459954233303,19612,108306393.34999998,USD,,-0.1102,-130.5439330543933,0.0,0.3928740987954558,,Technology services,Technology Services,america
673,NASDAQ,VIVK,"Vivakor, Inc.",vivakor,stock,['common'],9.75325554469107,0.86,10000,1,false,0,USD,1.176470588235295,100406,40675720.49411765,USD,,-0.7521,-53.961105424769706,0.0,0.30193188775540886,,Process industries,Process Industries,america
674,NASDAQ,HAO,Haoxi Health Technology Limited,haoxi-health-technology-limited,stock,['common'],9.734513274336294,1.1592,100,1,false,0,USD,-2.588235294117642,23760,22490328.924,USD,3.4936708860759498,0.3318,,0.0,2.9580936729664478,,Commercial services,Commercial Services,america
675,NASDAQ,PSKY,Paramount Skydance Corporation,,stock,['common'],9.729334308705194,14.38,100,1,false,0,USD,-4.133333333333328,26039092,15309714746.393335,USD,,-0.0253,99.70087491132655,1.33333333333333,0.6298165838559591,2.240741,Commercial services,Commercial Services,america
676,NASDAQ,INEO,INNEOVA Holdings Limited,sag-limited,stock,['common'],9.729334308705191,0.856,10000,1,false,0,USD,-3.787793638305054,44193,8452999.999999998,USD,,,,0.0,1.240794346472301,,Distribution services,Distribution Services,america
677,NYSE,ZIP,"ZipRecruiter, Inc.",ziprecruiter,stock,['common'],9.705159705159694,4.41,100,1,false,0,USD,1.6129032258064582,2177774,384194049.2419355,USD,,-0.3723,-229.766469153015,0.0,1.3364678741579394,1.875,Technology services,Technology Services,america
678,NASDAQ,ACET,"Adicet Bio, Inc.",adicet-bio,stock,['common'],9.704212020823471,0.6498,10000,1,false,0,USD,-5.276967930029156,830079,54098308.06268222,USD,,-1.3042,48.452630330816966,0.0,1.1916709268436803,1.142857,Health technology,Health Technology,america
679,NYSE,QXO,"QXO, Inc.",qxo,stock,['common'],9.700657793467213,21.02,100,1,false,0,USD,-0.18993352326685256,8902830,14090407164.7189,USD,,-0.9603,48.10030805815273,0.0,1.4447752396854538,1.055556,Distribution services,Distribution Services,america
680,NASDAQ,LITM,Snow Lake Resources Ltd.,snow-lake-resources-ltd,stock,['common'],9.693877551020405,4.19,100,1,false,0,USD,-2.5581395348837077,459409,32779879.374418605,USD,,,,0.0,1.9162034055531256,,Process industries,Process Industries,america
681,NASDAQ,ATGL,Alpha Technology Group Limited,alpha-technology-limited,stock,['common'],9.691154528888283,18.4,100,1,false,0,USD,1.2658227848101091,2864,280829997.97468346,USD,,,,0.0,1.010086760245468,,Technology services,Technology Services,america
682,NASDAQ,IBG,Innovation Beverage Group Limited,innovation-beverage-limited,stock,['common'],9.672131147540993,0.6425,10000,1,false,0,USD,-3.8893044128646257,297761,5963129.480179506,USD,,,,0.0,0.532930772926005,,Consumer non-durables,Consumer Non-Durables,america
683,NASDAQ,DKI,DarkIris Inc.,,stock,['common'],9.666666666666663,3.88,100,1,false,0,USD,7.4792243767313025,628724,,USD,,,,,,,Miscellaneous,Miscellaneous,america
684,NASDAQ,SHLS,"Shoals Technologies Group, Inc.",shoals-technologies-group,stock,['common'],9.6629213483146,4.59,100,1,false,0,USD,-5.942622950819673,7935676,768194817.4549181,USD,36.342042755344416,0.1263,-7.742878013148283,0.0,1.2937822388857105,1.421053,Electronic technology,Electronic Technology,america
685,NASDAQ,ZVRA,"Zevra Therapeutics, Inc.",kempharm,stock,['common'],9.655997120731886,8.9,100,1,false,0,USD,-5.620360551431594,3390875,499602316.38388133,USD,,-0.0544,96.75746557787447,0.0,2.117196748150631,1.0,Health technology,Health Technology,america
686,AMEX,GRO,Brazil Potash Corp.,brazil-potash,stock,['common'],9.655172413793112,1.51,100,1,false,0,USD,-4.430379746835446,257913,58004747.4,USD,,-2.4671,,0.0,1.435324339681128,,Non-energy minerals,Non-Energy Minerals,america
687,NASDAQ,TGL,Treasure Global Inc.,treasure-global,stock,['common'],9.649122807017553,1.17,100,1,false,0,USD,-3.305785123966945,677913,4455175.314049587,USD,,-63.2225,95.03096212236962,0.0,1.396930109706057,,Commercial services,Commercial Services,america
688,NASDAQ,MCHX,"Marchex, Inc.",marchex,stock,['common'],9.63855421686748,1.81,100,1,false,0,USD,0.22148394241417518,41467,79462137.93466222,USD,,-0.107,6.304728546409806,0.0,0.4840176252589804,1.0,Commercial services,Commercial Services,america
