,ticker,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
106,NASDAQ:AUID,AUID,authID Inc.,ipsidy,stock,['common'],51086211.13636363,USD,3.8,100,1,false,0,USD,7.954545454545449,50191,,-1.5349,91.63186531604714,0.0,Electronic technology,Electronic Technology,america,,0.893827389146418
107,NASDAQ:CRWV,CRWV,"CoreWeave, Inc.",coreweave,stock,['common'],68219853478.80356,USD,139.78,100,1,false,0,USD,7.896565032805858,19374703,,,,0.0,Technology services,Technology Services,america,1.86,1.4584638960817666
108,NASDAQ:PRE,PRE,Prenetics Global Limited,prenetics-global-limited,stock,['common'],104271845.82210243,USD,8.0,100,1,false,0,USD,7.816711590296498,20266,,-3.8024,30.701658465463826,0.0,Finance,Finance,america,1.0,0.6337799126856056
109,NASDAQ:WETO,WETO,Webus International Limited,webus-international-limited,stock,['common'],45540000.0,USD,2.07,100,1,false,0,USD,7.812499999999996,172173,,-0.0168,86.24078624078625,0.0,Transportation,Transportation,america,,0.5007515359370291
110,NASDAQ:TWST,TWST,Twist Bioscience Corporation,twist-bioscience,stock,['common'],1667772389.00078,USD,27.63,100,1,false,0,USD,7.7613104524180905,2548166,,-1.4518,61.93896812080537,0.0,Health technology,Health Technology,america,1.4,1.2600467719858028
111,NASDAQ:CHCI,CHCI,"Comstock Holding Companies, Inc.",comstock-holding-companies,stock,['common'],148502173.61212566,USD,14.75,100,1,false,0,USD,7.742878013148287,28923,9.430343328431686,1.5641,88.96943336957835,0.0,Consumer durables,Consumer Durables,america,,3.3462139179730435
112,NASDAQ:LRHC,LRHC,La Rosa Holdings Corp.,,stock,['common'],5475696.857707512,USD,5.45,100,1,false,0,USD,7.707509881422937,49005,,-517.7648,-560.0034672295816,0.0,Finance,Finance,america,,0.0757538751109913
113,NASDAQ:FTLF,FTLF,"FitLife Brands, Inc.",fitlife-brands,stock,['common'],146782464.5743802,USD,15.63,100,1,false,0,USD,7.644628099173563,22242,17.22124283825474,0.9076,22.714981070849095,0.0,Health technology,Health Technology,america,1.0,0.7866535569529819
114,NASDAQ:ARTW,ARTW,"Art's-Way Manufacturing Co., Inc.",arts-way,stock,['common'],21658277.279187813,USD,4.24,100,1,false,0,USD,7.61421319796955,126452,13.947368421052632,0.304,,0.0,Producer manufacturing,Producer Manufacturing,america,,1.7722750213384422
115,NASDAQ:SNWV,SNWV,"SANUWAVE Health, Inc.",sanuwave-health,stock,['common'],366196501.666499,USD,42.74,100,1,false,0,USD,7.494969818913491,139561,,-8.6366,-136.9437585733882,0.0,Health technology,Health Technology,america,1.0,3.175658917198178
116,NASDAQ:CRGO,CRGO,Freightos Limited,freightos-limited,stock,['common'],166642318.82903224,USD,3.33,100,1,false,0,USD,7.419354838709677,98020,,,,0.0,Technology services,Technology Services,america,1.0,0.9476867625504202
117,NYSE:IONQ,IONQ,"IonQ, Inc.",ionq,stock,['common'],13339888832.385662,USD,44.94,100,1,false,0,USD,7.3835125448028585,35559513,,-2.0174,-154.69006438580985,0.0,Electronic technology,Electronic Technology,america,1.4375,1.7089121445413458
118,NASDAQ:BETR,BETR,Better Home & Finance Holding Company,better-home-and-finance-company,stock,['common'],212558701.69585255,USD,13.98,100,1,false,0,USD,7.373271889400929,28184,,-13.208,70.19250299022816,0.0,Finance,Finance,america,,0.8807197252594449
119,NASDAQ:BLDE,BLDE,"Blade Air Mobility, Inc.",blade-urban-air-mobility,stock,['common'],345572403.03045684,USD,4.23,100,1,false,0,USD,7.360406091370571,1606719,,-0.2381,63.369230769230775,0.0,Transportation,Transportation,america,1.0,0.5642453533274772
120,NASDAQ:WULF,WULF,TeraWulf Inc.,terawulf,stock,['common'],2076753767.4751492,USD,5.4,100,1,false,0,USD,7.355864811133203,52980901,,-0.3438,-77.9503105590062,0.0,Technology services,Technology Services,america,1.083333,1.6305466160071609
121,NASDAQ:JSPR,JSPR,"Jasper Therapeutics, Inc.",jasper-therapeutics,stock,['common'],39508183.11428571,USD,2.63,100,1,false,0,USD,7.346938775510193,284964,,-5.25,6.285143071348245,0.0,Health technology,Health Technology,america,1.4,0.8902913182506221
122,NASDAQ:SRDX,SRDX,"Surmodics, Inc.",surmodics,stock,['common'],543372100.4236091,USD,38.0,100,1,false,0,USD,7.314317989268579,373962,,-1.2368,-1156.910569105691,0.0,Health technology,Health Technology,america,2.0,1.241574117388485
123,NYSE:BYON,BYON,"Beyond, Inc.",overstock,stock,['common'],488524840.0063052,USD,8.51,100,1,false,0,USD,7.313997477931905,2335887,,-4.0697,45.7076535172561,0.0,Retail trade,Retail Trade,america,1.714286,0.7037653084644707
124,NASDAQ:HIT,HIT,"Health In Tech, Inc.",health-in-tech,stock,['common'],114308727.96000001,USD,2.66,100,1,false,0,USD,7.258064516129038,2579021,109.01639344262296,0.0244,-28.445747800586503,0.0,Technology services,Technology Services,america,1.0,2.1311398059298585
125,NASDAQ:SLNG,SLNG,"Stabilis Solutions, Inc.",stabilis,stock,['common'],90193917.30961326,USD,4.8501,100,1,false,0,USD,7.18453038674033,1394,101.04375,0.048,-67.10075394105552,0.0,Energy minerals,Energy Minerals,america,1.0,0.15802480331920105
126,NASDAQ:INVA,INVA,"Innoviva, Inc.",innoviva,stock,['common'],1238362958.5714283,USD,19.65,100,1,false,0,USD,7.142857142857135,1655019,59.22242314647378,0.3318,-79.9274047186933,0.0,Health technology,Health Technology,america,1.0,2.2035022102005137
127,AMEX:ZONE,ZONE,CleanCore Solutions Inc.,cleancore-solutions,stock,['common'],35700955.77,USD,4.21,100,1,false,0,USD,7.124681933842234,38658,,-0.4502,,0.0,Distribution services,Distribution Services,america,,1.5902228730799925
128,NASDAQ:PLBL,PLBL,Polibeli Group Ltd,,stock,['common'],102663150.0,USD,11.49,100,1,false,0,USD,7.0829450139794945,101876,,-0.0587,,0.0,Finance,Finance,america,,
129,NYSE:NPWR,NPWR,NET Power Inc.,net-power-redeemable,stock,['common'],630913155.9256505,USD,2.88,100,1,false,0,USD,7.063197026022302,1213789,,-2.0452,6.278068004765832,0.0,Producer manufacturing,Producer Manufacturing,america,1.4,0.7915802695297203
130,NASDAQ:CYRX,CYRX,"CryoPort, Inc.",cryoport,stock,['common'],405610094.6044974,USD,8.09,100,1,false,0,USD,7.010582010582015,1061286,6.072661762498123,1.3322,,0.0,Transportation,Transportation,america,1.1,0.6776270494051099
131,NYSE:ALB,ALB,Albemarle Corporation,albemarle,stock,['common'],9504073849.00318,USD,80.76,100,1,false,0,USD,6.99523052464229,12469177,,-9.3269,-97.24442752611766,2.14626391096979,Process industries,Process Industries,america,1.851852,2.265334917900715
132,NASDAQ:IMCC,IMCC,IM Cannabis Corp.,im-cannabis,stock,['common'],9040373.84671533,USD,2.93,100,1,false,0,USD,6.934306569343063,102302,,-1.4667,69.69440254561233,0.0,Process industries,Process Industries,america,,2.1684351538223465
133,NYSE:LMND,LMND,"Lemonade, Inc.",lemonade,stock,['common'],3869431442.6727233,USD,52.37,100,1,false,0,USD,6.921192323397307,3461270,,-2.8222,4.947627227105858,0.0,Finance,Finance,america,2.4,0.8627780637554969
