,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
0,NASDAQ,ELAB,PMGC Holdings Inc.,pmgc,stock,['common'],4989.044775743377,2.37,100,1,false,0,USD,25.396825396825406,158421130,3519039.9523809524,USD,,,,0.0,,Health technology,Health Technology,america
1,NASDAQ,NXL,"Nexalin Technology, Inc.",nexalin-technology,stock,['common'],539.2220125000134,1.02,100,1,false,0,USD,39.726027397260275,50479754,17766290.1369863,USD,,-0.6887,5.150805674149565,0.0,1.0,Health technology,Health Technology,america
2,NASDAQ,OSRH,"OSR Holdings, Inc.",osr,stock,['common'],195.40923225412763,0.515,10000,1,false,0,USD,9.087057826731623,29396935,11116459.902563015,USD,,-1.9568,-4615.180722891566,0.0,,Health technology,Health Technology,america
3,NASDAQ,EEIQ,EpicQuest Education Group International Limited,epicquest-education-international-limited,stock,['common'],157.55280510895736,1.24,100,1,false,0,USD,128.44509948415626,205934861,7117830.0,USD,,-0.2322,61.57537646864141,0.0,,Commercial services,Commercial Services,america
4,NASDAQ,TCRT,"Alaunos Therapeutics, Inc.",alaunos-therapeutics,stock,['common'],148.62356972244532,1.77,100,1,false,0,USD,-6.3492063492063435,5699595,3885045.111111111,USD,,-2.4643,79.37737980668648,0.0,,Health technology,Health Technology,america
5,NASDAQ,MODV,ModivCare Inc.,modivcare,stock,['common'],135.177101641024,1.07,100,1,false,0,USD,91.07142857142857,307551008,8038138.999999999,USD,,-16.0922,-2.378104641693795,0.0,2.0,Transportation,Transportation,america
6,NASDAQ,MOVE,Movano Inc.,movano,stock,['common'],83.16453268914523,0.735,10000,1,false,0,USD,23.01255230125522,3990043,5172161.171548117,USD,,-4.1956,56.729886657797316,0.0,,Technology services,Technology Services,america
7,NASDAQ,LIMN,"Liminatus Pharma, Inc.",liminatus-pharma,stock,['common'],69.41091337729951,3.41,100,1,false,0,USD,22.661870503597136,35648869,92290395.16906476,USD,,-0.2868,-46.02851323828921,0.0,,Health technology,Health Technology,america
8,NASDAQ,HTCR,"Heartcore Enterprises, Inc.",heartcore-enterprises,stock,['common'],60.67434207728299,0.725,10000,1,false,0,USD,17.12439418416801,10699720,16900308.25,USD,,-0.0128,96.8395061728395,3.23101777059774,,Technology services,Technology Services,america
9,NASDAQ,AKAN,Akanda Corp.,akanda-corp,stock,['common'],49.972449513434256,1.26,100,1,false,0,USD,-3.8167938931297747,4594482,2867638.809160305,USD,,-6.4704,98.87099971244552,0.0,,Process industries,Process Industries,america
