,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
0,NASDAQ,MODV,ModivCare Inc.,modivcare,stock,['common'],0.6174,-1.2326000000000001,-66.62702702702703,1213458,-18.918918918918923,0.56,-69.72972972972973,20566691,26554567.0,-90.647604263418,10000,1,false,0,USD,USD
1,NASDAQ,STFS,Star Fashion Culture Holdings Limited,star-fashion-culture-limited,stock,['common'],0.25,-0.185,-42.5287356321839,1363353,-19.540229885057474,0.1999,-54.04597701149425,19965774,6068250.0,,10000,1,false,0,USD,USD
2,NASDAQ,SUGP,SU Group Holdings Limited,su-ltd,stock,['common'],0.4107,-0.16929999999999995,-29.189655172413786,53270,-30.67241379310344,0.404,-30.344827586206886,523080,5594390.0,-67.98200598326946,10000,1,false,0,USD,USD
3,NASDAQ,GWAV,"Greenwave Technology Solutions, Inc.",greenwave-technology-solutions,stock,['common'],0.1198,-0.04589999999999998,-27.70066385033192,524537,-27.459263729631857,0.0902,-45.564272782136385,23271369,5517489.362703682,1.0656053102763903,10000,1,false,0,USD,USD
4,NASDAQ,NCT,Intercont (Cayman) Limited,intercont-cayman-limited,stock,['common'],1.52,-0.45999999999999996,-23.232323232323232,31374,-23.737373737373737,1.56,-21.21212121212121,248197,41613001.56,,100,1,false,0,USD,USD
5,NASDAQ,IVVD,"Invivyd, Inc.",adagio,stock,['common'],0.49,-0.14380000000000004,-22.688545282423483,226673,-16.23540549069107,0.5279,-16.708740927737455,4195692,63423394.414799616,-36.00060854205154,10000,1,false,0,USD,USD
6,NASDAQ,OP,OceanPal Inc.,oceanpal,stock,['common'],0.0789,-0.023099999999999996,-22.64705882352941,9366393,1.3725490196078554,0.0806,-20.980392156862735,67208025,11074457.384313727,0.6101573225588336,10000,1,false,0,USD,USD
7,NYSE,COTY,Coty Inc.,coty,stock,['common'],3.8001,-1.0599000000000003,-21.808641975308646,1547409,-19.341563786008237,3.81,-21.604938271604944,44709680,3323424675.0061727,-47.58633321722248,100,1,false,0,USD,USD
8,NASDAQ,ELPW,Elong Power Holding Limited,elong-power-limited,stock,['common'],0.318,-0.08660000000000001,-21.403855659911024,1635238,-13.593672763222933,0.3149,-22.17004448838359,9656138,15762669.734799804,51.17593963316121,10000,1,false,0,USD,USD
9,NASDAQ,CSIQ,Canadian Solar Inc.,canadian-solar,stock,['common'],10.5,-2.25,-17.647058823529413,209948,1.2549019607843148,10.385,-18.54901960784314,6229295,695506756.3835293,-13.574034155955834,100,1,false,0,USD,USD
10,NASDAQ,ADD,"Color Star Technology Co., Ltd.",color-star-technology-co-ltd,stock,['common'],0.0613,-0.011699999999999995,-16.02739726027397,6663795,-10.821917808219165,0.0605,-17.123287671232873,46170264,1783815.1506849318,-97.91896135747885,10000,1,false,0,USD,USD
11,NASDAQ,EWTX,"Edgewise Therapeutics, Inc.",edgewise-therapeutics,stock,['common'],11.71,-2.129999999999999,-15.390173410404618,100,-15.390173410404618,14.62,5.635838150289012,769129,1540154308.2991328,-16.429927227148294,100,1,false,0,USD,USD
12,AMEX,SBEV,"Splash Beverage Group, Inc. (NV)",splash-beverage-nv,stock,['common'],1.65,-0.29000000000000004,-14.948453608247425,96937,-22.680412371134018,1.71,-11.855670103092782,614429,3665350.62371134,-87.35223381491046,100,1,false,0,USD,USD
13,NASDAQ,MLEC,Moolec Science SA,moolec-science-sa,stock,['common'],2.05,-0.3400000000000003,-14.225941422594154,429642,-0.836820083682009,1.9,-20.502092050209214,803860,7624099.790794978,-69.5868196040321,100,1,false,0,USD,USD
14,NASDAQ,SCKT,"Socket Mobile, Inc.",socket-mobile,stock,['common'],0.92,-0.14,-13.20754716981132,731,-2.8301886792452855,1.065,0.4716981132075371,16993,8478956.306603773,14.898800032259492,100,1,false,0,USD,USD
15,NASDAQ,SGBX,Safe & Green Holdings Corp.,sg-blocks,stock,['common'],0.1915,-0.02479999999999999,-11.465557096625053,625266,-3.005085529357377,0.1818,-15.950069348127602,6326116,5621162.704576977,275.5015457082313,10000,1,false,0,USD,USD
16,NASDAQ,CNSP,"CNS Pharmaceuticals, Inc.",cns-pharmaceuticals,stock,['common'],6.2,-0.7699999999999996,-11.047345767575317,310608,3.2998565279770506,6.07,-12.912482065997125,844821,3487700.9483500724,-23.32700832081912,100,1,false,0,USD,USD
17,NASDAQ,AUUD,Auddia Inc.,auddia,stock,['common'],2.23,-0.27,-10.8,188783,-6.400000000000006,2.37,-5.199999999999996,829114,2720009.184,-19.280993985980253,100,1,false,0,USD,USD
18,NASDAQ,SISI,"Shineco, Inc.",,stock,['common'],6.05,-0.7300000000000004,-10.766961651917411,108896,-7.079646017699121,5.96,-12.094395280235993,448411,268383166.27138638,3420.149159361977,100,1,false,0,USD,USD
19,NASDAQ,BINI,"Bollinger Innovations, Inc.",mullen-automotive,stock,['common'],0.395,-0.044999999999999984,-10.227272727272723,1120948,-2.2727272727272747,0.42,-4.545454545454549,6697259,1934072.3181818181,-86.61070031318478,10000,1,false,0,USD,USD
20,NASDAQ,FLNT,"Fluent, Inc.",fluent,stock,['common'],1.8,-0.18999999999999995,-9.547738693467334,34197,-11.055276381909547,1.89,-5.0251256281407075,247272,45867085.100502506,-9.753091539447844,100,1,false,0,USD,USD
21,NYSE,UFI,"Unifi, Inc. New",unifi-new,stock,['common'],4.05,-0.40000000000000036,-8.988764044943828,322,-9.662921348314619,4.4,-1.1235955056179736,144209,80786910.9213483,-22.17563487163981,100,1,false,0,USD,USD
22,NASDAQ,CGTL,Creative Global Technology Holdings Limited,creative-global-technology-limited,stock,['common'],0.5488,-0.054200000000000026,-8.988391376451082,97732,0.21558872305140428,0.71,17.744610281923713,1959340,15220625.0,,10000,1,false,0,USD,USD
23,NASDAQ,DBGI,"Digital Brands Group, Inc.",digital-brands,stock,['common'],10.1,-0.9639000000000006,-8.71211778848327,3568,3.8512640208244826,8.7842,-20.604850007682643,207789,39452658.42536537,,100,1,false,0,USD,USD
24,NASDAQ,LITM,Snow Lake Resources Ltd.,snow-lake-resources-ltd,stock,['common'],3.49,-0.31999999999999984,-8.398950131233592,66472,-1.3123359580052563,3.65,-4.199475065616801,325581,28555263.42519685,207.91007921835038,100,1,false,0,USD,USD
25,NASDAQ,CRE,Cre8 Enterprise Limited,,stock,['common'],0.7323,-0.0636000000000001,-7.9909536373916445,117042,0.025128785023241354,0.7921,-0.47744691544164164,820126,19143076.75,,10000,1,false,0,USD,USD
26,NASDAQ,CPOP,"Pop Culture Group Co., Ltd",pop-culture-group-co,stock,['common'],1.04,-0.08999999999999986,-7.964601769911493,58165,-9.734513274336273,1.16,2.654867256637171,600768,17329288.24778761,193.09578127578357,100,1,false,0,USD,USD
27,AMEX,NBY,"NovaBay Pharmaceuticals, Inc.",novabay-pharma,stock,['common'],0.9483,-0.0817,-7.932038834951456,717616,-12.135922330097088,1.07,3.883495145631071,5128059,6231141.8834951455,25.86290409323854,100,1,false,0,USD,USD
28,NASDAQ,EHGO,Eshallgo Inc.,eshallgo,stock,['common'],0.64,-0.05498999999999998,-7.912344062504493,30878,-7.912344062504493,0.7155,2.95112159887193,289795,18936422.649966188,-54.173809152771284,10000,1,false,0,USD,USD
29,NASDAQ,COCH,"Envoy Medical, Inc.",envoy-medical,stock,['common'],1.17,-0.10000000000000009,-7.8740157480315025,69589,-13.385826771653536,1.18,-7.086614173228353,393757,25394698.23622047,-47.06034363878452,100,1,false,0,USD,USD
30,NASDAQ,OBLG,Oblong Inc.,oblong,stock,['common'],2.7,-0.22999999999999998,-7.849829351535835,893,0.0,3.04,3.754266211604091,27537,7144933.788395904,157.27743040597238,100,1,false,0,USD,USD
31,NASDAQ,NVNO,enVVeno Medical Corporation,envveno-medical,stock,['common'],1.08,-0.08999999999999986,-7.69230769230768,329535,-10.256410256410248,0.97,-17.09401709401709,6928989,18669725.96581197,32.82410650148454,10000,1,false,0,USD,USD
32,NASDAQ,FBGL,FBS Global Limited,fbs-global-limited,stock,['common'],0.52,-0.04200000000000004,-7.473309608540932,35217,0.07117437722419144,0.5099,-9.270462633451963,68570,,,10000,1,false,0,USD,USD
