,ticker,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
54,NASDAQ:NHTC,NHTC,Natural Health Trends Corp. - Commn Stock,natural-health-trends-commn-stock,stock,['common'],6.896235866609418,4.95,100,1,false,0,USD,1.0204081632653024,216828,56989721.75510204,USD,163.36633663366337,0.0303,-61.003861003861005,16.3265306122449,Consumer non-durables,Consumer Non-Durables,america,
55,NASDAQ:TROO,TROO,"TROOPS, Inc.",troops,stock,['common'],6.884076289991854,0.8765,10000,1,false,0,USD,9.699624530663316,686224,98615160.90050061,USD,,-0.1312,-58.83777239709443,0.0,Finance,Finance,america,
56,NASDAQ:RTAC,RTAC,Renatus Tactical Acquisition Corp I,renatus-tactical-acquisition-i,stock,['common'],6.836177170156124,11.03,100,1,false,0,USD,-6.12765957446809,1687107,266374499.99999997,USD,,,,0.0,Finance,Finance,america,
57,NASDAQ:UEIC,UEIC,Universal Electronics Inc.,universal-electronics,stock,['common'],6.803390642679636,4.77,100,1,false,0,USD,-4.6000000000000085,389024,62820886.644,USD,,-1.2524,62.668415404793144,0.0,Consumer durables,Consumer Durables,america,2.0
58,NASDAQ:KXIN,KXIN,Kaixin Holdings,kaixin-auto,stock,['common'],6.772431698638933,1.015,10000,1,false,0,USD,12.043271884313926,684468,11117624.743349155,USD,,-11.4199,85.07495262366857,0.0,Retail trade,Retail Trade,america,
59,NYSE:LAR,LAR,Lithium Argentina AG,lithium-americas,stock,['common'],6.478792906334482,3.67,100,1,false,0,USD,30.60498220640569,9218988,594428712.4792746,USD,,-0.074903752,-100.9322427789173,0.0,Non-energy minerals,Non-Energy Minerals,america,1.363636
60,NASDAQ:FTFT,FTFT,Future FinTech Group Inc.,future-fintech,stock,['common'],6.386574562328623,1.77,100,1,false,0,USD,-6.3492063492063435,823582,6107862.619047619,USD,,,,0.0,Finance,Finance,america,
61,NASDAQ:FEAM,FEAM,"5E Advanced Materials, Inc.",5e-advanced-materials-inc,stock,['common'],6.26241485925508,5.2,100,1,false,0,USD,37.931034482758626,217535,104092278.62068966,USD,,-16.1103,37.82639569616932,0.0,Process industries,Process Industries,america,1.0
62,NASDAQ:AGFY,AGFY,Agrify Corporation,agrify,stock,['common'],6.15168704732369,26.69,100,1,false,0,USD,3.0903943236551723,31341,52099256.486120075,USD,,-30.0795,-140.0866816723337,0.0,Producer manufacturing,Producer Manufacturing,america,
63,NASDAQ:GEVO,GEVO,"Gevo, Inc.",gevo,stock,['common'],6.106098412817768,1.25,100,1,false,0,USD,5.932203389830514,15428920,299453741.52542377,USD,,-0.3435,-22.02486678507995,0.0,Process industries,Process Industries,america,1.333333
64,AMEX:LEGT,LEGT,Legato Merger Corp. III,legato-merger-iii,stock,['common'],6.046901532575285,10.72,100,1,false,0,USD,-0.10250675612710122,28132,243721849.64159703,USD,30.359671481166806,0.3531,,0.0,Finance,Finance,america,
65,NASDAQ:KCHV,KCHV,Kochav Defense Acquisition Corp.,kochav-defense-acquisition,stock,['common'],5.90635449155638,10.02,100,1,false,0,USD,-0.09970089730807366,168161,258756981.0,USD,,,,0.0,Finance,Finance,america,
66,NASDAQ:AAON,AAON,"AAON, Inc.",aaon-inc,stock,['common'],5.882296256523548,72.075,100,1,false,0,USD,-10.48807749627421,7087037,5864464460.118294,USD,37.86644951140065,1.9034,-11.547934383568007,0.447093889716841,Producer manufacturing,Producer Manufacturing,america,1.214286
67,NASDAQ:FLNT,FLNT,"Fluent, Inc.",fluent,stock,['common'],5.820629430352742,2.33,100,1,false,0,USD,1.3043478260869674,54523,48159205.60869566,USD,,-1.808,33.404545287119234,0.0,Technology services,Technology Services,america,2.0
68,NASDAQ:LGND,LGND,Ligand Pharmaceuticals Incorporated,ligand-pharmaceutical,stock,['common'],5.785029687557634,147.01,100,1,false,0,USD,-2.0325203252032598,1082176,2836435661.1138206,USD,,-3.9966,-272.8857550720249,0.0,Health technology,Health Technology,america,1.0
69,NASDAQ:SHOT,SHOT,"Safety Shot, Inc.",jupiter-wellness,stock,['common'],5.758579066720337,0.5582,100,1,false,0,USD,-51.03508771929823,33483353,137995671.0,USD,,-0.706,5.627589894399148,0.0,Health technology,Health Technology,america,
70,NASDAQ:FORA,FORA,Forian Inc.,forian,stock,['common'],5.729102358315841,1.9297,100,1,false,0,USD,1.5631578947368454,46400,60211101.66952632,USD,,-0.1184,-227.72384034519953,0.0,Technology services,Technology Services,america,1.0
71,NASDAQ:STRT,STRT,STRATTEC SECURITY CORPORATION,strattec-security,stock,['common'],5.5609390639149705,74.39,100,1,false,0,USD,3.882139366010336,373357,310065271.68523943,USD,15.031015740235599,4.9491,399.30387409200966,0.0,Producer manufacturing,Producer Manufacturing,america,1.0
72,NYSE:WOW,WOW,"WideOpenWest, Inc.",wideopenwest,stock,['common'],5.460179462828185,3.38,100,1,false,0,USD,5.9561128526645755,2656783,288908672.3260188,USD,,-0.7029,78.44592315476373,0.0,Communications,Communications,america,2.0
73,AMEX:ELA,ELA,Envela Corporation,envela,stock,['common'],5.410174575515956,6.7,100,1,false,0,USD,11.853088480801334,149343,173967347.81302172,USD,20.426829268292682,0.328,33.98692810457518,0.0,Retail trade,Retail Trade,america,1.0
74,NASDAQ:DGLY,DGLY,"Digital Ally, Inc.",digital-ally,stock,['common'],5.409219509142996,1.8,100,1,false,0,USD,1.1235955056179785,319865,3109357.4157303376,USD,,-5855.52,65.07119951133848,0.0,Commercial services,Commercial Services,america,
75,AMEX:YCBD,YCBD,"cbdMD, Inc.",cbdmd-80-series-a-cumulative-convertible-preferred-stock,stock,['common'],5.3624982883846135,0.97155,10000,1,false,0,USD,10.028312570781429,368128,8654962.401642129,USD,,-7.1851,89.90122026980303,0.0,Health technology,Health Technology,america,1.0
76,NASDAQ:LINC,LINC,Lincoln Educational Services Corporation,lincoln-tech,stock,['common'],5.317963237312823,20.17,100,1,false,0,USD,-15.07368421052631,1623220,637226894.047579,USD,52.10539912167399,0.3871,-54.34064637886294,0.0,Commercial services,Commercial Services,america,1.0
77,AMEX:MTNB,MTNB,"Matinas Biopharma Holdings, Inc.",matinas-biopharma,stock,['common'],5.282561661618347,1.6,100,1,false,0,USD,41.59292035398232,567672,8139175.929203542,USD,,-3.9789,25.634987384356606,0.0,Health technology,Health Technology,america,
78,NYSE:PPL,PPL,PPL Corporation,ppl,stock,['common'],5.275956356328413,36.28,100,1,false,0,USD,-0.19257221458046844,29778890,26829612463.056946,USD,27.274094121184785,1.3302,17.126001584925607,2.91609353507565,Utilities,Utilities,america,1.433333
79,NASDAQ:HUMA,HUMA,"Humacyte, Inc.",humacyte,stock,['common'],5.275373317817169,1.745,100,1,false,0,USD,-29.637096774193544,25628605,270682316.5544355,USD,,-0.6896,31.587301587301585,0.0,Health technology,Health Technology,america,1.166667
80,NASDAQ:HGBL,HGBL,Heritage Global Inc.,heritage-global,stock,['common'],5.1725382290585955,1.89,100,1,false,0,USD,-5.500000000000005,160538,65661538.004999995,USD,19.11021233569262,0.0989,-66.91201070592172,0.0,Finance,Finance,america,1.0
81,NASDAQ:FGEN,FGEN,"FibroGen, Inc",fibrogen,stock,['common'],5.153170584759411,8.37,100,1,false,0,USD,-3.9035591274397428,177906,33829522.93570608,USD,,-2.5342,95.85967801489353,0.0,Health technology,Health Technology,america,1.5
82,NASDAQ:SIMA,SIMA,SIM Acquisition Corp. I,sim-acquisition-i,stock,['common'],5.134864072211163,10.43,100,1,false,0,USD,0.0,473074,239890000.0,USD,45.70552147239264,0.2282,,0.0,Finance,Finance,america,
83,NASDAQ:BIRD,BIRD,"Allbirds, Inc.",allbirds,stock,['common'],4.96744895707296,6.41,100,1,false,0,USD,-7.636887608069168,261107,52199694.60806916,USD,,-10.5508,39.72624651524153,0.0,Consumer non-durables,Consumer Non-Durables,america,1.75
84,NASDAQ:TRSG,TRSG,Tungray Technologies Inc,tungray-technologies,stock,['common'],4.956536707117651,1.6921,100,1,false,0,USD,0.1361107823411036,11518,19955755.9685,USD,,-0.0235,,0.0,Producer manufacturing,Producer Manufacturing,america,
85,NASDAQ:MPAA,MPAA,"Motorcar Parts of America, Inc.",motorcar-parts-of-america,stock,['common'],4.946687186558204,13.81,100,1,false,0,USD,22.42907801418441,546742,268407081.8874114,USD,,-0.9935,60.517426380002384,0.0,Producer manufacturing,Producer Manufacturing,america,1.0
86,NASDAQ:RSSS,RSSS,"Research Solutions, Inc",research-solutions,stock,['common'],4.888114976583274,2.66,100,1,false,0,USD,3.1007751937984525,318753,86340205.92248063,USD,,-0.1256,-432.20338983050846,0.0,Commercial services,Commercial Services,america,1.0
87,NASDAQ:RDNT,RDNT,"RadNet, Inc.",radnet,stock,['common'],4.829728339383859,62.0,100,1,false,0,USD,16.191904047976013,3623977,4767172448.688157,USD,,-0.2064,-240.59945504087193,0.0,Health services,Health Services,america,1.071429
