,ticker,name,description,logoid,update_mode,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:RGC,RGC,Regencell Bioscience Holdings Limited,regencell-bioscience,delayed_streaming_900,stock,['common'],5657.69825275908,13.97,100,1,false,0,USD,5.993930197268596,291750,6908009948.0,USD,,-0.3142,13.204419889502766,0.0,Health technology,Health Technology,america,,0.8435952685799168
1,NASDAQ:QUBT,QUBT,Quantum Computing Inc.,quantum-computing,delayed_streaming_900,stock,['common'],2389.966038900895,16.13,100,1,false,0,USD,2.3477157360406045,12655626,2578379972.0,USD,,-0.4776,-39.97655334114889,0.0,Technology services,Technology Services,america,1.5,0.8738061036552467
2,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,delayed_streaming_900,stock,['common'],2217.7264806044727,15.68,100,1,false,0,USD,16.49331352154531,2859982,231135417.99999997,USD,,-0.2584,51.42857142857142,0.0,Finance,Finance,america,1.0,1.3495461084531333
3,NYSE:QBTS,QBTS,D-Wave Quantum Inc.,d-wave-quantum,delayed_streaming_900,stock,['common'],2066.6666666666665,16.9,100,1,false,0,USD,-1.572510192195708,44645991,5780110214.0,USD,,-1.0546,-143.95095998149432,0.0,Electronic technology,Electronic Technology,america,1.0,1.1205266501415347
4,NASDAQ:RGTI,RGTI,"Rigetti Computing, Inc.",rigetti-computing-redeemable,delayed_streaming_900,stock,['common'],1835.3221358736523,15.44,100,1,false,0,USD,-1.404853128991064,20792672,4983298973.0,USD,,-0.6999,-33.51774132010682,0.0,Electronic technology,Electronic Technology,america,1.0625,0.610758619495258
5,NASDAQ:TDUP,TDUP,ThredUp Inc.,thredup,delayed_streaming_900,stock,['common'],1420.912547528517,10.0,100,1,false,0,USD,1.0101010101010066,2737292,1231608829.9999998,USD,,-0.4965,14.924605894448254,0.0,Retail trade,Retail Trade,america,1.2,0.9093806645431666
6,AMEX:TGEN,TGEN,Tecogen Inc.,tecogen,delayed_streaming_900,stock,['common'],1193.5528120713307,9.43,100,1,false,0,USD,12.79904306220096,1293246,278716630.0,USD,,-0.1734,-2.3008849557522044,0.0,Producer manufacturing,Producer Manufacturing,america,,1.5064274826339503
7,NASDAQ:MNPR,MNPR,Monopar Therapeutics Inc.,monopar-therapeutics,delayed_streaming_900,stock,['common'],1105.2173913043478,34.65,100,1,false,0,USD,-13.59102244389028,28909,211892170.0,USD,,-3.9851,-51.31758809234509,0.0,Health technology,Health Technology,america,1.166667,1.6593101944060216
8,NASDAQ:PRCH,PRCH,"Porch Group, Inc.",porch,delayed_streaming_900,stock,['common'],1103.3898305084747,14.2,100,1,false,0,USD,-4.63398253861653,1872803,1480618224.0,USD,30.603448275862068,0.464,,0.0,Finance,Finance,america,1.166667,0.7796414495995788
9,AMEX:UAMY,UAMY,United States Antimony Corporation,united-states-antimony,delayed_streaming_900,stock,['common'],1037.5,3.64,100,1,false,0,USD,3.4090909090909123,4848214,433529478.0,USD,,-0.0085,84.40366972477064,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,1.165659662598739
10,NASDAQ:NUTX,NUTX,Nutex Health Inc.,nutex-health,delayed_streaming_900,stock,['common'],1022.8607918263091,87.92,100,1,false,0,USD,-1.4681161044491786,108747,488405804.0,USD,7.385566559982528,11.9043,,0.0,Health services,Health Services,america,1.0,0.585771737174881
11,NASDAQ:DGNX,DGNX,Diginex Limited,diginex-limited,delayed_streaming_900,stock,['common'],935.2112676056339,44.1,100,1,false,0,USD,-5.161290322580642,28192,1014024948.2999998,USD,,-0.1859,-7.023603914795634,0.0,Technology services,Technology Services,america,,0.5136249437493965
