,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
402,NASDAQ,EVGN,Evogene Ltd.,evogene,stock,['common'],1.29,0.020000000000000018,1.5748031496063006,2721,0.0,1.31,3.1496062992126013,41449,11415642.000000002,-42.10824046074251,100,false,0,USD,USD
403,NASDAQ,CRGO,Freightos Limited,freightos-limited,stock,['common'],3.56,0.05500000000000016,1.569186875891588,1244,-0.1426533523537773,3.37,-3.851640513552063,74187,168644027.99999997,127.0347581276955,100,false,0,USD,USD
404,AMEX,NG,Novagold Resources Inc.,novagold-resources,stock,['common'],6.5,0.09999999999999964,1.5624999999999944,13158,0.7812499999999972,6.56,2.4999999999999885,2684415,2669248444.6630077,57.1304344109962,100,false,0,USD,USD
405,NASDAQ,STIM,"Neuronetics, Inc.",neuronetics,stock,['common'],3.25,0.04999999999999982,1.5624999999999944,5276,3.124999999999989,3.38,5.624999999999991,2357740,223501889.0,665.0128634092871,100,false,0,USD,USD
406,NYSE,VOYG,"Voyager Technologies, Inc.",voyager-technologies,stock,['common'],30.7,0.46999999999999886,1.5547469401256993,2100,1.5547469401256993,31.43,3.96956665564009,462736,1853415829.0,,100,false,0,USD,USD
407,AMEX,BMNR,"BitMine Immersion Technologies, Inc.",bitmine-immersion-technologies,stock,['common'],50.37,0.769999999999996,1.5524193548387017,1975146,2.4193548387096686,49.95,0.7056451612903254,45703346,8666172697.0,37151.739387779955,100,false,0,USD,USD
408,NYSE,CCO,"Clear Channel Outdoor Holdings, Inc.",clear-channel-outdoor,stock,['common'],1.2795,0.019500000000000073,1.5476190476190534,500,1.5476190476190534,1.26,0.0,1897016,626236145.0,-18.541048308567948,100,false,0,USD,USD
409,NASDAQ,LGIH,"LGI Homes, Inc.",lgi-homes,stock,['common'],66.0,1.0,1.5384615384615385,400,1.5384615384615385,63.41,-2.4461538461538512,338148,1462021216.0,-38.63293991830293,100,false,0,USD,USD
410,NASDAQ,VWAV,"VisionWave Holdings, Inc.",visionwave,stock,['common'],9.91,0.15000000000000036,1.5368852459016429,11510,0.0,9.38,-3.8934426229508095,458320,135948314.00000003,234.8703714830036,100,false,0,USD,USD
411,NYSE,COOK,"Traeger, Inc.",traeger,stock,['common'],1.2996,0.019600000000000062,1.5312500000000049,400,0.7812500000000007,1.26,-1.5625000000000013,300480,171216648.99999997,-57.26229033571774,100,false,0,USD,USD
412,NASDAQ,CEPO,"Cantor Equity Partners I, Inc.",cantor-equity-partners,stock,['common'],10.62,0.15999999999999837,1.5296367112810552,3073,-0.34416826003825396,10.47,0.09560229445506488,118309,266985000.00000003,,100,false,0,USD,USD
413,NASDAQ,HGBL,Heritage Global Inc.,heritage-global,stock,['common'],2.0,0.030000000000000027,1.52284263959391,100,1.52284263959391,1.9,-3.55329949238579,56511,66008951.99999999,-4.939258913878119,100,false,0,USD,USD
414,NASDAQ,QTTB,Q32 Bio Inc.,homology-medicines,stock,['common'],2.0,0.030000000000000027,1.52284263959391,1292,-3.04568527918782,1.82,-7.614213197969538,113700,22199660.999999996,-94.69993626049234,100,false,0,USD,USD
415,NYSE,NINE,"Nine Energy Service, Inc.",nine-energy-service,stock,['common'],0.595,0.008900000000000019,1.518512199283402,5169,0.17061934823408992,0.6297,7.439003583006327,700780,27291543.999999996,-45.608667146466,10000,false,0,USD,USD
416,NASDAQ,PACB,"Pacific Biosciences of California, Inc.",pacific-biosciences,stock,['common'],1.34,0.020000000000000018,1.5151515151515165,1909,0.0,1.32,0.0,2990179,396489255.00000006,-8.38290276406797,100,false,0,USD,USD
417,NASDAQ,ARBE,Arbe Robotics Ltd.,arbe,stock,['common'],1.34,0.020000000000000018,1.5151515151515165,43503,0.7575757575757582,1.38,4.5454545454545325,2000845,145125195.0,-14.143020828530688,100,false,0,USD,USD
418,NASDAQ,NTCT,"NetScout Systems, Inc.",netscout-systems,stock,['common'],23.49,0.34999999999999787,1.5125324114088066,3919,0.5185825410544554,23.89,3.2411408815903195,705677,1717100085.0,13.322910384626429,100,false,0,USD,USD
419,NASDAQ,BSGM,"BioSig Technologies, Inc.",biosig-technologies,stock,['common'],5.38,0.08000000000000007,1.5094339622641524,5985,1.3207547169811376,5.27,-0.5660377358490614,699164,185877886.99999997,2354.8995690469487,100,false,0,USD,USD
420,NASDAQ,AISP,"Airship AI Holdings, Inc",airship-ai,stock,['common'],4.75,0.07000000000000028,1.495726495726502,19691,1.495726495726502,4.78,2.1367521367521483,406120,152526688.0,84.43943527109609,100,false,0,USD,USD
421,NASDAQ,KPRX,"Kiora Pharmaceuticals, Inc.",kiora-pharmaceuticals,stock,['common'],2.6896,0.03960000000000008,1.4943396226415127,1362,1.5056603773585007,2.841,7.207547169811332,76359,9754548.0,-17.60308994224732,100,false,0,USD,USD
422,NASDAQ,FARM,Farmer Brothers Company,farmer-brothers-company,stock,['common'],2.04,0.03000000000000025,1.4925373134328483,100,1.4925373134328483,1.96,-2.4875621890547177,271919,42248572.00000001,-33.77731567626353,100,false,0,USD,USD
423,NASDAQ,NFE,New Fortress Energy Inc.,new-fortress-energy-llc,stock,['common'],2.6485,0.03849999999999998,1.4750957854406122,17250,0.7662835249042153,2.57,-1.5325670498084305,7900337,704689542.9999999,-76.91458836867083,100,false,0,USD,USD
424,NYSE,NRDY,Nerdy Inc.,nerdy,stock,['common'],1.38,0.019999999999999796,1.4705882352941024,1100,1.4705882352941024,1.35,-0.7352941176470594,357885,250827850.0,21.753459181618418,100,false,0,USD,USD
425,NASDAQ,HBNC,"Horizon Bancorp, Inc.",horizon-bancorp,stock,['common'],15.89,0.23000000000000043,1.4687100893997473,200,1.4687100893997473,16.35,4.406130268199242,1587023,837707684.9999999,7.384735994543282,100,false,0,USD,USD
426,NASDAQ,NVTS,Navitas Semiconductor Corporation,navitas-semiconductor,stock,['common'],6.29,0.08999999999999986,1.451612903225804,170893,0.9677419354838646,6.09,-1.774193548387102,16832862,1297823395.0,148.86507513818054,100,false,0,USD,USD
427,NASDAQ,MBOT,Microbot Medical Inc.,microbot-medical,stock,['common'],4.22,0.05999999999999961,1.4423076923076827,205319,-0.24038461538461023,3.88,-6.730769230769236,6026556,176718239.0,725.2062979258587,100,false,0,USD,USD
428,NASDAQ,ANTA,Antalpha Platform Holding Company,antalpha-platform-company,stock,['common'],12.8,0.1800000000000015,1.4263074484944651,500,1.4263074484944651,13.45,6.576862123613313,28444,310695000.0,,100,false,0,USD,USD
429,NASDAQ,BGLC,BioNexus Gene Lab Corp,bionexus-gene-lab,stock,['common'],5.72,0.08000000000000007,1.4184397163120581,255,1.4184397163120581,5.59,-0.8865248226950324,45520,10042977.999999998,23.709257560351308,100,false,0,USD,USD
430,NYSE,CI,The Cigna Group,cigna,stock,['common'],305.0,4.240000000000009,1.4097619364277196,100,1.4097619364277196,300.32,-0.14629605000664908,2487041,80163839958.0,-16.790280922051164,100,false,0,USD,USD
431,NASDAQ,GERN,Geron Corporation,geron,stock,['common'],1.44,0.020000000000000018,1.4084507042253533,18664,-0.7042253521126767,1.46,2.8169014084507067,3458517,931504976.0000001,-65.82646277167261,100,false,0,USD,USD
432,AMEX,PHGE,BiomX Inc.,biomx,stock,['common'],0.5578,0.007699999999999929,1.3997455008180202,36521,-0.10907107798582892,0.558,1.4361025268133099,410576,14805910.0,-50.3870992538484,10000,false,0,USD,USD
433,NASDAQ,XBIO,"Xenetic Biosciences, Inc.",xenetic-biosciences,stock,['common'],2.9,0.040000000000000036,1.3986013986014,466,3.1468531468531578,2.89,1.0489510489510576,31368,4456781.999999999,-21.858358219932274,100,false,0,USD,USD
434,NASDAQ,CRE,Cre8 Enterprise Limited,cre8-enterprise-limited,stock,['common'],0.7199,0.00990000000000002,1.3943661971831014,28129,0.9577464788732435,0.6724,-5.2957746478873196,510264,16250227.0,,10000,false,0,USD,USD
