,ticker,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
251,NASDAQ:IXHL,IXHL,Incannex Healthcare Inc.,incannex-healthcare,stock,['common'],15.946601941747582,0.4465,10000,1,false,0,USD,1.018099547511313,74729076,41834981.149321266,USD,,-1.2508,-3384.1225626740943,0.0,Health technology,Health Technology,america,,0.38728619785846463
252,AMEX:AEON,AEON,"AEON Biopharma, Inc.",aeon-biopharma,stock,['common'],15.87301587301587,0.6566,10000,1,false,0,USD,-6.600284495021337,134175,7423103.971266003,USD,0.0021961122191269133,298.9829,,0.0,Health technology,Health Technology,america,1.0,1.5812566143490732
253,NASDAQ:RUBI,RUBI,Rubico Inc.,,stock,['common'],15.833333333333329,2.7,100,1,false,0,USD,2.2727272727272747,194874,,USD,,,,,Transportation,Transportation,america,,0.08806810375870043
254,NASDAQ:FEMY,FEMY,Femasys Inc.,femasys,stock,['common'],15.810635538261998,0.7754,10000,1,false,0,USD,-13.15936835031919,410239,25220785.103147045,USD,,-0.8613,-1.9772673454889815,0.0,Electronic technology,Electronic Technology,america,1.0,1.5397801273894913
255,NASDAQ:VSTM,VSTM,"Verastem, Inc.",verastem,stock,['common'],15.80502215657311,7.7,100,1,false,0,USD,14.243323442136496,6974343,473898555.23738873,USD,,-3.5071,-5.097392867845361,0.0,Health technology,Health Technology,america,1.0,2.9037227191930115
256,NASDAQ:PLRZ,PLRZ,Polyrizon Ltd.,polyrizon-ltd,stock,['common'],15.777286601410394,1.03,100,1,false,0,USD,-6.363636363636369,744031,6057185.609090909,USD,,-92.0875,-157.49737853897238,0.0,Health technology,Health Technology,america,,0.6170839370869313
257,NASDAQ:LIDR,LIDR,"AEye, Inc.",aeye,stock,['common'],15.769230769230758,2.81,100,1,false,0,USD,0.3571428571428654,5709816,85188982.63928571,USD,,-2.8877,71.08714806359886,0.0,Technology services,Technology Services,america,,0.1795364687500496
258,NASDAQ:FNKO,FNKO,"Funko, Inc.",funko,stock,['common'],15.762845849802373,2.79,100,1,false,0,USD,13.414634146341466,3109500,153269649.18292683,USD,,-1.2076,-38.10612991765783,0.0,Consumer durables,Consumer Durables,america,1.333333,1.4775549917029787
259,NASDAQ:ATNF,ATNF,180 Life Sciences Corp.,180-life-sciences,stock,['common'],15.646258503401361,3.34,100,1,false,0,USD,11.333333333333329,3779765,514467127.15999997,USD,,-5.692,80.01846501651671,0.0,Health technology,Health Technology,america,,1.0750283321707326
260,NYSE:ANVS,ANVS,"Annovis Bio, Inc.",annovis-bio,stock,['common'],15.644555694618287,2.82,100,1,false,0,USD,10.588235294117649,545444,54951170.25882353,USD,,-2.2135,56.85857955874328,0.0,Health technology,Health Technology,america,1.25,2.4363676483265952
261,NYSE:MAX,MAX,"MediaAlpha, Inc.",mediaalpha,stock,['common'],15.628299894403362,9.56,100,1,false,0,USD,-12.694063926940629,936088,645010073.5744293,USD,,-0.1122,62.28571428571429,0.0,Technology services,Technology Services,america,1.125,1.9729075288642328
