,ticker,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
323,NYSE:MNTN,MNTN,"MNTN, Inc.",mntn,stock,['common'],100.0,22.62,100,1,false,0,USD,3.618873110398547,769615,1741134501.042602,USD,,-1.0307,-59.77367849945744,0.0,Technology services,Technology Services,america,1.277778,0.7574636917111998
324,NASDAQ:CPIX,CPIX,Cumberland Pharmaceuticals Inc.,cumberland-pharmaceuticals,stock,['common'],100.0,2.84,100,1,false,0,USD,-12.074303405572758,243465,42489628.631578945,USD,,-0.2133,70.8845208845209,0.0,Health technology,Health Technology,america,,3.1463109208837814
325,NASDAQ:CAPR,CAPR,"Capricor Therapeutics, Inc.",capricor-therapeutics,stock,['common'],99.87212276214834,7.815,100,1,false,0,USD,-13.836824696802644,2227114,357206608.64718854,USD,,-1.4193,-62.11307824100515,0.0,Health technology,Health Technology,america,1.0,1.102196659035323
326,NASDAQ:FRHC,FRHC,Freedom Holding Corp.,freedom-holding,stock,['common'],98.615367154693,175.0,100,1,false,0,USD,-1.8453082057322296,226503,10710986401.649002,USD,129.85085701565632,1.3477,-76.49100772759783,0.0,Finance,Finance,america,,1.632148210065141
327,NASDAQ:PCT,PCT,"PureCycle Technologies, Inc.",purecycle-technologies,stock,['common'],98.60248447204967,12.79,100,1,false,0,USD,3.5627530364372433,3412174,2303390741.750607,USD,,-1.6736,-74.15192507804372,0.0,Industrial services,Industrial Services,america,1.4,1.0223042713721104
328,NASDAQ:FIVE,FIVE,"Five Below, Inc.",five-below,stock,['common'],98.10810810810811,131.94,100,1,false,0,USD,-1.1833433193529153,987613,7264353078.314109,USD,27.656898503332915,4.7706,-10.39612328844311,0.0,Retail trade,Retail Trade,america,1.729167,0.9791954442827676
329,NYSE:CCL,CCL,Carnival Corporation,carnival,stock,['common'],97.44651483781918,28.61,100,1,false,0,USD,0.8459640465280169,13498629,37290651457.36728,USD,15.506775067750677,1.845,183.14917127071823,0.0,Consumer services,Consumer Services,america,1.333333,0.7232622375607491
330,NASDAQ:BBIO,BBIO,"BridgeBio Pharma, Inc.",bridgebio-pharma,stock,['common'],97.38134206219313,48.24,100,1,false,0,USD,3.5637612709317383,2335557,9221968938.141691,USD,,-4.094,-55.293403633880835,0.0,Health technology,Health Technology,america,1.119048,0.6185898846773185
331,NYSE:VRT,VRT,"Vertiv Holdings, LLC",vertiv-holdings,stock,['common'],97.08245243128965,139.83,100,1,false,0,USD,-0.07146430358035755,4107584,53396413489.129,USD,66.80202560672654,2.0932,62.80625340281557,0.0982634174229972,Electronic technology,Electronic Technology,america,1.240741,0.4507804312024195
332,AMEX:MPU,MPU,Mega Matrix Inc.,mega-matrix,stock,['common'],96.90721649484536,3.82,100,1,false,0,USD,-3.2911392405063378,891935,220013065.37215188,USD,,,,0.0,Technology services,Technology Services,america,,0.5533045077070328
333,NYSE:ORCL,ORCL,Oracle Corporation,oracle,stock,['common'],96.79127725856698,252.68,100,1,false,0,USD,1.0517896420715838,9010808,709735933075.7008,USD,58.20912713953327,4.3409,17.115877512478086,0.719856028794241,Technology services,Technology Services,america,1.406977,0.8843663033967898
334,NYSE:CMP,CMP,Compass Minerals Intl Inc,compass-minerals,stock,['common'],96.52650822669105,21.5,100,1,false,0,USD,0.2798507462686507,636310,894841235.3544778,USD,,-3.5623,-78.45406271916642,0.0,Process industries,Process Industries,america,1.5,1.679030288829307
335,NYSE:RSI,RSI,"Rush Street Interactive, Inc.",rush-street-interactive,stock,['common'],96.30021141649048,18.57,100,1,false,0,USD,0.0,1250413,4244434967.0000005,USD,92.11309523809524,0.2016,,0.0,Consumer services,Consumer Services,america,1.222222,0.41826934961498313
336,NASDAQ:PDEX,PDEX,"Pro-Dex, Inc.",pro-dex,stock,['common'],96.16956077630235,38.41,100,1,false,0,USD,-19.560209424083776,137779,125256664.64649215,USD,13.724719502608446,2.7986,132.21042150680384,0.0,Health technology,Health Technology,america,1.0,2.868316304012924
337,NYSE:CCJ,CCJ,Cameco Corporation,cameco,stock,['common'],96.13636363636363,77.67,100,1,false,0,USD,0.9750390015600624,3294188,33816543332.359245,USD,86.3086884079664,0.8999094,108.31726042445815,0.150943396226415,Non-energy minerals,Non-Energy Minerals,america,1.175,0.7332581063245489
338,NYSE:NRG,NRG,"NRG Energy, Inc.",nrg-energy,stock,['common'],95.68799073239799,152.03,100,1,false,0,USD,-0.33433853415496984,2779412,29407283441.630917,USD,64.33498370784139,2.3631,-74.6494738084255,1.11118395175036,Utilities,Utilities,america,1.607143,0.7240790195688322
339,NASDAQ:NFLX,NFLX,"Netflix, Inc.",netflix,stock,['common'],95.55851618806079,1218.31,100,1,false,0,USD,0.5504935459377245,2454151,517692004051.14343,USD,51.91787301682,23.4661,46.643877991013696,0.0,Technology services,Technology Services,america,1.472222,0.7806150289046728
340,NASDAQ:INOD,INOD,Innodata Inc.,innodata,stock,['common'],95.46341463414635,40.07,100,1,false,0,USD,-7.948541235929246,2759934,1276054002.0528371,USD,32.18991002570694,1.2448,1234.1907824222938,0.0,Technology services,Technology Services,america,1.1,0.7855381920582637
341,NYSE:HWM,HWM,Howmet Aerospace Inc.,howmet-aerospace,stock,['common'],95.2034725990233,179.88,100,1,false,0,USD,-0.4813278008298781,1448661,72514361048.33858,USD,52.564214955728936,3.4221,51.735910965281775,0.199170124481328,Electronic technology,Electronic Technology,america,1.277778,0.4335947882221387
342,NYSE:OLO,OLO,Olo Inc.,olo,stock,['common'],94.84732824427482,10.21,100,1,false,0,USD,0.09803921568628984,6132662,1729579914.7931376,USD,,-0.0075,94.9528936742934,0.0,Technology services,Technology Services,america,2.0,0.931377126012414
343,NYSE:RCL,RCL,Royal Caribbean Cruises Ltd.,royal-caribbean-cruises,stock,['common'],94.72770526586511,302.86,100,1,false,0,USD,0.4710721868365233,1445806,82265152268.26468,USD,22.826865244164402,13.2677,47.996073575834636,0.812765392781316,Consumer services,Consumer Services,america,1.37037,0.5779205833767898
344,NASDAQ:CTMX,CTMX,"CytomX Therapeutics, Inc.",cytomx-therapeutics,stock,['common'],94.11764705882355,2.31,100,1,false,0,USD,-1.7021276595744694,1205461,380948790.15319145,USD,4.040580724156026,0.5717,310.4091888011486,0.0,Health technology,Health Technology,america,1.214286,0.7039095425660368
345,NYSE:UNFI,UNFI,"United Natural Foods, Inc.",united-natural-foods,stock,['common'],93.88544891640866,25.05,100,1,false,0,USD,-4.0597472232860925,997980,1517166724.8085027,USD,,-1.1397,53.11612982845859,0.0,Distribution services,Distribution Services,america,1.772727,1.1084085244765496
346,NASDAQ:QURE,QURE,uniQure N.V.,uniqure-n-v,stock,['common'],93.68998628257886,14.12,100,1,false,0,USD,6.325301204819277,1113579,774721009.7078313,USD,,-3.9207,33.766365402483316,0.0,Health technology,Health Technology,america,1.142857,0.7936793819789474
347,NYSE:SRFM,SRFM,Surf Air Mobility Inc.,surf-air-mobility,stock,['common'],93.60902255639097,4.12,100,1,false,0,USD,3.2581453634085182,2456625,138893494.726817,USD,,-4.2666,83.01269290184898,0.0,Transportation,Transportation,america,2.0,0.918769019121765
348,NASDAQ:URBN,URBN,"Urban Outfitters, Inc.",urban-outfitters,stock,['common'],93.34161490683228,77.82,100,1,false,0,USD,1.8586387434554807,2278480,6975952320.791622,USD,16.305577672547457,4.7726,52.11958946898705,0.0,Retail trade,Retail Trade,america,1.678571,1.411936467568554
349,NYSE:CIEN,CIEN,Ciena Corporation,ciena,stock,['common'],93.13340227507754,93.38,100,1,false,0,USD,-1.7673048600883725,1409291,13200870479.823267,USD,130.0738264382226,0.7179,-30.864791987673346,0.0,Electronic technology,Electronic Technology,america,1.475,0.858444136968186
350,NASDAQ:NN,NN,NextNav Inc.,nextnav,stock,['common'],92.79038718291054,14.44,100,1,false,0,USD,5.018181818181815,1350224,1922405422.9236362,USD,,-1.2781,-48.478159851301115,0.0,Technology services,Technology Services,america,1.5,1.1324429838260293
351,NASDAQ:MIMI,MIMI,Mint Incorporation Limited,mint-incorporation-limited,stock,['common'],92.49999999999999,8.47,100,1,false,0,USD,-14.788732394366185,2085507,152565875.0,USD,,-0.0082,,0.0,Commercial services,Commercial Services,america,,2.303586878733651
