,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,YMAT,"J-Star Holding Co., Ltd.",j-star-co-ltd,stock,['common'],282.6666666666667,2.03,100,1,false,0,USD,-64.63414634146342,6028827,98730215.64,USD,31.2788906009245,0.0649,-18.671679197994983,0.0,9.26777553169412,,Producer manufacturing,Producer Manufacturing,america
1,NASDAQ,AKAN,Akanda Corp.,,stock,['common'],266.9691381987577,4.36,100,1,false,0,USD,-63.10214876033058,755824,3167103.9999999995,USD,,-6.4704,98.87099971244552,0.0,4.624071837905818,,Process industries,Process Industries,america
2,NASDAQ,EPIX,ESSA Pharma Inc.,essa-pharma,stock,['common'],226.58333333333337,0.2631,10000,1,false,0,USD,-66.43276346006634,108722669,12446839.000000002,USD,,-0.5696,8.96595812689788,0.0,5.894781140911001,,Health technology,Health Technology,america
3,AMEX,USAS,Americas Gold and Silver Corporation,,stock,['common'],159.36170212765956,2.43,100,1,false,0,USD,-60.1312551271534,1149331,660334688.5391567,USD,,-0.35975809999999997,14.877731446436968,0.0,1.2039684360736715,1.0,Non-energy minerals,Non-Energy Minerals,america
4,NASDAQ,NUKK,Nukkleus Inc.,nukkleus,stock,['common'],153.4090909090909,5.8,100,1,false,0,USD,17.40890688259108,45061293,41021783.0,USD,0.2913021204785391,19.9106,,0.0,151.3015488321306,,Commercial services,Commercial Services,america
5,NASDAQ,MASK,3 E Network Technology Group Ltd,3-e-network-technology-ltd,stock,['common'],136.17021276595747,0.57,10000,1,false,0,USD,-14.027149321266979,7926646,6383999.999999999,USD,3.3178114086146677,0.1718,12.140992167101832,0.0,25.009507949794493,,Technology services,Technology Services,america
6,NASDAQ,DOGZ,Dogness (International) Corporation,dogness-international,stock,['common'],132.3054331864905,10.25,100,1,false,0,USD,-35.20859671302149,828450,130489245.00000001,USD,,-0.396,2.750491159135557,0.0,1.7136293571423253,,Consumer non-durables,Consumer Non-Durables,america
7,NASDAQ,HKPD,Hong Kong Pharma Digital Technology Holdings Limited,hong-kong-pharma-digital-technology-limited,stock,['common'],128.57142857142858,1.42,100,1,false,0,USD,35.23809523809523,150583673,,USD,,,,,760.6426915325127,,Transportation,Transportation,america
8,NASDAQ,WORX,SCWorx Corp.,scworx,stock,['common'],120.5646566747996,0.3812,10000,1,false,0,USD,31.086657496561205,146125207,3004271.9999999995,USD,,-1.0818,66.71794240708834,0.0,259.7360339088134,,Technology services,Technology Services,america
9,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],107.03703703703701,5.17,100,1,false,0,USD,12.636165577342052,3368573,88956793.31,USD,,,,0.0,0.48963865087263386,,Commercial services,Commercial Services,america
10,NASDAQ,ALLR,"Allarity Therapeutics, Inc.",allarity-therapeutics,stock,['common'],101.3453237410072,1.43,100,1,false,0,USD,51.91756082014235,387016045,20906078.000000004,USD,,-9.1267,99.58922538828074,0.0,1347.5592257322262,1.0,Health technology,Health Technology,america
11,NASDAQ,FEBO,Fenbo Holdings Limited,fenbo-limited,stock,['common'],101.23141612854782,0.9,10000,1,false,0,USD,21.621621621621625,7895146,9956250.0,USD,,-0.1796,-956.4705882352941,0.0,542.8828989892045,,Consumer durables,Consumer Durables,america
12,NASDAQ,MIMI,Mint Incorporation Limited,mint-incorporation-limited,stock,['common'],92.97192982456139,8.34,100,1,false,0,USD,-13.485477178423244,3178373,208604250.0,USD,,-0.0082,,0.0,4.900541324461794,,Commercial services,Commercial Services,america
13,NASDAQ,PTHL,Pheton Holdings Ltd,pheton-ltd,stock,['common'],78.57142857142856,0.6689,10000,1,false,0,USD,18.263790664780775,22757404,9531825.0,USD,,-0.046,-177.10843373493975,0.0,45.23602741027595,,Health technology,Health Technology,america
14,NASDAQ,DKI,DarkIris Inc.,,stock,['common'],76.56199640867445,6.08,100,1,false,0,USD,-18.82510013351135,332565,,USD,,,,,0.8392697433371221,,Technology services,Technology Services,america
15,NASDAQ,PFSA,"Profusa, Inc.",profusa,stock,['common'],74.39516129032258,0.4303,10000,1,false,0,USD,-12.16574811185956,100000705,14109055.000000002,USD,,-3.0682,-1215.6946826758149,0.0,47.39673379086974,,Electronic technology,Electronic Technology,america
16,NASDAQ,IVVD,"Invivyd, Inc.",adagio,stock,['common'],71.64197530864196,1.03,100,1,false,0,USD,84.0271574057531,186776820,200802845.0,USD,,-0.9202,48.92884892884893,0.0,69.21675340772686,1.0,Health technology,Health Technology,america
17,NASDAQ,RAY,Raytech Holding Limited,raytech-limited,stock,['common'],71.16279069767444,2.55,100,1,false,0,USD,-18.530351437699682,22368644,111175111.64999999,USD,42.35880398671096,0.0602,,0.0,2.2868224606854826,,Consumer durables,Consumer Durables,america
