,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
184,NASDAQ,CRAI,"CRA International,Inc.",cra-international,stock,['common'],2.1167059821189844,191.34,100,1,false,0,USD,0.8166921334106177,133790,1259800237.198799,USD,23.18176861847127,8.2539,44.37467203078538,0.995837504610359,1.5,Commercial services,Commercial Services,america
185,NASDAQ,PULM,"Pulmatrix, Inc.",pulmatrix,stock,['common'],2.116082810256079,4.465,100,1,false,0,USD,-1.3259668508287403,26228,16307451.90828729,USD,,-2.1712,26.86607383454595,0.0,,Health technology,Health Technology,america
186,NASDAQ,GOSS,"Gossamer Bio, Inc.",gossamer-bio,stock,['common'],2.109086799927354,2.17,100,1,false,0,USD,11.282051282051281,4527924,493415947.6256409,USD,,-0.6118,-52.797202797202814,0.0,1.222222,Health technology,Health Technology,america
187,AMEX,LGCY,Legacy Education Inc.,legacy-education,stock,['common'],2.108700945363695,12.54,100,1,false,0,USD,1.5384615384615346,139433,155252184.78,USD,22.0115850447604,0.5697,30.875258442453468,0.0,1.0,Consumer services,Consumer Services,america
188,NYSE,EW,Edwards Lifesciences Corporation,edwards,stock,['common'],2.1049117862158213,81.16,100,1,false,0,USD,-0.2825899987713527,7510581,47649033661.62673,USD,55.40688148552703,1.4648,-39.71272173519364,0.0,1.541667,Health technology,Health Technology,america
189,NASDAQ,CELU,Celularity Inc.,celularity,stock,['common'],2.0956560762674084,3.61,100,1,false,0,USD,-1.0958904109589052,141961,86456716.83835617,USD,,-2.6508,76.60040252815932,0.0,1.5,Commercial services,Commercial Services,america
190,NYSE,DHX,"DHI Group, Inc.",dhi-group,stock,['common'],2.093839141910387,2.53,100,1,false,0,USD,-5.947955390334577,192535,121466196.31598513,USD,,-0.2062,-457.36568457538993,0.0,1.333333,Commercial services,Commercial Services,america
191,NASDAQ,RAVE,"Rave Restaurant Group, Inc.",rave-restaurant-group,stock,['common'],2.090988420084432,3.15,100,1,false,0,USD,-3.0769230769230793,79794,44766432.41538462,USD,16.890080428954423,0.1865,22.85902503293808,0.0,,Consumer services,Consumer Services,america
192,NASDAQ,FGBI,"First Guaranty Bancshares, Inc.",first-guaranty-bancshares,stock,['common'],2.084115312432695,7.7,100,1,false,0,USD,-4.10958904109588,6774,116425316.57534248,USD,,-1.0085,-220.92326139088726,1.36986301369863,2.0,Finance,Finance,america
193,NASDAQ,MGYR,"Magyar Bancorp, Inc.",magyar-bancorp,stock,['common'],2.0838748808595655,17.15,100,1,false,0,USD,-0.694846554719172,4810,110633765.1910828,USD,11.04883391315552,1.5522,34.90352859377715,1.27388535031847,,Finance,Finance,america
194,NASDAQ,MARPS,Marine Petroleum Trust,marine-petroleum-trust,stock,['common'],2.0752368348641888,4.2,100,1,false,0,USD,-7.6923076923076845,15838,8400000.0,USD,11.54797910365686,0.3637,-9.188514357053682,8.48008791208791,,Miscellaneous,Miscellaneous,america
195,NYSE,CNS,Cohen & Steers Inc,cohen-and-steers,stock,['common'],2.0719300696216028,71.85,100,1,false,0,USD,-2.0049099836333864,422739,3664109885.570786,USD,22.830542404118074,3.1471,23.150068479749567,3.30060010911075,1.833333,Finance,Finance,america
196,NASDAQ,ERAS,"Erasca, Inc.",erasca,stock,['common'],2.0710245675689043,1.5,100,1,false,0,USD,2.739726027397263,1356845,425505214.7260274,USD,,-0.4533,50.765721733463664,0.0,1.111111,Health technology,Health Technology,america
197,NASDAQ,IXHL,Incannex Healthcare Inc.,incannex-healthcare,stock,['common'],2.0675628823460186,0.4575,10000,1,false,0,USD,12.96296296296296,158811782,42865629.68518519,USD,,-1.2508,-3384.1225626740943,0.0,,Health technology,Health Technology,america
198,NYSE,SPNT,SiriusPoint Ltd.,siriuspoint-ltd,stock,['common'],2.045429180450199,18.5,100,1,false,0,USD,-0.6977992485238809,1442353,2160051332.9039183,USD,21.09223577699236,0.8771,-54.79332027626018,0.0,1.25,Finance,Finance,america
199,NASDAQ,KROS,"Keros Therapeutics, Inc.",keros-therapeutics,stock,['common'],2.0430022742231775,15.17,100,1,false,0,USD,6.60576247364722,1036403,616135805.626142,USD,48.42004468560485,0.3133,,0.0,1.454545,Health technology,Health Technology,america
200,NASDAQ,AIHS,Senmiao Technology Limited,,stock,['common'],2.033134184110527,2.12,100,1,false,0,USD,4.87261934207272,37025,2349621.746228048,USD,,-3.053,28.222128179809097,0.0,,Finance,Finance,america
201,NASDAQ,ANIK,Anika Therapeutics Inc.,anika-therapeutics,stock,['common'],2.0256305341738896,9.05,100,1,false,0,USD,8.124253285543627,216342,130483712.0131422,USD,,-4.1431,18.178766095268198,0.0,1.0,Health technology,Health Technology,america
202,NASDAQ,FBGL,FBS Global Limited,fbs-global-limited,stock,['common'],2.0246549051450504,0.5099,10000,1,false,0,USD,-9.270462633451963,68570,,USD,,,,,,Industrial services,Industrial Services,america
203,NASDAQ,MBIN,Merchants Bancorp,merchants-bancorp,stock,['common'],2.0216535324838323,31.69,100,1,false,0,USD,-2.251696483652068,257385,1454110020.9555829,USD,6.970196854723414,4.5465,-30.720000000000002,1.17211597779149,1.5,Finance,Finance,america
204,NASDAQ,EHGO,Eshallgo Inc.,eshallgo,stock,['common'],2.0147682698417775,0.7155,10000,1,false,0,USD,2.95112159887193,289795,18936422.649966188,USD,,-0.4888,-122300.0,0.0,,Distribution services,Distribution Services,america
205,NASDAQ,RMTI,"Rockwell Medical, Inc.",rockwell-medical,stock,['common'],2.004236812317557,1.155,100,1,false,0,USD,9.999999999999998,423004,39767053.7,USD,,-0.0667,60.9713282621416,0.0,1.0,Health technology,Health Technology,america
206,NASDAQ,GRCE,"Grace Therapeutics, Inc.",acasti-pharma,stock,['common'],2.00005347764069,3.3,100,1,false,0,USD,0.9174311926605444,194479,45634253.85321101,USD,,-0.8241,32.3065549531789,0.0,1.0,Health technology,Health Technology,america
207,NASDAQ,ANTE,AirNet Technology Inc.,airnet-technology,stock,['common'],1.9973580829529936,2.2,100,1,false,0,USD,-26.910299003322248,923259,65754146.710963465,USD,6.975269499048827,0.3154,,0.0,,Commercial services,Commercial Services,america
208,NASDAQ,ALDF,Aldel Financial II Inc.,aldel-financial-ii,stock,['common'],1.9839611614106683,10.42,100,1,false,0,USD,0.0,97424,311226797.0,USD,53.60082304526749,0.1944,,0.0,,Finance,Finance,america
209,NASDAQ,NVEC,NVE Corporation,nve,stock,['common'],1.9760205903417756,63.01,100,1,false,0,USD,0.47839260086110214,95738,304789814.7289108,USD,20.96699054971383,3.0052,-13.531865918572866,6.37856801148142,,Electronic technology,Electronic Technology,america
210,NYSE,TGLS,Tecnoglass Inc.,tecnoglass,stock,['common'],1.9522359716588578,70.0,100,1,false,0,USD,0.0,1005423,3289100380.0,USD,17.992545945251255,3.8905,24.90769576524223,0.8,1.375,Producer manufacturing,Producer Manufacturing,america
211,AMEX,GRAF,Graf Global Corp.,graf-global,stock,['common'],1.9455031571761763,10.49,100,1,false,0,USD,0.09541984732824223,10260,301587500.0,USD,31.03550295857988,0.338,,0.0,,Finance,Finance,america
