,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
389,NYSE,GWH,"ESS Tech, Inc.",ess-tech,stock,['common'],1.61,-0.019999999999999796,-1.2269938650306624,2902,0.6134969325153381,1.58,-3.0674846625766765,155732,22419667.8404908,-79.0080145253024,100,1,false,0,USD,USD
390,NASDAQ,APLD,Applied Digital Corporation,applied-digital,stock,['common'],16.14,-0.1999999999999993,-1.2239902080783311,795408,0.9791921664626693,15.34,-6.119951040391677,29110751,4011713859.6768665,513.7909708106984,100,1,false,0,USD,USD
391,NASDAQ,AMTX,"Aemetis, Inc",aemetis,stock,['common'],2.43,-0.029999999999999805,-1.2195121951219432,8522,0.0,2.36,-4.065040650406507,834373,149248657.3495935,10.469046632534177,100,1,false,0,USD,USD
392,NASDAQ,NMRA,"Neumora Therapeutics, Inc.",neumora-therapeutics,stock,['common'],1.62,-0.019999999999999796,-1.2195121951219388,747,0.6097560975609762,1.61,-1.829268292682915,332146,260732122.46951222,-85.14437290625243,100,1,false,0,USD,USD
393,NYSE,CVX,Chevron Corporation,chevron,stock,['common'],153.44,-1.8799999999999955,-1.2104043265516324,13566,-0.8562966778264127,152.0,-2.1375225341230966,8566099,311203890652.0731,18.662896776208118,100,1,false,0,USD,USD
394,AMEX,TOVX,"Theriva Biologics, Inc.",synthetic-biologics,stock,['common'],0.4347,-0.005300000000000027,-1.2045454545454608,51477,-0.11363636363636374,0.426,-3.1818181818181848,666116,4088727.6681818184,-2.6223951615214838,10000,1,false,0,USD,USD
395,NASDAQ,FORD,"Forward Industries, Inc.",forward-industries,stock,['common'],12.35,-0.15000000000000036,-1.2000000000000028,100,-1.2000000000000028,11.0,-12.0,47308,18899991.44,283.2093487572392,100,1,false,0,USD,USD
396,NYSE,CRK,"Comstock Resources, Inc.",comstock-resources,stock,['common'],14.85,-0.17999999999999972,-1.1976047904191598,4780,-1.1976047904191598,15.19,1.0645375914837003,3364819,4451684658.648703,67.26507630864327,100,1,false,0,USD,USD
397,NASDAQ,GEVO,"Gevo, Inc.",gevo,stock,['common'],1.66,-0.020000000000000018,-1.1904761904761916,61308,-1.1904761904761916,1.59,-5.357142857142849,5169891,384524126.4107143,115.96519671762157,100,1,false,0,USD,USD
398,NASDAQ,HOND,HCM II Acquisition Corp.,hcm-ii-acquisition,stock,['common'],11.63,-0.1399999999999988,-1.1894647408665997,3057,-0.1699235344095121,11.47,-2.548853016142727,419430,329762500.0,,100,1,false,0,USD,USD
399,NYSE,ALB,Albemarle Corporation,albemarle,stock,['common'],82.11,-0.980000000000004,-1.1794439764111253,7520,-0.10831628354796413,80.55,-3.0569262245757685,3810393,9479359592.99675,-14.274437255276032,100,1,false,0,USD,USD
400,NASDAQ,ZDAI,Primega Group Holdings Limited,primega-limited,stock,['common'],0.5149,-0.006099999999999994,-1.1708253358925134,20256,-4.030710172744725,0.4702,-9.750479846449139,138082,12413280.902495202,-90.55396856633702,10000,1,false,0,USD,USD
401,NYSE,CAH,"Cardinal Health, Inc.",cardinal-health,stock,['common'],148.0,-1.7299999999999898,-1.1554130768716955,1124,-0.14025245441793865,149.02,-0.47418686969877755,2076651,35585027237.34282,51.79787770518674,100,1,false,0,USD,USD
402,NYSE,WTI,"W&T Offshore, Inc.",w-and-t-offshore,stock,['common'],1.72,-0.020000000000000018,-1.1494252873563229,279,-1.1494252873563229,1.68,-3.448275862068969,1251562,249209579.86206895,-22.610784690278493,100,1,false,0,USD,USD
403,NYSE,EVC,Entravision Communications Corporation,entravision,stock,['common'],2.4318,-0.028200000000000003,-1.1463414634146343,200,-1.1463414634146343,2.39,-2.8455284552845463,219416,217433347.28455287,30.931803527597918,100,1,false,0,USD,USD
404,NASDAQ,BOF,BranchOut Food Inc.,branchout-food,stock,['common'],2.165,-0.02499999999999991,-1.1415525114155212,500,-0.9132420091324209,2.153,-1.6894977168949739,54194,25369843.205000002,,100,1,false,0,USD,USD
405,NYSE,DLNG,Dynagas LNG Partners LP,dynagas,stock,['common'],3.48,-0.040000000000000036,-1.1363636363636374,1625,-1.1363636363636374,3.55,0.8522727272727216,34498,129684853.33806817,-3.5314489595900316,100,1,false,0,USD,USD
406,NASDAQ,CREV,Carbon Revolution Public Limited Company,carbon-revolution-public-limited-company,stock,['common'],4.3501,-0.049900000000000055,-1.1340909090909104,100,-1.1340909090909104,4.28,-2.7272727272727297,29818,8068586.9363636365,-24.4147196054429,100,1,false,0,USD,USD
407,NASDAQ,NVAX,"Novavax, Inc.",novavax,stock,['common'],9.6,-0.11000000000000121,-1.1328527291452235,91582,1.9567456230689957,9.52,-1.9567456230690141,4400891,1546254077.1163747,-23.735668344514718,100,1,false,0,USD,USD
408,NASDAQ,LGND,Ligand Pharmaceuticals Incorporated,ligand-pharmaceutical,stock,['common'],151.52,-1.7349999999999852,-1.1321000946135429,252,0.3621415288245126,154.07,0.5317934162017538,113224,3019242316.076213,59.44202729913539,100,1,false,0,USD,USD
409,NASDAQ,LASR,"nLIGHT, Inc.",nlight,stock,['common'],27.09,-0.3099999999999987,-1.131386861313864,1237,1.7518248175182498,26.26,-4.160583941605829,903924,1310359797.5569344,93.6355728505018,100,1,false,0,USD,USD
410,NYSE,SUN,Sunoco LP,sunoco,stock,['common'],52.62,-0.6000000000000014,-1.1273957158962824,100,-1.1273957158962824,51.81,-2.649379932356251,816216,7927725386.691658,-0.8984704568355043,100,1,false,0,USD,USD
411,NASDAQ,TWG,Top Wealth Group Holding Limited,top-wealth-limited,stock,['common'],7.1,-0.08079999999999998,-1.1252228163992868,518,-2.517825311942954,6.03,-16.02606951871657,44763,3752004.758522728,-80.88922289938962,100,1,false,0,USD,USD
412,NASDAQ,CEP,"Cantor Equity Partners, Inc.",cantor-equity-partners,stock,['common'],26.39,-0.3000000000000007,-1.1240164855751245,5931,0.2622705133008628,24.59,-7.868115399025857,433157,314751999.99999994,,100,1,false,0,USD,USD
413,NASDAQ,ASTS,"AST SpaceMobile, Inc.",ast-spacemobile,stock,['common'],47.62,-0.5399999999999991,-1.1212624584717592,54720,0.33222591362127013,44.95,-6.665282392026565,8949929,16115387917.38995,172.62710400208897,100,1,false,0,USD,USD
414,NYSE,HOG,"Harley-Davidson, Inc.",harley-davidson,stock,['common'],27.37,-0.3099999999999987,-1.1199421965317873,201,-1.1199421965317873,28.0,1.1560693641618507,1782640,3403479377.16763,-38.32195373489045,100,1,false,0,USD,USD
