,exchange,name,description,logoid,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,sector,market
405,NASDAQ,TWIN,"Twin Disc, Incorporated",twin-disc-incorporated,stock,['common'],1.886837698716226,13.46,100,1,false,0,USD,2.124430955993939,91272,193692438.20182094,USD,,-0.1393,-117.68664296597258,1.21396054628225,1.0,Producer manufacturing,Producer Manufacturing,america
406,NASDAQ,RGS,Regis Corporation,regis,stock,['common'],1.8832804572297674,29.59,100,1,false,0,USD,1.8588640275387234,63398,72080676.72048193,USD,0.6937313320860705,42.6534,14.607303114168255,0.0,,Consumer services,Consumer Services,america
407,NYSE,GHC,Graham Holdings Company,graham-holdings,stock,['common'],1.8822895332542848,1159.92,100,1,false,0,USD,-1.2565124118908972,52386,5057102044.0122595,USD,7.444809935655718,155.8025,425.88898452399036,0.606122518473116,2.25,Consumer services,Consumer Services,america
408,NASDAQ,RVYL,Ryvyl Inc.,ryvyl,stock,['common'],1.8819293358853935,0.2786,10000,1,false,0,USD,-8.35526315789473,1824465,8731883.949342107,USD,,-2.1645,74.09490754592782,0.0,,Technology services,Technology Services,america
409,NYSE,SRI,"Stoneridge, Inc.",stoneridge,stock,['common'],1.8818995235697409,8.23,100,1,false,0,USD,1.2300123001229968,301227,230493453.49569494,USD,,-1.0735,-1726.5151515151513,0.0,1.0,Producer manufacturing,Producer Manufacturing,america
410,NYSE,VAL,Valaris Limited,valaris,stock,['common'],1.881806882945508,51.76,100,1,false,0,USD,-0.5189313857390027,2104715,3686009144.427445,USD,13.476359091855862,3.8408,-72.26959315548174,0.0,1.941176,Industrial services,Industrial Services,america
411,NASDAQ,HSCS,HeartSciences Inc.,heart-test-laboratories,stock,['common'],1.881037488234274,3.3,100,1,false,0,USD,9.816971713810315,132296,8737450.083194675,USD,,-8.2996,65.99360812914857,0.0,1.0,Health technology,Health Technology,america
412,NASDAQ,TSLA,"Tesla, Inc.",tesla,stock,['common'],1.8807997376478618,410.04,100,1,false,0,USD,3.561145628125479,163822311,1322563105703.4026,USD,237.45656706045867,1.7268,-51.50391776897801,0.0,1.77,Consumer durables,Consumer Durables,america
413,NASDAQ,FDUS,Fidus Investment Corporation,fidus-investment,stock,['common'],1.8791404344911815,21.15,100,1,false,0,USD,-1.4904517931998151,365577,748284819.9836982,USD,9.162190261653093,2.3084,-27.461270150520072,8.011178388449,1.25,Miscellaneous,Miscellaneous,america
414,NASDAQ,SCNX,"Scienture Holdings, Inc.",scienture,stock,['common'],1.8775309344021172,0.9828,10000,1,false,0,USD,4.176383294466821,343376,20394485.545897815,USD,,-2.96,89.02134162172587,0.0,,Commercial services,Commercial Services,america
415,NASDAQ,RHLD,Resolute Holdings Management,resolute-management,stock,['common'],1.8765278850903746,66.75,100,1,false,0,USD,-3.176675369886855,103705,569110394.4625762,USD,,,,0.0,,Commercial services,Commercial Services,america
416,NASDAQ,STIM,"Neuronetics, Inc.",neuronetics,stock,['common'],1.8753473008361394,2.87,100,1,false,0,USD,-8.159999999999997,2865932,189778224.67520002,USD,,-1.1314,-2.4262176353431046,0.0,1.0,Health technology,Health Technology,america
417,NASDAQ,SLM,SLM Corporation,slm,stock,['common'],1.8706422513604404,27.86,100,1,false,0,USD,-0.9598293636686797,5045402,5808290768.039815,USD,14.06857546836338,1.9803,-38.44456187249386,1.77746178457163,1.136364,Finance,Finance,america
418,NASDAQ,SNYR,Synergy CHC Corp.,synergy-chc,stock,['common'],1.8648671733255984,2.21,100,1,false,0,USD,2.3148148148148064,198685,24733995.662037037,USD,5.952060328575276,0.3713,,0.0,1.0,Health technology,Health Technology,america
419,NASDAQ,FIZZ,National Beverage Corp.,national-beverage,stock,['common'],1.8638239454336138,38.62,100,1,false,0,USD,-1.4293006636038854,447484,3615613668.6028585,USD,19.474560032272702,1.9831,0.993073945813815,0.0,2.5,Consumer non-durables,Consumer Non-Durables,america
420,NYSE,AMTM,"Amentum Holdings, Inc.",amentum,stock,['common'],1.8623983568063902,22.95,100,1,false,0,USD,-3.7735849056603863,2377786,5584392464.094339,USD,107.34331150608045,0.2138,,0.0,1.722222,Electronic technology,Electronic Technology,america
421,AMEX,UAVS,"AgEagle Aerial Systems, Inc.",ageagle-aerial-systems,stock,['common'],1.8606363486544764,1.69,100,1,false,0,USD,-6.111111111111116,4858179,57514641.45555556,USD,,-19.8995,93.29545224826991,0.0,,Electronic technology,Electronic Technology,america
422,NASDAQ,SSSS,SuRo Capital Corp.,suro-capital,stock,['common'],1.8575237417381047,9.1,100,1,false,0,USD,-1.8338727076591146,323615,217381787.5512406,USD,4.687821965794353,1.9412,,2.69687162891046,1.0,Miscellaneous,Miscellaneous,america
423,NASDAQ,ITIC,Investors Title Company,investors-title-company,stock,['common'],1.8553803506190163,254.84,100,1,false,0,USD,0.023549729178115344,43371,481029345.43700445,USD,14.573111454223138,17.487,25.522201645204344,0.72219169479551,,Finance,Finance,america
424,NYSE,ARL,"American Realty Investors, Inc.",american-realty-investors,stock,['common'],1.8528933883264591,16.65,100,1,false,0,USD,5.047318611987375,2965,268931512.2208202,USD,,-0.7324,-412.7241673783091,0.0,,Finance,Finance,america
425,NASDAQ,RDNT,"RadNet, Inc.",radnet,stock,['common'],1.852552173172722,74.99,100,1,false,0,USD,1.3241453857586674,985713,5767935611.354006,USD,,-0.2051,-239.71389645776563,0.0,1.071429,Health services,Health Services,america
426,NYSE,IDT,IDT Corporation,idt-corporation,stock,['common'],1.8514976260267455,66.44,100,1,false,0,USD,0.15073861923423923,238888,1676276555.0087428,USD,17.534044125409057,3.7892,170.0399087799316,0.331624962315345,1.0,Communications,Communications,america
427,AMEX,JOB,GEE Group Inc.,gee-group,stock,['common'],1.8483469102911134,0.2045,10000,1,false,0,USD,-2.6190476190476217,519913,22375006.21666667,USD,,-0.3335,-67.84096628082538,0.0,,Commercial services,Commercial Services,america
428,NYSE,BBAI,"BigBear.ai, Inc.",bigbear-ai,stock,['common'],1.8455088092316163,5.09,100,1,false,0,USD,0.5928853754940762,91990476,1886879195.4545457,USD,,-1.4386,-74.14356615421865,0.0,1.333333,Technology services,Technology Services,america
429,NASDAQ,PPCB,"Propanc Biopharma, Inc.",propanc-biopharma,stock,['common'],1.843308275565606,2.25,100,1,false,0,USD,1.3513513513513424,1020555,28376510.47297297,USD,,-126.4755,99.0129001402921,0.0,,Health technology,Health Technology,america
