,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
430,NASDAQ,UPST,"Upstart Holdings, Inc.",upstart,stock,['common'],83.65780093227312,66.98,100,1,false,0,USD,6.182625237793288,6186976,6444664608.306912,USD,,-0.0763,96.72714794320765,0.0,0.9107299805111566,Finance,Finance,america,1.75
431,NYSE,CCL,Carnival Corporation,carnival,stock,['common'],83.65667254556142,31.24,100,1,false,0,USD,-0.8568708346556748,25356672,40683782291.47445,USD,16.932249322493224,1.845,183.14917127071823,0.0,1.6596734800055881,Consumer services,Consumer Services,america,1.333333
432,AMEX,PLX,"Protalix BioTherapeutics, Inc. (DE)",protalix-biotherapeutics,stock,['common'],83.65384615384613,1.91,100,1,false,0,USD,5.524861878453031,1353468,152288338.43646407,USD,25.81081081081081,0.074,,0.0,1.789313914422634,Health technology,Health Technology,america,1.0
433,NASDAQ,CRMD,CorMedix Inc.,cormedix,stock,['common'],83.33333333333333,12.65,100,1,false,0,USD,-2.2411128284389426,2329998,944309749.3083464,USD,16.941207981786526,0.7467,,0.0,0.38471637116186064,Health technology,Health Technology,america,1.166667
434,NASDAQ,LAUR,"Laureate Education, Inc.",laureate-education,stock,['common'],83.12655086848633,29.52,100,1,false,0,USD,0.44232732221843823,615869,4350158567.363049,USD,17.412847283666608,1.6953,35.019114367633,0.0,0.7063480130137897,Commercial services,Commercial Services,america,1.25
435,NASDAQ,UFG,Uni-Fuels Holdings Limited,uni-fuels-limited,stock,['common'],82.5708061002179,8.38,100,1,false,0,USD,-6.0538116591928155,231857,289141800.0,USD,,,,0.0,0.39906251968574413,Distribution services,Distribution Services,america,
436,NASDAQ,BUUU,BUUU Group Limited,,stock,['common'],82.5,7.3,100,1,false,0,USD,3.693181818181815,117509,83950000.0,USD,,,,0.0,1.7527616933811838,Commercial services,Commercial Services,america,
437,NYSE,PRA,ProAssurance Corporation,proassurance,stock,['common'],82.08269525267994,23.78,100,1,false,0,USD,-0.0420344682639681,226091,1222616474.5514925,USD,25.105574324324323,0.9472,,0.0,0.5441552249525199,Finance,Finance,america,2.2
438,NASDAQ,PBYI,Puma Biotechnology Inc,puma-biotechnology,stock,['common'],81.9607843137255,4.64,100,1,false,0,USD,3.8031319910514525,455824,233720146.6129754,USD,4.733727810650888,0.9802,435.9212684527063,0.0,0.8499065394422199,Health technology,Health Technology,america,2.5
439,NYSE,HCI,"HCI Group, Inc.",hci-group,stock,['common'],81.88686951194609,178.14,100,1,false,0,USD,-1.471238938053111,164502,2308657750.2567472,USD,15.787234796788315,11.2838,-11.661734542095301,0.884955752212389,1.1243425751574574,Finance,Finance,america,1.166667
