,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
169,NASDAQ,LICN,Lichen International Limited,lichen-international-limited,stock,['common'],3365320.0,USD,4.76,100,1,false,0,USD,-4.990019960079841,19678,,-8.808,,0.0,0.13219140950652258,Commercial services,Commercial Services,america,
170,NASDAQ,LINK,"Interlink Electronics, Inc.",interlink-electronics,stock,['common'],86410516.46420823,USD,8.76,100,1,false,0,USD,-4.9891540130151935,70244,,-0.2069,-10.997854077253214,0.0,0.6772274974957314,Electronic technology,Electronic Technology,america,1.0
171,NASDAQ,ERIE,Erie Indemnity Company,erie-indemnity,stock,['common'],14986810236.422459,USD,321.81,100,1,false,0,USD,-4.975491643536296,122829,27.130403992715994,11.8616,17.813688779412203,1.58566113506171,0.9915976291234828,Finance,Finance,america,1.5
172,NASDAQ,NTHI,"NeOnc Technologies Holdings, Inc.",neonc-technologies,stock,['common'],191016416.43,USD,9.97,100,1,false,0,USD,-4.9571020019065735,109855,,-2.5907,,0.0,0.9263764517981511,Health technology,Health Technology,america,
173,NASDAQ,BWEN,"Broadwind, Inc.",broadwind,stock,['common'],49078322.73214285,USD,2.13,100,1,false,0,USD,-4.9107142857143,111515,,-0.0979,-128.43450479233226,0.0,0.5086003468050968,Producer manufacturing,Producer Manufacturing,america,1.0
174,NASDAQ,SNBR,Sleep Number Corporation,sleep-number,stock,['common'],203117321.90191898,USD,8.92,100,1,false,0,USD,-4.904051172707898,395825,,-1.8172,-2.135791366906477,0.0,0.8532252161058398,Consumer durables,Consumer Durables,america,2.0
175,NYSE,SI,"Shoulder Innovations, Inc.",shoulder-innovations,stock,['common'],304177802.4,USD,14.94,100,1,false,0,USD,-4.901336728198609,78757,,-1.5707,-122.69956047072166,0.0,0.554129604847482,Health technology,Health Technology,america,1.0
176,NASDAQ,JL,J-Long Group Limited,,stock,['common'],20501270.45,USD,5.45,100,1,false,0,USD,-4.886561954624786,20923,52.45428296438883,0.1039,201.15942028985506,0.0,1.4980203478173701,Distribution services,Distribution Services,america,
177,NASDAQ,BMHL,Bluemount Holdings Limited,bluemount-limited,stock,['common'],,USD,3.72,100,1,false,0,USD,-4.859335038363169,4784,,,,,1.0451119606772254,Finance,Finance,america,
178,NASDAQ,UBXG,U-BX Technology Ltd.,u-bx-technology-ltd,stock,['common'],57156396.799307965,USD,2.75,100,1,false,0,USD,-4.84429065743945,2181811,,-0.1368,-27.85046728971963,0.0,3.6657275856286997,Commercial services,Commercial Services,america,
179,NASDAQ,SSM,Sono Group N.V.,sono-nv,stock,['common'],13529078.58290422,USD,9.24,100,1,false,0,USD,-4.840370751802272,41740,0.03177070081214713,290.834,,0.0,,Consumer durables,Consumer Durables,america,
180,NASDAQ,AVTX,"Avalo Therapeutics, Inc.",avalo-therapeutics,stock,['common'],133364887.76536839,USD,10.14,100,1,false,0,USD,-4.833411543876103,187458,,-9.3766,95.12213646739595,0.0,0.9561549369051384,Health technology,Health Technology,america,1.0
181,NYSE,FDS,FactSet Research Systems Inc.,factset-research-systems,stock,['common'],13021787084.901836,USD,344.43,100,1,false,0,USD,-4.811518903382702,843072,24.861232414952973,13.8541,4.469362209118198,1.18284324563343,2.0920793641813002,Technology services,Technology Services,america,2.113636
182,NASDAQ,ALMU,"Aeluma, Inc.",aeluma,stock,['common'],233625433.87305698,USD,14.7,100,1,false,0,USD,-4.792746113989639,221501,,-0.2406,34.97297297297297,0.0,0.5260492973651818,Commercial services,Commercial Services,america,1.0
183,NYSE,LYB,LyondellBasell Industries NV,lyondellbasell,stock,['common'],16912275217.247013,USD,52.58,100,1,false,0,USD,-4.7808764940239055,6260503,68.97546897546897,0.7623,-89.2712379665597,9.81528431727635,1.4343639013268084,Process industries,Process Industries,america,1.875
184,NYSE,GTN,"Gray Media, Inc.",gray-television,stock,['common'],606522085.0341297,USD,5.58,100,1,false,0,USD,-4.778156996587034,928377,3.7027206370272068,1.507,1862.2395833333333,5.46075085324232,0.855724769089615,Consumer services,Consumer Services,america,1.5
185,NASDAQ,INAB,"IN8bio, Inc.",in8bio-inc,stock,['common'],9079433.333333332,USD,2.0,100,1,false,0,USD,-4.761904761904765,72815,,-10.273,58.667777120625075,0.0,1.5652441213330195,Health technology,Health Technology,america,1.0
186,NASDAQ,GCL,GCL Global Holdings Ltd,gcl-global-ltd,stock,['common'],367718936.1904762,USD,3.0,100,1,false,0,USD,-4.761904761904759,183255,,-0.1512,20.0,0.0,1.4061967654903789,Technology services,Technology Services,america,
