,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
336,NASDAQ,LMFA,"LM Funding America, Inc.",lm-funding,stock,['common'],1.27,0.0,0.0,51106,2.362204724409451,1.22,-3.9370078740157513,351261,18542033.590551183,168.30284265942305,100,1,false,0,USD,USD
337,AMEX,FSI,Flexible Solutions International Inc.,flexible-solutions-international,stock,['common'],9.93,0.1899999999999995,1.950718685831617,953,2.361396303901442,10.8,10.882956878850107,161156,136690545.95482546,234.38996242909366,100,1,false,0,USD,USD
338,NYSE,UWMC,UWM Holdings Corporation,uwm-holdings,stock,['common'],7.01,0.16000000000000014,2.3357664233576667,29691,2.3357664233576667,6.75,-1.459854014598535,7566950,10795394675.036495,-39.29960691088004,100,1,false,0,USD,USD
339,NASDAQ,ETOR,eToro Group Ltd.,etoro-limited,stock,['common'],44.7,0.5600000000000023,1.268690530131405,2533,2.3334843679202564,43.35,-1.7897598550067946,651076,3628567879.485728,,100,1,false,0,USD,USD
340,NASDAQ,IDYA,"IDEAYA Biosciences, Inc.",ideaya-biosciences,stock,['common'],24.63,0.019999999999999574,0.0812677773262884,300,2.3303535148313665,24.53,-0.3250711093051536,716777,2149899631.0759854,-35.52172011103786,100,1,false,0,USD,USD
341,NYSE,DK,"Delek US Holdings, Inc.",delek-us-holdings,stock,['common'],28.5308,0.6308000000000007,2.2609318996415797,800,2.3268817204301095,28.48,2.078853046594989,1688609,1713140465.3075268,26.477723598768527,100,1,false,0,USD,USD
342,NYSE,SEI,"Solaris Energy Infrastructure, Inc.",solaris-oilfield-infrastructure,stock,['common'],31.42,0.3500000000000014,1.1264885741873236,514,2.317347924042481,32.2,3.636948825233352,3361370,2176168710.505311,282.6185968429183,100,1,false,0,USD,USD
343,NASDAQ,SERV,Serve Robotics Inc.,serve-robotics,stock,['common'],12.38,0.25,2.061005770816158,521019,2.3083264633140916,12.21,0.6595218466611712,10453112,731155919.3742785,84.80101239872938,100,1,false,0,USD,USD
344,NYSE,COOK,"Traeger, Inc.",traeger,stock,['common'],1.33,0.030000000000000027,2.3076923076923097,300,2.3076923076923097,1.33,2.3076923076923097,260624,180728679.76153848,-63.162097685878024,100,1,false,0,USD,USD
345,NASDAQ,CGTX,"Cognition Therapeutics, Inc.",cognition-therapeutics,stock,['common'],2.25,0.08000000000000007,3.6866359447004644,153906,2.3041474654378002,1.54,-29.032258064516125,14014279,135864786.83870968,650.8918730500402,100,1,false,0,USD,USD
346,NASDAQ,KRYS,"Krystal Biotech, Inc.",krystal-biotech,stock,['common'],145.73,2.049999999999983,1.426781737193752,200,2.3037305122494445,155.71,8.372772828507795,798155,4506711156.355582,-23.741706547761385,100,1,false,0,USD,USD
347,NYSE,VOYG,"Voyager Technologies, Inc.",voyager-technologies,stock,['common'],29.91,0.3099999999999987,1.047297297297293,4658,2.2972972972972965,30.3,2.3648648648648622,625686,1786780140.1114864,,100,1,false,0,USD,USD
348,NASDAQ,CSIQ,Canadian Solar Inc.,canadian-solar,stock,['common'],11.17,0.27999999999999936,2.571166207529838,25003,2.295684113865932,12.01,10.284664830119368,2985673,804336678.9375575,-21.63233231685219,100,1,false,0,USD,USD
