,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,minmov,fractional,minmove2,fundamental_currency_code,currency
293,NASDAQ,MRVI,"Maravai LifeSciences Holdings, Inc.",maravai-lifesciences,stock,['common'],2.62,-0.04999999999999982,-1.872659176029956,1650,-1.872659176029956,2.72,1.8726591760299727,898863,694584020.6142322,-72.92844036542276,100,1,false,0,USD,USD
294,NASDAQ,CPOP,"Pop Culture Group Co., Ltd",pop-culture-group-co,stock,['common'],1.5799,-0.030100000000000016,-1.869565217391305,14633,-5.590062111801246,1.58,-1.8633540372670823,231957,23603686.732919253,332.48466153153754,100,1,false,0,USD,USD
295,NASDAQ,HFFG,HF Foods Group Inc.,hf-foods,stock,['common'],3.16,-0.06000000000000005,-1.8633540372670823,720,3.7267080745341503,3.33,3.4161490683229774,26791,183190397.45031056,-3.60718072007145,100,1,false,0,USD,USD
296,NASDAQ,FLWS,"1-800-FLOWERS.COM, Inc.",1-800-flowers-com,stock,['common'],5.29,-0.09999999999999964,-1.8552875695732773,142,-1.8552875695732773,5.43,0.7421150278293143,272963,345450613.90352505,-30.97478596296553,100,1,false,0,USD,USD
297,NASDAQ,PRQR,ProQR Therapeutics N.V.,proqr,stock,['common'],2.15,-0.040000000000000036,-1.8264840182648419,150,-1.8264840182648419,1.985,-9.3607305936073,438822,208846865.97716898,43.47684158211814,100,1,false,0,USD,USD
298,NASDAQ,SPCB,"SuperCom, Ltd.",supercom,stock,['common'],10.25,-0.1899999999999995,-1.8199233716475047,100,-1.8199233716475047,10.29,-1.4367816091954058,89185,45773004.04310345,757.8698037200049,100,1,false,0,USD,USD
299,NASDAQ,XWEL,"XWELL, Inc.",xwell,stock,['common'],1.08,-0.020000000000000018,-1.8181818181818195,200,-1.8181818181818195,1.08,-1.8181818181818195,8093,6217238.945454545,-36.305442360851956,100,1,false,0,USD,USD
300,NASDAQ,SMXT,Solarmax Technology Inc.,solarmax-technology,stock,['common'],1.08,-0.020000000000000018,-1.8181818181818195,2096,-3.636363636363639,1.08,-1.8181818181818195,109787,58647185.018181816,29.393775772876076,100,1,false,0,USD,USD
301,NASDAQ,ALLR,"Allarity Therapeutics, Inc.",allarity-therapeutics,stock,['common'],1.63,-0.030000000000000027,-1.8072289156626522,59559,1.8072289156626522,1.63,-1.8072289156626522,808027,23830005.933734942,192.70129208950422,100,1,false,0,USD,USD
302,NASDAQ,INKT,"MiNK Therapeutics, Inc.",mink-therapeutics,stock,['common'],14.14,-0.2599999999999998,-1.805555555555554,200,-1.805555555555554,14.27,-0.9027777777777832,28793,64542163.53333334,101.09962016601537,100,1,false,0,USD,USD
