,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
405,NASDAQ,XAGE,"Longevity Health Holdings, Inc.",carmell-therapeutics,stock,['common'],4466461.49925926,USD,2.5068,100,1,false,0,USD,3.1604938271604923,19416,,-8.3777,-379.816299265197,0.0,1.1505573234253614,,Finance,Finance,america
406,NASDAQ,BYRN,"Byrna Technologies, Inc.",byrna-technologies,stock,['common'],459525206.00611615,USD,20.24,100,1,false,0,USD,3.160040774719661,651486,32.57685498149042,0.6213,,0.0,1.1327072911927027,1.0,Electronic technology,Electronic Technology,america
407,NASDAQ,ABTS,Abits Group Inc,abits,stock,['common'],8509420.295393808,USD,3.59,100,1,false,0,USD,3.157955231171508,6184,,-0.5275,86.25407166123779,0.0,0.6218512745738867,,Technology services,Technology Services,america
408,NYSE,RXO,"RXO, Inc.",rxo,stock,['common'],2792702537.9370074,USD,17.03,100,1,false,0,USD,3.1496062992125955,2026353,,-2.1717,-1111.2102621305075,0.0,0.9533519043039068,1.97619,Technology services,Technology Services,america
409,NASDAQ,ORMP,Oramed Pharmaceuticals Inc.,oramed,stock,['common'],94308283.09417039,USD,2.3,100,1,false,0,USD,3.1390134529147913,119022,,-0.6085,-219.52465134551167,0.0,1.3344575087480506,,Health technology,Health Technology,america
410,NYSE,KVYO,"Klaviyo, Inc. Series A",klaviyo,stock,['common'],9959480491.680647,USD,33.2,100,1,false,0,USD,3.137620378999705,1847450,,-0.2412,82.85226787999432,0.0,1.2411074511726043,1.130435,Technology services,Technology Services,america
411,NASDAQ,CASY,"Caseys General Stores, Inc.",casey-s-general-stores,stock,['common'],19389883977.215015,USD,521.5,100,1,false,0,USD,3.1366189383751313,1244189,35.61380026223776,14.6432,9.081428177680447,0.409382169132189,5.087436227593023,1.4,Retail trade,Retail Trade,america
412,NASDAQ,WMG,Warner Music Group Corp.,wmg,stock,['common'],17571895207.14959,USD,33.71,100,1,false,0,USD,3.1202202508412458,1662787,59.64260438782731,0.5652,-45.79457178478948,2.23309880697461,0.8463651924350608,1.5,Commercial services,Commercial Services,america
413,NASDAQ,MCFT,"MasterCraft Boat Holdings, Inc.",mastercraft-boat,stock,['common'],388091281.5857886,USD,23.8,100,1,false,0,USD,3.119584055459283,276449,77.57496740547587,0.3068,-29.471264367816087,0.0,0.9390742586398881,1.916667,Consumer durables,Consumer Durables,america
414,NYSE,GEV,GE Vernova Inc.,ge-verona,stock,['common'],163396979095.53577,USD,600.23,100,1,false,0,USD,3.1181280923584347,2513708,143.6266181713766,4.1791,-3.2257317525009155,0.128848268279274,0.8512250768477336,1.442857,Producer manufacturing,Producer Manufacturing,america
