,exchange,name,description,logoid,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,sector.tr,sector,market,recommendation_mark
316,NYSE,RCL,Royal Caribbean Cruises Ltd.,royal-caribbean-cruises,stock,['common'],118.1088933804952,345.31,100,1,false,0,USD,-1.6378966558423063,1418563,93795744905.45038,USD,26.026364780632665,13.2677,47.996073575834636,0.697886401184983,0.8184467925609058,Consumer services,Consumer Services,america,1.410714
317,AMEX,KULR,"KULR Technology Group, Inc.",kulr-technology,stock,['common'],117.6642946839682,4.16,100,1,false,0,USD,0.9708737864077678,1000869,171011535.68932042,USD,,-0.5602,54.98593812776215,0.0,0.7352997572532012,Producer manufacturing,Producer Manufacturing,america,
318,NASDAQ,AKBA,"Akebia Therapeutics, Inc.",akebia-therapeutics,stock,['common'],117.3913043478261,3.0,100,1,false,0,USD,-4.153354632587856,3358646,795435087.2204473,USD,,-0.1733,14.37747035573122,0.0,0.7407324253791664,Health technology,Health Technology,america,1.0
319,NASDAQ,DOMO,"Domo, Inc.",domo,stock,['common'],117.08683473389357,15.5,100,1,false,0,USD,2.8533510285335084,1000820,639083997.013935,USD,,-1.9518,9.718303344280502,0.0,0.8568762689571952,Technology services,Technology Services,america,1.333333
320,NASDAQ,ATLC,Atlanticus Holdings Corporation,atlanticus,stock,['common'],117.03821656050958,68.15,100,1,false,0,USD,0.08811866647085075,27928,1030799305.9017477,USD,11.987265179765005,5.6852,34.97946295021249,0.0,0.8156041831546547,Finance,Finance,america,1.166667
321,NASDAQ,CFSB,"CFSB Bancorp, Inc.",cfsb-bancorp,stock,['common'],116.6412213740458,14.19,100,1,false,0,USD,0.6382978723404246,1458,92924287.80425534,USD,,-0.0008,77.14285714285715,0.0,0.3218471998410631,Finance,Finance,america,
322,NASDAQ,SLSN,"Solesence, Inc.",nanophase-technologies,stock,['common'],113.20132013201321,3.23,100,1,false,0,USD,-2.2692889561270855,9663,227656699.72163388,USD,44.73684210526316,0.0722,,0.0,0.2851384528221713,Consumer non-durables,Consumer Non-Durables,america,
323,NASDAQ,CHCI,"Comstock Holding Companies, Inc.",comstock-holding-companies,stock,['common'],112.59740259740262,16.37,100,1,false,0,USD,-5.101449275362313,42981,164864921.46550724,USD,10.466082731283166,1.5641,88.96943336957835,0.0,0.9282070773603078,Consumer durables,Consumer Durables,america,
324,AMEX,ESP,Espey Mfg. & Electronics Corp.,espey-mfg-and-electronics,stock,['common'],111.79001721170397,49.22,100,1,false,0,USD,2.6485922836287714,60437,139361458.7286757,USD,18.359506135999105,2.6809,39.441381462602706,2.08550573514077,3.120649771774377,Electronic technology,Electronic Technology,america,
325,NASDAQ,NEXT,NextDecade Corporation,nextdecade,stock,['common'],111.38297872340425,9.935,100,1,false,0,USD,-1.5361744301288343,2152154,2602854523.5946484,USD,,-0.7939,-1397.9245283018868,0.0,0.802837094895642,Energy minerals,Energy Minerals,america,1.0
326,NASDAQ,COIN,"Coinbase Global, Inc.",coinbase,stock,['common'],110.73577047663116,318.78,100,1,false,0,USD,5.486432825943079,10361286,81906705840.96,USD,30.839331321105174,10.3368,85.9671848013817,0.0,1.4133939642281923,Finance,Finance,america,1.72973
327,NASDAQ,TVGN,Tevogen Bio Holdings Inc.,tevogen-bio,stock,['common'],110.5663969538315,0.8848,10000,1,false,0,USD,0.6369426751592413,950744,174044636.33121017,USD,,-0.1824,51.05983364636436,0.0,1.6659853154054718,Health technology,Health Technology,america,1.0
328,NYSE,OLO,Olo Inc.,olo,stock,['common'],110.24590163934427,10.26,100,1,false,0,USD,-0.19455252918287524,7332659,1741131876.7470818,USD,,-0.0075,94.9528936742934,0.0,2.115065856371956,Technology services,Technology Services,america,2.0
329,NASDAQ,UFG,Uni-Fuels Holdings Limited,uni-fuels-limited,stock,['common'],110.23965141612202,9.65,100,1,false,0,USD,51.968503937007895,333311,312804750.0,USD,,,,0.0,0.5514730943618246,Distribution services,Distribution Services,america,
330,NASDAQ,ROAD,"Construction Partners, Inc.",construction-partners,stock,['common'],109.55767562879446,120.81,100,1,false,0,USD,-2.162293488824102,373096,6776245880.128523,USD,88.30494846867919,1.3681,1.8689501116902547,0.0,0.9903301755326632,Industrial services,Industrial Services,america,1.3
331,NASDAQ,GRPN,"Groupon, Inc.",groupon,stock,['common'],109.47176684881603,23.0,100,1,false,0,USD,1.098901098901099,1675256,929797618.8571428,USD,,-0.2647,76.98260869565217,0.0,1.3521116029444573,Retail trade,Retail Trade,america,1.666667
332,NASDAQ,SHOP,Shopify Inc.,shopify,stock,['common'],109.4626168224299,143.44,100,1,false,0,USD,-1.9012446997674743,5748588,186432282158.8208,USD,79.1670635874226,1.8118645999999998,86.71901922731294,0.0,1.100311522067287,Commercial services,Commercial Services,america,1.471698
333,NASDAQ,CORT,Corcept Therapeutics Incorporated,corcept-therapeutics,stock,['common'],108.63874345549738,71.73,100,1,false,0,USD,0.7019514249613926,746453,7558314332.976414,USD,63.83376345999823,1.1237,-0.3281887528827423,0.0,1.1301996241414334,Health technology,Health Technology,america,1.0
334,NYSE,LRN,"Stride, Inc.",k12,stock,['common'],108.60228557076482,166.11,100,1,false,0,USD,1.0278554920326155,564605,7246868033.383106,USD,27.60494565759298,6.0174,28.954417847116577,0.0,0.9995474989758536,Consumer services,Consumer Services,america,1.285714
335,NASDAQ,CRGO,Freightos Limited,freightos-limited,stock,['common'],108.49673202614379,3.19,100,1,false,0,USD,1.269841269841271,50911,159636344.65079364,USD,,,,0.0,0.7447276918868552,Technology services,Technology Services,america,1.0
336,NASDAQ,CURX,Curanex Pharmaceuticals Inc,,stock,['common'],108.42105263157896,7.92,100,1,false,0,USD,6.308724832214761,469172,219780000.0,USD,,-0.0151,,0.0,,Health technology,Health Technology,america,
337,NYSE,KRMN,Karman Holdings Inc.,karman,stock,['common'],108.36666666666666,62.51,100,1,false,0,USD,0.2405388069275154,1815960,8271475397.214881,USD,,,,0.0,1.2153868147436628,Electronic technology,Electronic Technology,america,1.1
338,NASDAQ,MGRM,Monogram Technologies Inc.,monogram-orthopaedics,stock,['common'],107.55395683453239,5.77,100,1,false,0,USD,0.34782608695651435,96103,234448751.82,USD,,-0.5372,-43.67477935276812,0.0,0.9814520543468492,Health technology,Health Technology,america,1.0
339,NYSE,NRGV,"Energy Vault Holdings, Inc.",energy-vault,stock,['common'],107.01754385964912,1.77,100,1,false,0,USD,-8.290155440414503,2857748,286484063.50259066,USD,,-0.962,-59.37707090788601,0.0,1.2519076518848369,Producer manufacturing,Producer Manufacturing,america,2.0
340,NASDAQ,PHLT,"Performant Healthcare, Inc.",performant-financial,stock,['common'],106.75675675675676,7.65,100,1,false,0,USD,0.26212319790302047,570218,604327246.5137615,USD,,-0.0123,85.09090909090908,0.0,0.6078977518834161,Commercial services,Commercial Services,america,2.0
341,NASDAQ,INSM,Insmed Incorporated,insmed,stock,['common'],106.48057231028191,147.2,100,1,false,0,USD,0.35451322607034486,1461438,31114367001.42896,USD,,-5.7032,-5.646117368109073,0.0,0.6135220024662825,Health technology,Health Technology,america,1.075
342,NYSE,CCJ,Cameco Corporation,cameco,stock,['common'],106.42838090157375,77.39,100,1,false,0,USD,0.19419989642672927,3714552,33694636002.766174,USD,85.99754597518373,0.8999094,108.31726042445815,0.150009375585974,1.0845104586277825,Non-energy minerals,Non-Energy Minerals,america,1.238095
343,NYSE,SNOW,Snowflake Inc.,snowflake,stock,['common'],106.33004024881083,225.56,100,1,false,0,USD,-0.4238036376478933,3947035,76419726687.58574,USD,,-4.1474,-35.49166938908854,0.0,0.33493795221261047,Technology services,Technology Services,america,1.264151
344,NASDAQ,FBIO,"Fortress Biotech, Inc.",fortress-biotech,stock,['common'],106.32183908045977,3.59,100,1,false,0,USD,-0.27777777777778423,1549577,106819560.47777778,USD,,-1.1423,93.12629374669041,0.0,0.8699734720400939,Health technology,Health Technology,america,1.0
