,exchange,name,description,logoid,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
0,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],193915485.60999998,USD,207.0,100,1,false,0,USD,1736.7346938775509,14818756,,-0.0063,-250.00000000000006,0.0,5.608995585667851,,Commercial services,Commercial Services,america
1,NASDAQ,EPSM,Epsium Enterprise Limited,epsium-enterprise-limited,stock,['common'],362558157.32,USD,138.0,100,1,false,0,USD,411.4899925871016,665308,,,,0.0,1.5327837372518185,,Distribution services,Distribution Services,america
2,NASDAQ,CWD,CaliberCos Inc.,calibercos,stock,['common'],5192332.0,USD,9.11,100,1,false,0,USD,323.7209302325581,133417045,,-18.0042,-36.102627679840346,0.0,6.860943964819682,,Finance,Finance,america
3,NASDAQ,DSY,Big Tree Cloud Holdings Limited,big-tree-cloud-limited,stock,['common'],58222157.940000005,USD,2.75,100,1,false,0,USD,169.6078431372549,68183719,,,,0.0,382.0897172589444,,Miscellaneous,Miscellaneous,america
4,NASDAQ,NAKA,"Kindly MD, Inc.",kindly-md,stock,['common'],3039047337.6,USD,8.08,100,1,false,0,USD,77.19298245614037,15873454,,-0.8621,-110.06335282651072,0.0,6.081415693772065,1.0,Health services,Health Services,america
5,NYSE,SOS,SOS Limited,,stock,['common'],55800395.4,USD,2.04,100,1,false,0,USD,70.0,8500964,,-0.737406336,-1703.4453139989225,0.0,43.961188224081475,,Technology services,Technology Services,america
6,NASDAQ,PTNM,Pitanium Limited,pitanium-limited,stock,['common'],,USD,4.53,100,1,false,0,USD,65.32846715328466,26785342,,,,,3.983881141602001,,Consumer non-durables,Consumer Non-Durables,america
7,NASDAQ,TRML,"Tourmaline Bio, Inc.",tourmaline-bio,stock,['common'],1223979677.1332006,USD,47.64,100,1,false,0,USD,57.85288270377734,22671078,,-3.4357,6.661414328017595,0.0,78.09432050148853,1.6,Health technology,Health Technology,america
8,NASDAQ,UFG,Uni-Fuels Holdings Limited,uni-fuels-limited,stock,['common'],312804750.0,USD,9.65,100,1,false,0,USD,51.968503937007895,333311,,,,0.0,0.5514730943618246,,Distribution services,Distribution Services,america
9,NASDAQ,SAIH,SAIHEAT Limited,sai-tech-global-corporation,stock,['common'],90815899.45310703,USD,8.5,100,1,false,0,USD,50.439815224509296,169356,,-3.4401,47.10142698978964,0.0,14.389763110491792,,Technology services,Technology Services,america
10,NASDAQ,NBIS,Nebius Group N.V.,nebius-group-nv,stock,['common'],22812336823.918827,USD,95.72,100,1,false,0,USD,49.422416484545735,88377797,,,,0.0,9.981442276658617,1.1,Technology services,Technology Services,america
11,NASDAQ,CHSN,Chanson International Holding,,stock,['common'],19894802.794520546,USD,3.24,100,1,false,0,USD,47.94520547945207,2301015,33.54037267080746,0.0966,,0.0,4.642441524986705,,Consumer non-durables,Consumer Non-Durables,america
12,NASDAQ,VERI,"Veritone, Inc.",veritone,stock,['common'],212243754.34220535,USD,3.84,100,1,false,0,USD,46.00760456273764,18153302,,-2.4347,-7.959382759843916,0.0,5.82265594205577,1.25,Commercial services,Commercial Services,america
13,NASDAQ,WNW,Meiwu Technology Company Limited,meiwu-technology-company-limited,stock,['common'],8883444.439694654,USD,2.804,100,1,false,0,USD,42.69720101781169,1207942,0.3094854418224763,9.0602,,0.0,31.587532785406218,,Retail trade,Retail Trade,america
14,NASDAQ,HYPD,"Hyperion DeFi, Inc.",eyenovia,stock,['common'],49828268.51851852,USD,8.75,100,1,false,0,USD,35.03086419753085,1757407,,-30.6648,52.1305292604341,0.0,4.08871979422007,,Health technology,Health Technology,america
15,NASDAQ,ENGS,Energys Group Limited,energys-limited,stock,['common'],81367500.0,USD,5.71,100,1,false,0,USD,34.66981132075471,756252,,-0.0804,58.93769152196119,0.0,2.0855375626038803,,Electronic technology,Electronic Technology,america
16,NASDAQ,GMHS,Gamehaus Holdings Inc.,gamehaus,stock,['common'],122673874.37572254,USD,2.29,100,1,false,0,USD,32.369942196531795,22503957,,,,0.0,1.3819674337376393,,Finance,Finance,america
17,NASDAQ,ZNB,Zeta Network Group,,stock,['common'],1282322.75147929,USD,2.19,100,1,false,0,USD,29.585798816568047,40619384,,-123.742,85.77518254350892,0.0,1.9331628091623123,,Technology services,Technology Services,america
18,AMEX,LUD,Luda Technology Group Limited,luda-technology-limited,stock,['common'],,USD,16.94,100,1,false,0,USD,28.723404255319156,86171,,,,,0.641432946210178,,Non-energy minerals,Non-Energy Minerals,america
19,AMEX,ZONE,CleanCore Solutions Inc.,cleancore-solutions,stock,['common'],57818769.629999995,USD,4.43,100,1,false,0,USD,26.21082621082621,19250839,,-0.6712,,0.0,11.904082260610991,,Distribution services,Distribution Services,america
20,NASDAQ,GDC,GD Culture Group Limited,gd-culture-limited,stock,['common'],88679887.58194774,USD,5.28,100,1,false,0,USD,25.415676959619958,379438,,-0.7672,81.26175414600787,0.0,8.744342327227809,,Technology services,Technology Services,america
21,NASDAQ,GLXG,Galaxy Payroll Group Limited,,stock,['common'],10850730.0,USD,5.02,100,1,false,0,USD,24.56575682382132,1827199,,-0.0041,-157.74647887323945,0.0,84.7555044490634,,Commercial services,Commercial Services,america
22,NASDAQ,TIRX,TIAN RUIXIANG Holdings Ltd,,stock,['common'],82160173.5111111,USD,3.36,100,1,false,0,USD,24.444444444444432,213030,,-0.5844,85.45834577485817,0.0,9.57685263524163,,Finance,Finance,america
23,AMEX,AMZE,"Amaze Holdings, Inc.",amaze,stock,['common'],14825821.770000003,USD,2.37,100,1,false,0,USD,22.797927461139906,119926,,-6.8553,25.267357817967756,0.0,2.1261137960011522,1.0,Consumer non-durables,Consumer Non-Durables,america
24,NASDAQ,FCEL,"FuelCell Energy, Inc.",fuelcell-energy,stock,['common'],118057020.34597157,USD,5.18,100,1,false,0,USD,22.748815165876778,10241908,,-7.4172,0.22598870056497075,0.0,8.3970060083979,2.25,Electronic technology,Electronic Technology,america
25,NASDAQ,DEVS,DevvStream Corp.,devvstream,stock,['common'],9810420.75221239,USD,2.77,100,1,false,0,USD,22.56637168141594,746097,,,,0.0,0.29727616481047775,,Commercial services,Commercial Services,america
26,NASDAQ,ROMA,Roma Green Finance Limited,roma-green-finance-limited,stock,['common'],184054523.62055337,USD,3.09,100,1,false,0,USD,22.13438735177866,148702,,-0.2761,-285.61452513966486,0.0,4.945704412493472,,Commercial services,Commercial Services,america
27,NASDAQ,MIMI,Mint Incorporation Limited,mint-incorporation-limited,stock,['common'],220360125.0,USD,8.81,100,1,false,0,USD,21.68508287292818,504561,,-0.0082,,0.0,0.6702947213199689,,Commercial services,Commercial Services,america
28,NASDAQ,RZLV,Rezolve AI PLC,rezolve-ai-limited,stock,['common'],1369433073.3679655,USD,5.62,100,1,false,0,USD,21.645021645021643,29246044,,,,0.0,2.0177067540917557,1.0,Technology services,Technology Services,america
29,NASDAQ,AGMH,AGM Group Holdings Inc.,agm,stock,['common'],4435813.812154696,USD,2.2,100,1,false,0,USD,21.54696132596686,780959,0.34214618973561434,6.43,,0.0,4.480226306332768,,Technology services,Technology Services,america
30,NASDAQ,WXM,WF International Limited,wf-international-limited,stock,['common'],21872999.999999996,USD,3.17,100,1,false,0,USD,20.532319391634985,66560,,,,0.0,5.307730339229039,,Producer manufacturing,Producer Manufacturing,america
31,NASDAQ,ZYBT,Zhengye Biotechnology Holding Limited,zhengye-biotechnology-limited,stock,['common'],465383312.32,USD,9.82,100,1,false,0,USD,20.490797546012267,148414,294.8948948948949,0.0333,-64.87341772151898,0.0,0.6522935360468061,,Health technology,Health Technology,america
32,NASDAQ,PXLW,"Pixelworks, Inc.",pixelworks,stock,['common'],62476557.56615385,USD,11.71,100,1,false,0,USD,20.10256410256411,335731,,-5.5574,-2.33303257406965,0.0,1.8725469362394451,1.0,Electronic technology,Electronic Technology,america
