,exchange,name,description,logoid,type,typespecs,premarket_close,premarket_change_abs,premarket_change,premarket_volume,premarket_gap,close,change,volume,market_cap_basic,Perf.1Y.MarketCap,pricescale,fractional,minmove2,fundamental_currency_code,currency
328,NASDAQ,BIOA,"BioAge Labs, Inc.",bioage-labs,stock,['common'],4.92,0.1200000000000001,2.500000000000002,150,2.500000000000002,4.8,0.0,373650,172080183.00000003,,100,false,0,USD,USD
329,NYSE,FRO,Frontline Plc,frontline,stock,['common'],23.81,0.5799999999999983,2.496771416272055,83023,2.281532501076199,23.99,3.2716315109771763,3599459,5340723128.311666,-13.421706092621067,100,false,0,USD,USD
330,NASDAQ,CSBR,"Champions Oncology, Inc.",champions-oncology,stock,['common'],7.0,0.16999999999999993,2.4890190336749622,2255,1.0248901903367538,8.3,21.52269399707175,209746,114443890.13177161,63.31149315792209,100,false,0,USD,USD
331,NASDAQ,CRVO,CervoMed Inc.,cervomed,stock,['common'],9.07,0.22000000000000064,2.4858757062146966,4070,1.6949152542372923,8.54,-3.5028248587570676,120698,79018223.01016949,-42.0819554877006,100,false,0,USD,USD
332,NASDAQ,PLBY,"Playboy, Inc.",plby-group,stock,['common'],1.65,0.039999999999999813,2.4844720496894293,2941,3.7267080745341503,1.55,-3.7267080745341645,586867,166699490.49689442,346.1643219230555,100,false,0,USD,USD
333,NYSE,BRCC,BRC Inc.,brc,stock,['common'],1.65,0.039999999999999813,2.4844720496894293,385,-1.2422360248447215,1.59,-1.2422360248447215,392860,394677827.03105587,-59.26464666340093,100,false,0,USD,USD
334,NYSE,MEG,"Montrose Environmental Group, Inc.",montrose-environmental,stock,['common'],30.55,0.740000000000002,2.4823884602482456,453,0.9728279100972919,30.65,2.8178463602817843,563374,1081530942.2509227,-2.678703762164151,100,false,0,USD,USD
335,NASDAQ,CVLT,"Commvault Systems, Inc.",commvault-systems,stock,['common'],180.3,4.340000000000003,2.466469652193682,1577,0.6649238463287039,189.54,7.717663105251184,1045580,8426884198.118435,22.156749927427335,100,false,0,USD,USD
336,NASDAQ,NB,NioCorp Developments Ltd.,niocorp-developments-ltd,stock,['common'],5.41,0.1299999999999999,2.46212121212121,32192,0.3787878787878707,5.47,3.598484848484839,5434606,425331286.2367424,378.1433567892849,100,false,0,USD,USD
337,NASDAQ,AVXL,Anavex Life Sciences Corp.,anavex-life-sciences,stock,['common'],9.6,0.23000000000000043,2.454642475987198,8720,3.2017075773746075,9.085,-3.0416221985058525,1042205,780345499.7497332,62.20702925294715,100,false,0,USD,USD
338,NASDAQ,SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",shuttle-pharmaceuticals,stock,['common'],3.6781,0.08810000000000029,2.454038997214493,8469,7.242339832869088,3.47,-3.3426183844011046,36602,3715582.2423398336,-12.78991966225123,100,false,0,USD,USD
339,NYSE,SGHC,Super Group (SGHC) Limited,super-sghc-limited,stock,['common'],12.95,0.3099999999999987,2.4525316455696102,32311,2.689873417721518,12.69,0.39556962025315606,3542088,6363164594.506329,237.10144786189147,100,false,0,USD,USD
340,NYSE,OTF,Blue Owl Technology Finance Corp.,blue-owl,stock,['common'],15.06,0.3600000000000012,2.4489795918367427,700,2.040816326530617,15.13,2.9251700680272212,2606379,7067855110.814965,,100,false,0,USD,USD
341,NASDAQ,CRDF,"Cardiff Oncology, Inc.",cardiff-oncology,stock,['common'],2.1,0.050000000000000266,2.4390243902439157,6080,2.4390243902439157,2.04,-0.48780487804877015,852856,135712727.53170732,29.921630917612028,100,false,0,USD,USD
342,NASDAQ,NBIS,Nebius Group N.V.,nebius-group-nv,stock,['common'],92.61,2.200000000000003,2.4333591416878697,1012641,1.2056188474726286,90.96,0.6083397854219635,19391482,21712616589.191463,332.00563373119024,100,false,0,USD,USD
343,NYSE,TPVG,TriplePoint Venture Growth BDC Corp.,triplepoint-venture-growth-bdc,stock,['common'],6.77,0.15999999999999925,2.4205748865355408,7375,0.30257186081693754,6.41,-3.0257186081694427,1176675,258475190.46747354,-9.123933813286774,100,false,0,USD,USD
344,NYSE,ADCT,ADC Therapeutics SA,adc-therapeutics-sa,stock,['common'],3.39,0.08000000000000007,2.4169184290030232,300,0.6042296072507558,3.2,-3.32326283987915,450998,359998065.49848944,23.22537099857818,100,false,0,USD,USD
345,NYSE,NOTE,"FiscalNote Holdings, Inc.",fiscalnote,stock,['common'],4.68,0.10999999999999943,2.4070021881837946,16983,4.595185995623631,4.39,-3.9387308533916974,302782,63058535.40700219,-59.616438724850205,100,false,0,USD,USD
346,NYSE,RBOT,Vicarious Surgical Inc.,vicarious-surgical,stock,['common'],5.96,0.13999999999999968,2.4054982817869357,170,2.4054982817869357,5.89,1.2027491408934603,15469,35058724.16323023,-2.26744983020388,100,false,0,USD,USD
347,NASDAQ,CMRC,"Commerce.com, Inc. - Series 1",bigcommerce,stock,['common'],4.69,0.11000000000000032,2.401746724890837,3510,1.5283842794759888,4.71,2.838427947598251,513968,380262205.8209607,-17.60513344324082,100,false,0,USD,USD
348,NASDAQ,QMMM,QMMM Holdings Limited,qmmm-limited,stock,['common'],76.0,1.7800000000000011,2.3982753974669917,8403,18.552950687146318,71.75,-3.3279439504176755,507685,1277054777.46,,100,false,0,USD,USD
349,NYSE,OLN,Olin Corporation,olin,stock,['common'],27.01,0.6300000000000026,2.3881728582259383,1245,0.41698256254738225,25.37,-3.828658074298704,2715977,2908455597.44276,-47.15747695185338,100,false,0,USD,USD
350,NASDAQ,CTNM,"Contineum Therapeutics, Inc.",contineum-therapeutics,stock,['common'],12.65,0.29499999999999993,2.3876972885471464,100,2.3876972885471464,12.39,0.2832861189801711,261800,347439068.2946176,-41.54986406800591,100,false,0,USD,USD
