,exchange,name,description,logoid,type,typespecs,Value.Traded,currency,close,pricescale,minmov,fractional,minmove2,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,recommendation_mark,sector.tr,market,sector
292,NYSE,ACHR,Archer Aviation Inc.,archer-aviation,stock,['common'],348492792.47999996,USD,9.12,100,1,false,0,4.22857142857142,38211929,1.8147695406523474,5882639912.283428,USD,,-1.2779,-4.004232115243765,0.0,1.214286,Electronic technology,america,Electronic Technology
293,NASDAQ,ROP,"Roper Technologies, Inc.",roper-technologies,stock,['common'],348161571.45,USD,505.23,100,1,false,0,-1.4243068698417567,689115,0.8564171101727859,54369734870.65009,USD,35.5050668315788,14.2298,6.553547092387639,0.629231459621876,1.452381,Technology services,america,Technology Services
294,NYSE,HWM,Howmet Aerospace Inc.,howmet-aerospace,stock,['common'],343146207.5,USD,189.25,100,1,false,0,1.8732841685955695,1813190,0.9741710018016783,76291656348.91264,USD,55.30229975745887,3.4221,51.735910965281775,0.215320019378802,1.26,Electronic technology,america,Electronic Technology
295,NASDAQ,LPLA,LPL Financial Holdings Inc.,lpl-finl,stock,['common'],341984056.72,USD,336.68,100,1,false,0,-3.981291352954592,1015754,1.051642346724314,26935783066.921974,USD,23.027625216302916,14.6207,14.094970541183805,0.342231348391513,1.323529,Finance,america,Finance
296,NYSE,FIS,"Fidelity National Information Services, Inc.",fidelity-information-services,stock,['common'],340347884.76000005,USD,66.93,100,1,false,0,0.13464991023339828,5085132,1.0779064255672683,34962793769.02739,USD,250.5803070011232,0.2671,102.50189537528433,2.27408737283064,1.5,Technology services,america,Technology Services
297,NYSE,LNG,"Cheniere Energy, Inc.",cheniere-energy-partners,stock,['common'],340294834.03999996,USD,232.82,100,1,false,0,-1.3850650175780466,1461622,0.9609851553828987,51166411084.3153,USD,13.569101473939421,17.1581,-8.592996681068236,0.84713456732602,1.259259,Industrial services,america,Industrial Services
298,NYSE,AON,Aon plc,aon,stock,['common'],339712438.2,USD,363.8,100,1,false,0,-2.1911547250974532,933789,0.9207721363851369,78444954893.97232,USD,30.459827857597375,11.9436,-4.47412620970967,0.763543487027826,1.56,Finance,america,Finance
299,NASDAQ,CTAS,Cintas Corporation,cintas,stock,['common'],339132144.33000004,USD,199.71,100,1,false,0,-1.3144240747146299,1698123,0.883803644504753,80478721614.66414,USD,45.374199118462315,4.4014,16.2085808580858,0.80051391016455,1.818182,Consumer services,america,Consumer Services
300,NYSE,HL,Hecla Mining Company,hecla-mining,stock,['common'],338969993.04,USD,11.76,100,1,false,0,4.906333630686877,28823979,0.9552957583438818,7879007663.678857,USD,75.14376996805112,0.1565,,0.223015165031222,1.555556,Non-energy minerals,america,Non-Energy Minerals
301,NYSE,AJG,Arthur J. Gallagher & Co.,gallagher,stock,['common'],338585555.79999995,USD,289.4,100,1,false,0,-2.650699677072119,1169957,0.8208814373502713,74202157929.38039,USD,43.62178376015555,6.6343,29.124739679635635,0.840958019375673,1.5,Finance,america,Finance
302,NYSE,KKR,KKR & Co. Inc.,kkr,stock,['common'],336611109.45,USD,144.65,100,1,false,0,0.9139109808846116,2327073,0.7647306006305428,128875730570.09871,USD,69.36984461922118,2.0852,-50.75222597482345,0.502302218501465,1.204545,Finance,america,Finance
303,NASDAQ,NTNX,"Nutanix, Inc.",nutanix,stock,['common'],336044203.10999995,USD,78.21,100,1,false,0,-1.287391139719816,4296691,0.9310907536385741,20966336148.854218,USD,122.31779793556458,0.6394,,0.0,1.1875,Technology services,america,Technology Services
304,NASDAQ,MPWR,"Monolithic Power Systems, Inc.",monolithic-power-system,stock,['common'],334266567.19,USD,849.71,100,1,false,0,1.8665931378425746,393389,0.807662040444592,40694310582.48586,USD,22.126942627390527,38.4016,356.74322347372055,0.67374781211787,1.4,Electronic technology,america,Electronic Technology
305,NYSE,TRU,TransUnion,transunion,stock,['common'],332335137.75,USD,89.25,100,1,false,0,-2.6929786306149137,3723643,1.3148195999782772,17385900504.050373,USD,44.914699813799004,1.9871,,0.490623637156563,1.304348,Commercial services,america,Commercial Services
306,NASDAQ,ADSK,"Autodesk, Inc.",autodesk,stock,['common'],332003396.71,USD,321.07,100,1,false,0,0.63470670281621,1034053,0.5297839355713285,68387912878.1526,USD,66.56921896705438,4.8231,-1.2084963437864886,0.0,1.34375,Technology services,america,Technology Services
