,exchange,name,description,logoid,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,relative_volume_10d_calc,recommendation_mark,sector.tr,sector,market
75,NASDAQ,REVB,"Revelation Biosciences, Inc.",revelation-biosciences,stock,['common'],27.999999999999996,1.56,100,1,false,0,USD,-18.749999999999993,656936,2651433.6875,USD,,-68.4334,94.98698020157009,0.0,0.41591868928151005,1.0,Health technology,Health Technology,america
76,NASDAQ,CSBR,"Champions Oncology, Inc.",champions-oncology,stock,['common'],27.88321167883212,8.3,100,1,false,0,USD,21.52269399707175,209746,114443890.13177161,USD,25.54632194521391,0.3249,,0.0,10.521178193783985,1.0,Health technology,Health Technology,america
77,NASDAQ,PTNM,Pitanium Limited,pitanium-limited,stock,['common'],27.85829307568439,7.24,100,1,false,0,USD,21.273031825795655,1347524,,USD,,,,,0.27354785369041557,,Consumer non-durables,Consumer Non-Durables,america
78,NASDAQ,IROH,Iron Horse Acquisitions Corp.,iron-horse-acquisitions,stock,['common'],27.578947368421048,10.88,100,1,false,0,USD,21.428571428571423,15012,23562282.880000003,USD,220.68965517241384,0.0493,,0.0,1.7879303979133667,,Finance,Finance,america
79,NASDAQ,GALT,Galectin Therapeutics Inc.,galectin-therapeutics,stock,['common'],27.55344418052257,4.5,100,1,false,0,USD,-16.201117318435756,972466,288271184.9162011,USD,,-0.6437,17.801047120418843,0.0,2.3022979038531517,1.0,Health technology,Health Technology,america
80,NASDAQ,CHSN,Chanson International Holding,,stock,['common'],27.303846153846145,2.95,100,1,false,0,USD,1.0273972602739811,121047,18114095.136986304,USD,30.538302277432713,0.0966,,0.0,0.167055552557697,,Consumer non-durables,Consumer Non-Durables,america
81,NASDAQ,ISPO,Inspirato Incorporated,inspirato-incorporated,stock,['common'],27.272727272727273,3.01,100,1,false,0,USD,4.152249134948085,598766,37534523.982698955,USD,39.81481481481481,0.0756,,0.0,2.7276682260084355,2.0,Consumer services,Consumer Services,america
82,NASDAQ,AEHL,Antelope Enterprise Holdings Limited,antelope-enterprise-limited,stock,['common'],26.819923371647516,2.88,100,1,false,0,USD,-12.990936555891244,1120109,9846109.196374623,USD,,-42.4328,71.97610564238376,0.0,0.3172242969598853,,Producer manufacturing,Producer Manufacturing,america
83,AMEX,HCWC,Healthy Choice Wellness Corp.,healthy-choice-wellness,stock,['common'],26.718213058419234,0.56,10000,1,false,0,USD,19.914346895074953,1187071,,USD,,,,,6.026585450550432,1.0,Retail trade,Retail Trade,america
84,NASDAQ,ZYBT,Zhengye Biotechnology Holding Limited,zhengye-biotechnology-limited,stock,['common'],26.68473451327434,10.69,100,1,false,0,USD,14.699570815450635,229300,506613809.44,USD,321.021021021021,0.0333,-64.87341772151898,0.0,0.6358629475478236,,Health technology,Health Technology,america
