,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
0,NASDAQ:RUN,RUN,Sunrun Inc.,sunrun,streaming,stock,['common'],1320651817.1058092,USD,5.78,100,1,false,0,USD,-40.04149377593361,119997340,,-12.1439,-82.0620071362178,0.0,Electronic technology,Electronic Technology,america,1.653846,5.631297878121221
1,NASDAQ:SEDG,SEDG,"SolarEdge Technologies, Inc.",solaredge-technologies,streaming,stock,['common'],942345915.1926606,USD,15.96,100,1,false,0,USD,-33.444537114261884,33137628,,-30.1377,-547.1205874774543,0.0,Producer manufacturing,Producer Manufacturing,america,2.242424,8.5720010645149
2,NASDAQ:ENPH,ENPH,"Enphase Energy, Inc.",enphase-energy,streaming,stock,['common'],4581749029.222731,USD,34.92,100,1,false,0,USD,-23.971260613977787,34627286,32.48674295283283,1.0749,-44.308585047406865,0.0,Electronic technology,Electronic Technology,america,1.868421,5.977767418724604
3,NASDAQ:APVO,APVO,Aptevo Therapeutics Inc.,aptevo-therapeutics,streaming,stock,['common'],1974000.0,USD,2.82,100,1,false,0,USD,-22.950819672131153,268764,,-1769.0946,97.59485650601745,0.0,Health technology,Health Technology,america,,3.33643269198541
4,NASDAQ:DYN,DYN,"Dyne Therapeutics, Inc.",dyne-therapeutics,streaming,stock,['common'],1234419033.9681618,USD,10.86,100,1,false,0,USD,-21.418234442836475,6712801,,-3.5912,9.436626822010382,0.0,Health technology,Health Technology,america,1.133333,2.4045135701795086
5,NASDAQ:DWSN,DWSN,Dawson Geophysical Company,dawson-geophysical-company,streaming,stock,['common'],71263573.55172415,USD,2.3,100,1,false,0,USD,-20.689655172413797,2940612,,-0.2907,-14.134275618374573,0.0,Technology services,Technology Services,america,,0.5500204484595478
6,NASDAQ:RCAT,RCAT,"Red Cat Holdings, Inc.",red-cat,streaming,stock,['common'],665499730.7595214,USD,7.32,100,1,false,0,USD,-20.348204570184976,30932117,,,,0.0,Technology services,Technology Services,america,1.0,2.6506458928293557
7,NYSE:RDW,RDW,Redwire Corporation,redwire,streaming,stock,['common'],1287292581.9056878,USD,16.7,100,1,false,0,USD,-18.813806514341277,17292146,,-2.2592,-213.86496248958045,0.0,Electronic technology,Electronic Technology,america,1.0,5.064806985531827
8,NASDAQ:FSLR,FSLR,"First Solar, Inc.",first-solar,streaming,stock,['common'],15432480142.382315,USD,143.9,100,1,false,0,USD,-17.88873038516405,20640041,12.233273824704582,11.763,23.343259793641476,0.0,Electronic technology,Electronic Technology,america,1.268293,6.070892232611774
9,NASDAQ:LSE,LSE,"Leishen Energy Holding Co., Ltd.",leishen-energy-co-ltd,streaming,stock,['common'],94488750.0,USD,5.55,100,1,false,0,USD,-16.79160419790105,554592,11.569731081926204,0.4797,-31.73473744129785,0.0,Industrial services,Industrial Services,america,,0.6836967892908806
10,NASDAQ:SRM,SRM,"SRM Entertainment, Inc.",srm-entertainment,streaming,stock,['common'],133293105.30000001,USD,7.73,100,1,false,0,USD,-15.886833514689872,24772938,,-0.2567,36.12839014680269,0.0,Consumer durables,Consumer Durables,america,,0.9477032560878457
11,NASDAQ:BROG,BROG,Brooge Energy Limited,brooge-energy-limited,streaming,stock,['common'],206052062.16117212,USD,2.3,100,1,false,0,USD,-15.750915750915755,254981,46.46464646464646,0.0495,,0.0,Industrial services,Industrial Services,america,,0.8420567000674355
12,NASDAQ:TIL,TIL,"Instil Bio, Inc.",instil-bio,streaming,stock,['common'],182693973.5471641,USD,27.85,100,1,false,0,USD,-15.529269032453739,325916,,-11.9711,36.86461684510311,0.0,Health technology,Health Technology,america,1.375,0.8330723985913869
13,NASDAQ:NFE,NFE,New Fortress Energy Inc.,new-fortress-energy-llc,streaming,stock,['common'],611422498.8897338,USD,2.23,100,1,false,0,USD,-15.209125475285168,19999137,,-2.2557,-202.849717308043,15.2091254752852,Utilities,Utilities,america,1.5,2.5004742354020015
14,NASDAQ:FCEL,FCEL,"FuelCell Energy, Inc.",fuelcell-energy,streaming,stock,['common'],134466497.88184437,USD,5.9,100,1,false,0,USD,-14.985590778097983,1886993,,-7.4172,0.22598870056497075,0.0,Electronic technology,Electronic Technology,america,2.111111,0.6584303367302695
15,NASDAQ:RENT,RENT,"Rent the Runway, Inc.",rent-the-runway,streaming,stock,['common'],19103967.863554757,USD,4.75,100,1,false,0,USD,-14.72172351885099,266528,,-19.135,36.37932352950954,0.0,Retail trade,Retail Trade,america,,0.8029509338558444
16,NASDAQ:ALMU,ALMU,"Aeluma, Inc.",aeluma,streaming,stock,['common'],199022884.2,USD,12.6,100,1,false,0,USD,-14.691943127962084,495646,,-0.2675,,0.0,Commercial services,Commercial Services,america,,1.005759243258731
17,NASDAQ:FTCI,FTCI,"FTC Solar, Inc.",ftc-solar,streaming,stock,['common'],51681789.740259744,USD,3.95,100,1,false,0,USD,-14.502164502164499,389235,,-3.4291,12.745547073791352,0.0,Technology services,Technology Services,america,1.5,3.9827586206896552
18,NASDAQ:AGAE,AGAE,Allied Gaming & Entertainment Inc.,allied-esports,streaming,stock,['common'],98849093.81578949,USD,2.6,100,1,false,0,USD,-14.473684210526313,227093,,-0.4153,-334.41422594142256,0.0,Consumer services,Consumer Services,america,,1.3303016439192328
19,NASDAQ:MATH,MATH,Metalpha Technology Holding Limited,metalpha-technology-limited,streaming,stock,['common'],115887579.88101983,USD,3.02,100,1,false,0,USD,-14.447592067988662,305463,18.448381185094686,0.1637,,0.0,Transportation,Transportation,america,,0.7556812840468852
20,NASDAQ:INMB,INMB,INmune Bio Inc.,inmune-bio,streaming,stock,['common'],159455297.23690772,USD,6.87,100,1,false,0,USD,-14.339152119700744,1750986,,-1.9505,-1.7103822287114743,0.0,Health technology,Health Technology,america,1.083333,2.650554115559331
21,NYSE:SKIL,SKIL,Skillsoft Corp.,skillsoft,streaming,stock,['common'],132110348.71269487,USD,15.41,100,1,false,0,USD,-14.19821826280624,48189,,-16.0245,61.144814944134076,0.0,Technology services,Technology Services,america,2.0,0.7897272688537162
22,NASDAQ:USAR,USAR,"USA Rare Earth, Inc.",usa-rare-earth,streaming,stock,['common'],101464188.0,USD,12.0,100,1,false,0,USD,-14.101646385110955,3329635,35.576638007708276,0.3373,,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.8661145053977856
