,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basic,fundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
47,NASDAQ:FUFU,FUFU,BitFuFu Inc.,bitfufu,delayed_streaming_900,stock,['common'],699727399.136598,USD,4.29,100,1,false,0,USD,10.567010309278354,570755,393.57798165137615,0.0109,-97.00713893465128,0.0,Technology services,Technology Services,america,1.333333,4.058448253549289
48,NASDAQ:AVTX,AVTX,"Avalo Therapeutics, Inc.",avalo-therapeutics,delayed_streaming_900,stock,['common'],67672625.88339221,USD,6.25,100,1,false,0,USD,10.424028268551234,801169,,-21.5306,93.24826319311562,0.0,Health technology,Health Technology,america,1.0,12.071906868535887
49,NASDAQ:SLDB,SLDB,Solid Biosciences Inc.,solid-biosciences,delayed_streaming_900,stock,['common'],495323231.626943,USD,6.39,100,1,false,0,USD,10.362694300518129,3441327,,-2.9917,23.93145007500827,0.0,Health technology,Health Technology,america,1.038462,2.9569224807433794
50,NASDAQ:PXLW,PXLW,"Pixelworks, Inc.",pixelworks,delayed_streaming_900,stock,['common'],52093267.17348065,USD,9.93,100,1,false,0,USD,9.723756906077337,59962,,-6.382,-37.783630907403,0.0,Electronic technology,Electronic Technology,america,1.0,1.6965063772478801
51,NASDAQ:QMMM,QMMM,QMMM Holdings Limited,qmmm-limited,delayed_streaming_900,stock,['common'],38886335.18,USD,2.26,100,1,false,0,USD,9.708737864077657,6675490,,,,0.0,Commercial services,Commercial Services,america,,1.3645294818120242
52,NASDAQ:APLD,APLD,Applied Digital Corporation,applied-digital,delayed_streaming_900,stock,['common'],2685090792.72044,USD,11.93,100,1,false,0,USD,9.349220898258475,55753646,,-1.3755,-72.91011942174732,0.0,Technology services,Technology Services,america,1.111111,1.9973661138944552
53,NASDAQ:NAMM,NAMM,Namib Minerals,,delayed_streaming_900,stock,['common'],461625897.5634517,USD,8.6,100,1,false,0,USD,9.137055837563448,94044,,-1.2433,-1339.0046296296296,0.0,Non-energy minerals,Non-Energy Minerals,america,,0.6698109310431769
54,NASDAQ:NCPL,NCPL,Netcapital Inc.,netcapital,delayed_streaming_900,stock,['common'],12165117.818181818,USD,3.24,100,1,false,0,USD,9.090909090909092,656659,,-16.9907,-261.573492796493,0.0,Commercial services,Commercial Services,america,,0.4829488978450397
55,NASDAQ:AEHL,AEHL,Antelope Enterprise Holdings Limited,antelope-enterprise-limited,delayed_streaming_900,stock,['common'],14017030.930851063,USD,4.1,100,1,false,0,USD,9.042553191489358,148334,,-42.4328,71.97610564238376,0.0,Producer manufacturing,Producer Manufacturing,america,,4.5017905918060395
56,NASDAQ:ADSE,ADSE,ADS-TEC ENERGY PLC,ads-tec-energy-plc,delayed_streaming_900,stock,['common'],630115264.6136364,USD,11.49,100,1,false,0,USD,8.806818181818178,97614,,-2.0687,-69.94167419699335,0.0,Producer manufacturing,Producer Manufacturing,america,,1.4374447782293691
57,NASDAQ:FLNC,FLNC,"Fluence Energy, Inc.",fluence-energy,delayed_streaming_900,stock,['common'],1632673835.6504853,USD,8.96,100,1,false,0,USD,8.73786407766991,5304864,,-0.2955,24.636572302983936,0.0,Producer manufacturing,Producer Manufacturing,america,1.842105,1.0406055683260498
58,NASDAQ:ASPI,ASPI,ASP Isotopes Inc.,asp-isotopes,delayed_streaming_900,stock,['common'],879853037.3119172,USD,10.49,100,1,false,0,USD,8.704663212435232,11944755,,-0.608,-16.230166316191927,0.0,Health technology,Health Technology,america,1.0,2.8133554619054437
59,NYSE:ASPN,ASPN,"Aspen Aerogels, Inc.",aspen-aerogels,delayed_streaming_900,stock,['common'],594120625.4054055,USD,7.23,100,1,false,0,USD,8.558558558558563,2612418,,-3.4911,-688.0586907449209,0.0,Process industries,Process Industries,america,1.375,1.7076754790498738
60,NYSE:BYON,BYON,"Beyond, Inc.",overstock,delayed_streaming_900,stock,['common'],510463233.3639706,USD,8.85,100,1,false,0,USD,8.45588235294117,4935865,,-4.6647,43.050909534855336,0.0,Retail trade,Retail Trade,america,1.777778,1.9416184674365824
61,NASDAQ:HUBC,HUBC,Hub Cyber Security Ltd.,hub-cyber-security-ltd,delayed_streaming_900,stock,['common'],12945388.329081632,USD,4.25,100,1,false,0,USD,8.418367346938778,803980,,-16.5383,82.0236651144995,0.0,Commercial services,Commercial Services,america,,0.44534766841955586
62,NASDAQ:ABSI,ABSI,Absci Corporation,absci,delayed_streaming_900,stock,['common'],397985185.00000006,USD,3.12,100,1,false,0,USD,8.333333333333341,8762232,,-0.9251,20.77588421683651,0.0,Health technology,Health Technology,america,1.0,2.0009043793526566
63,NASDAQ:NVTS,NVTS,Navitas Semiconductor Corporation,navitas-semiconductor,delayed_streaming_900,stock,['common'],1303569861.2185009,USD,6.79,100,1,false,0,USD,8.29346092503988,30469096,,-0.5259,-1.9976726144298078,0.0,Electronic technology,Electronic Technology,america,1.611111,1.6707879104209795
64,NASDAQ:LRHC,LRHC,La Rosa Holdings Corp.,,delayed_streaming_900,stock,['common'],5830199.06504065,USD,7.99,100,1,false,0,USD,8.265582655826563,48693,,-517.7648,-560.0034672295816,0.0,Finance,Finance,america,,0.04705019446891933
65,NYSE:EVTL,EVTL,Vertical Aerospace Ltd.,vertical-aerospace,delayed_streaming_900,stock,['common'],673843682.4651163,USD,6.97,100,1,false,0,USD,8.062015503875962,5532826,,,,0.0,Electronic technology,Electronic Technology,america,1.428571,1.5904035601324542
66,NASDAQ:INMB,INMB,INmune Bio Inc.,inmune-bio,delayed_streaming_900,stock,['common'],64336325.52678571,USD,2.42,100,1,false,0,USD,8.035714285714272,1976482,,-1.9505,-1.7103822287114743,0.0,Health technology,Health Technology,america,1.714286,0.894096727444989
67,NASDAQ:IBKR,IBKR,"Interactive Brokers Group, Inc.",interactive-brokers-group,delayed_streaming_900,stock,['common'],27915278466.731445,USD,64.05,100,1,false,0,USD,7.773851590106003,15013991,35.36329505300353,1.8112,23.648279628618226,0.450109372370856,Finance,Finance,america,1.4,2.921356165403884
68,NASDAQ:ETON,ETON,"Eton Pharmaceuticals, Inc.",eton-pharmaceuticals,delayed_streaming_900,stock,['common'],402799376.5075269,USD,15.02,100,1,false,0,USD,7.670250896057349,443620,,-0.1757,-619.8224852071006,0.0,Health technology,Health Technology,america,1.0,0.8731214515048759
69,NYSE:QS,QS,QuantumScape Corporation,quantumscape,delayed_streaming_900,stock,['common'],8182681635.900001,USD,14.64,100,1,false,0,USD,7.647058823529419,148449566,,-0.9071,6.494175858158948,0.0,Producer manufacturing,Producer Manufacturing,america,2.142857,2.5063028297828693
70,NASDAQ:MVST,MVST,"Microvast Holdings, Inc.",microvast,delayed_streaming_900,stock,['common'],1099653866.3375795,USD,3.38,100,1,false,0,USD,7.643312101910821,7463276,,-0.4479,-37.90024630541873,0.0,Producer manufacturing,Producer Manufacturing,america,1.333333,1.3847188575480713
71,NASDAQ:TSSI,TSSI,"TSS, Inc.",tss,delayed_streaming_900,stock,['common'],579975174.9340762,USD,23.18,100,1,false,0,USD,7.613741875580319,1937138,65.29577464788733,0.355,814.9484536082474,0.0,Technology services,Technology Services,america,,0.8062000985932873
72,NASDAQ:TELA,TELA,"TELA Bio, Inc.",tela-bio,delayed_streaming_900,stock,['common'],84252127.40909089,USD,2.13,100,1,false,0,USD,7.575757575757572,64032,,-1.4093,15.534911597243036,0.0,Health technology,Health Technology,america,1.2,1.1807835008962093
73,NASDAQ:TAOX,TAOX,Tao Synergies Inc.,synaptogenix,delayed_streaming_900,stock,['common'],23543055.9,USD,10.11,100,1,false,0,USD,7.5531914893616925,548834,,-9.8938,73.40862422997947,0.0,Technology services,Technology Services,america,,1.3591607405184105
74,NASDAQ:CING,CING,Cingulate Inc.,cingulate,delayed_streaming_900,stock,['common'],21950334.565488566,USD,5.17,100,1,false,0,USD,7.484407484407492,154634,,-10.1489,96.46212142339226,0.0,Health technology,Health Technology,america,1.0,1.648878827655361
75,NYSE:VHC,VHC,VirnetX Holding Corp,virnetx,delayed_streaming_900,stock,['common'],86212742.5578447,USD,20.34,100,1,false,0,USD,7.448494453248812,59358,,-4.6121,40.077694626338214,0.0,Technology services,Technology Services,america,,1.9417710752723347
76,NYSE:AMPX,AMPX,"Amprius Technologies, Inc.",amprius-technologies,delayed_streaming_900,stock,['common'],1043929120.7047145,USD,8.66,100,1,false,0,USD,7.444168734491311,19905876,,-0.4109,4.241435562805871,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.5757487386253046
77,NASDAQ:RAIN,RAIN,"Rain Enhancement Technologies Holdco, Inc.",rain-enhancement-technologies-holdco,delayed_streaming_900,stock,['common'],29587402.6446281,USD,3.9,100,1,false,0,USD,7.43801652892562,7466,,,,0.0,Finance,Finance,america,,1.0741982360473648
78,NASDAQ:LIXT,LIXT,"Lixte Biotechnology Holdings, Inc.",lixte-biotechnology,delayed_streaming_900,stock,['common'],11752680.703703703,USD,4.06,100,1,false,0,USD,7.407407407407403,258692,,-1.4495,39.17841557569654,0.0,Health technology,Health Technology,america,,0.0347775716631703
79,NASDAQ:NNNN,NNNN,Anbio Biotechnology,anbio-biotechnology,delayed_streaming_900,stock,['common'],6761447536.332572,USD,46.99,100,1,false,0,USD,7.40571428571429,122392,775.4125412541255,0.0606,5.208333333333338,0.0,Health technology,Health Technology,america,,0.7374775774688285
80,NYSE:SMR,SMR,NuScale Power Corporation,nuscale-power,delayed_streaming_900,stock,['common'],14290743350.544523,USD,50.25,100,1,false,0,USD,7.30301089045484,14382336,,-1.3671,-62.80814576634513,0.0,Producer manufacturing,Producer Manufacturing,america,1.625,1.2210258904417455
81,NASDAQ:GSIT,GSIT,"GSI Technology, Inc.",gsi-technology,delayed_streaming_900,stock,['common'],159985965.58130842,USD,5.74,100,1,false,0,USD,7.289719626168235,747215,,-0.4172,47.771657486229344,0.0,Electronic technology,Electronic Technology,america,,1.6624993770202345
82,NASDAQ:OCG,OCG,Oriental Culture Holding LTD,oriental-culture-ltd,delayed_streaming_900,stock,['common'],122330179.4909091,USD,5.9,100,1,false,0,USD,7.27272727272728,17870,,-0.3056,63.86425446375784,0.0,Retail trade,Retail Trade,america,,1.4466472916852184
83,NASDAQ:CVV,CVV,CVD Equipment Corporation,cvd-equipment,delayed_streaming_900,stock,['common'],25393982.520348836,USD,3.69,100,1,false,0,USD,7.267441860465117,64974,,-0.0104,98.73862947240752,0.0,Electronic technology,Electronic Technology,america,,2.0515880909753994
84,NASDAQ:SCOR,SCOR,"comScore, Inc.",comscore,delayed_streaming_900,stock,['common'],27210561.695906438,USD,5.5,100,1,false,0,USD,7.212475633528268,20742,,-15.9129,13.151517797692472,0.0,Technology services,Technology Services,america,2.0,1.2836905329215698
85,NASDAQ:FGF,FGF,Fundamental Global Inc.,fg-financial-800-cumulative-series-a-preferred-stock,delayed_streaming_900,stock,['common'],23410686.49970879,USD,18.4,100,1,false,0,USD,7.163657542224791,561,,-5.59,-33.98849472674977,0.0,Finance,Finance,america,,0.30970520039748184
86,NASDAQ:ALDX,ALDX,"Aldeyra Therapeutics, Inc.",aldeyra-therapeutics,delayed_streaming_900,stock,['common'],322837252.9244532,USD,5.39,100,1,false,0,USD,7.157057654075535,1773504,,-0.9686,-90.66929133858268,0.0,Health technology,Health Technology,america,1.0,1.4352483908826044
87,NASDAQ:ASTI,ASTI,"Ascent Solar Technologies, Inc",ascent-solar,delayed_streaming_900,stock,['common'],5637782.142857144,USD,2.1,100,1,false,0,USD,7.1428571428571495,243438,,-3.589,98.95021491490424,0.0,Electronic technology,Electronic Technology,america,,0.5272571486988268
88,AMEX:KULR,KULR,"KULR Technology Group, Inc.",kulr-technology,delayed_streaming_900,stock,['common'],266331384.64285716,USD,6.9,100,1,false,0,USD,7.142857142857142,4884527,,-1.0365,27.21718980408679,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.5824586473395144
89,NASDAQ:IPWR,IPWR,Ideal Power Inc.,ideal-power,delayed_streaming_900,stock,['common'],51509754.39930555,USD,6.17,100,1,false,0,USD,7.118055555555558,20033,,-1.2035,24.28436615287826,0.0,Electronic technology,Electronic Technology,america,2.0,0.5391519653358093
90,NASDAQ:PSIX,PSIX,"Power Solutions International, Inc.",power-solutions-international,delayed_streaming_900,stock,['common'],2070739659.0503395,USD,90.0,100,1,false,0,USD,7.104605498036413,833293,25.50225269898841,3.5291,172.98112623762376,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.2224724989055897
91,NASDAQ:STOK,STOK,"Stoke Therapeutics, Inc.",stoke-therapeutics,delayed_streaming_900,stock,['common'],721771405.5012146,USD,13.22,100,1,false,0,USD,7.044534412955474,1552692,16.804372696072203,0.7867,,0.0,Health technology,Health Technology,america,1.0,2.9687218579893195
92,NASDAQ:OUST,OUST,"Ouster, Inc.",ouster,delayed_streaming_900,stock,['common'],1648815723.6958797,USD,30.65,100,1,false,0,USD,7.018156424580998,3203240,,-1.9648,64.81249328414341,0.0,Electronic technology,Electronic Technology,america,1.333333,1.019844989445252
93,NASDAQ:DAVE,DAVE,Dave Inc.,dave,delayed_streaming_900,stock,['common'],2909528461.020488,USD,218.1,100,1,false,0,USD,6.901284187824714,768531,60.00825423029302,3.6345,,0.0,Finance,Finance,america,1.0,1.0992898316287756
94,AMEX:AIM,AIM,AIM ImmunoTech Inc.,aim-immunotech,delayed_streaming_900,stock,['common'],7068738.850375506,USD,9.25,100,1,false,0,USD,6.8746389370306265,8587,,-24.798,60.99962254655259,0.0,Health technology,Health Technology,america,1.0,1.3310082926451212
95,NASDAQ:EVGO,EVGO,EVgo Inc.,evgo,delayed_streaming_900,stock,['common'],1157270211.186969,USD,3.77,100,1,false,0,USD,6.798866855524086,4623728,,-0.4029,-2.9118773946360066,0.0,Retail trade,Retail Trade,america,1.3,1.403174121664963
96,NASDAQ:CDTX,CDTX,"Cidara Therapeutics, Inc.",cidara-therapeutics,delayed_streaming_900,stock,['common'],1326168327.365984,USD,59.96,100,1,false,0,USD,6.785396260017813,1113634,,-29.0723,-260.33192037877103,0.0,Health technology,Health Technology,america,1.0,1.461245631880215
97,NYSE:HESM,HESM,Hess Midstream LP,hess-midstream,delayed_streaming_900,stock,['common'],8612615145.665192,USD,41.0,100,1,false,0,USD,6.743035667794854,3657756,16.12078795265993,2.5433,15.284891890666774,7.19422025514189,Energy minerals,Energy Minerals,america,1.375,4.111618209546223
98,NYSE:CRC,CRC,California Resources Corporation,california-resources-corporation,delayed_streaming_900,stock,['common'],4571112104.076202,USD,51.26,100,1,false,0,USD,6.7249635644388865,2423895,9.292797447471946,5.5161,58.31754778715344,3.22714969810535,Energy minerals,Energy Minerals,america,1.133333,3.504846411960488
99,NASDAQ:JWEL,JWEL,Jowell Global Ltd.,jowell-global-ltd,delayed_streaming_900,stock,['common'],5209140.266666667,USD,2.4,100,1,false,0,USD,6.6666666666666625,55416,,-3.6695,31.238991117940255,0.0,Distribution services,Distribution Services,america,,3.1472415633980395
