,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
30,NASDAQ:NVNI,NVNI,Nvni Group Limited,nvni-limited,delayed_streaming_900,stock,['common'],48.214285714285694,0.6445,10000,1,false,0,USD,-6.336288330184578,42421220,22269453.177590463,USD,,-0.4743,-1532.9305135951663,0.0,Technology services,Technology Services,america,,2.297546444239948
31,NASDAQ:BLIV,BLIV,BeLive Holdings,belive,delayed_streaming_900,stock,['common'],47.79625230931642,2.02,100,1,false,0,USD,-20.15810276679841,51881,21946900.040000003,USD,,-0.4095,-157.22361809045222,0.0,Technology services,Technology Services,america,,1.4320177315046108
32,NASDAQ:SUPX,SUPX,Super X AI Technology Limited,junee-limited,delayed_streaming_900,stock,['common'],46.99215344376634,16.12,100,1,false,0,USD,41.90140845070424,764192,209194946.48000005,USD,,,,0.0,Commercial services,Commercial Services,america,,12.443732312031237
33,NASDAQ:SMX,SMX,SMX (Security Matters) Public Limited Company,smx-security-matters-public-limited-company,delayed_streaming_900,stock,['common'],46.601810566139704,1.83,100,1,false,0,USD,-15.668202764976952,5872713,6367320.552995392,USD,,-3394.843,98.98726507511302,0.0,Technology services,Technology Services,america,,0.27999077286865237
34,NASDAQ:IXHL,IXHL,Incannex Healthcare Inc.,incannex-healthcare,delayed_streaming_900,stock,['common'],45.1219512195122,1.07,100,1,false,0,USD,-10.084033613445369,80267883,100254046.52941176,USD,,-1.2508,-3384.1225626740943,0.0,Health technology,Health Technology,america,,0.27247135003096107
35,NASDAQ:NEGG,NEGG,"Newegg Commerce, Inc.",newegg-commerce,delayed_streaming_900,stock,['common'],44.1697877652934,56.19,100,1,false,0,USD,43.78198567041965,2704304,1089883792.2044523,USD,,,,0.0,Retail trade,Retail Trade,america,,2.5906985027465117
36,NASDAQ:JXG,JXG,JX Luxventure Group Inc.,jx-luxventure-limited,delayed_streaming_900,stock,['common'],44.086021505376344,1.05,100,1,false,0,USD,-1.8691588785046744,270914,4242999.953271028,USD,0.49168812924373684,2.1355,6.349601593625495,0.0,Consumer non-durables,Consumer Non-Durables,america,,0.3115616759610905
37,NYSE:NOTE,NOTE,"FiscalNote Holdings, Inc.",fiscalnote,delayed_streaming_900,stock,['common'],44.08543263964952,0.5827,10000,1,false,0,USD,-26.17509185354111,10141073,92192875.29063728,USD,,-0.3308,14.786192684183414,0.0,Technology services,Technology Services,america,1.0,3.592545244187698
38,NASDAQ:EKSO,EKSO,"Ekso Bionics Holdings, Inc.",ekso-bionics,delayed_streaming_900,stock,['common'],42.67716535433073,3.29,100,1,false,0,USD,-27.373068432671083,352256,7896000.726269315,USD,,-6.5584,44.72575262111047,0.0,Health technology,Health Technology,america,1.0,1.8625318898626588
39,NASDAQ:LIVE,LIVE,Live Ventures Incorporated,live-ventures,delayed_streaming_900,stock,['common'],41.95193008011652,15.69,100,1,false,0,USD,-6.495828367103703,54653,48275025.66150178,USD,,-2.0413,13.69805098718978,0.0,Consumer durables,Consumer Durables,america,,2.8191994222634893
40,NASDAQ:PTNM,PTNM,Pitanium Limited,,delayed_streaming_900,stock,['common'],41.6,1.32,100,1,false,0,USD,-25.423728813559322,420013,,USD,,,,,Consumer non-durables,Consumer Non-Durables,america,,0.35309167590281065
41,NASDAQ:MFH,MFH,Mercurity Fintech Holding Inc. - American,mercurity-fintech-american,delayed_streaming_900,stock,['common'],39.67741935483871,4.32,100,1,false,0,USD,22.727272727272734,1795239,275125945.0909091,USD,,-0.0949,53.503184713375795,0.0,Technology services,Technology Services,america,,0.5871353626674204
42,NASDAQ:MCVT,MCVT,"Mill City Ventures III, Ltd.",mill-city-ventures-iii-ltd,delayed_streaming_900,stock,['common'],38.358778625954194,6.65,100,1,false,0,USD,11.952861952861952,5393965,40317438.63636364,USD,34.72584856396867,0.1915,,0.0,Finance,Finance,america,,0.37179060653013146
43,NASDAQ:TNFA,TNFA,"TNF Pharmaceuticals, Inc.",mymd-pharmaceuticals,delayed_streaming_900,stock,['common'],38.232994526974196,0.1544,10000,1,false,0,USD,23.520000000000007,294976461,2190023.1872,USD,,-6.9494,27.03812193559902,0.0,Health technology,Health Technology,america,,2.9371338740363155
44,NASDAQ:ABP,ABP,"Abpro Holdings, Inc",abpro,delayed_streaming_900,stock,['common'],37.79467680608364,0.3234,10000,1,false,0,USD,1.2206572769953097,19749556,19658604.368075117,USD,,-0.4247,-406.8019093078759,0.0,Finance,Finance,america,,0.5655676889591171
45,NASDAQ:HCTI,HCTI,"Healthcare Triangle, Inc.",healthcare-triangle,delayed_streaming_900,stock,['common'],36.94267515923566,0.0508,10000,1,false,0,USD,-12.262521588946464,543751311,20749036.269430052,USD,,-0.915,45.84196507842557,0.0,Technology services,Technology Services,america,,0.6679003541155903
46,NASDAQ:VSME,VSME,VS Media Holdings Limited,vs-media-limited,delayed_streaming_900,stock,['common'],36.8,1.39,100,1,false,0,USD,2.962962962962949,2330425,68893526.52592592,USD,,-0.1839,-125.0917992656059,0.0,Commercial services,Commercial Services,america,,26.650911569418106
47,NASDAQ:TBH,TBH,"Brag House Holdings, Inc.",brag-house,delayed_streaming_900,stock,['common'],36.76470588235294,1.05,100,1,false,0,USD,-20.454545454545457,381321,11363717.4,USD,,-0.3134,31.854751032833217,0.0,Technology services,Technology Services,america,,0.7401395376372157
48,AMEX:PLAG,PLAG,Planet Green Holdings Corp.,planet-green,delayed_streaming_900,stock,['common'],36.660000000000004,1.5,100,1,false,0,USD,-26.82569881457632,217103,10924071.418117957,USD,,-0.9674,66.21498917370957,0.0,Consumer non-durables,Consumer Non-Durables,america,,1.2406722281845288
49,NASDAQ:GTI,GTI,Graphjet Technology,energem,delayed_streaming_900,stock,['common'],36.19047619047618,0.1157,10000,1,false,0,USD,-19.090909090909086,32127650,17127884.136363637,USD,,,,0.0,Finance,Finance,america,,0.32590605912150244
50,NASDAQ:YYAI,YYAI,Connexa Sports Technologies Inc.,connexa-sports-technologies,delayed_streaming_900,stock,['common'],36.07164330242714,3.18,100,1,false,0,USD,-26.04651162790697,1070483,46310402.12093024,USD,,-9.2032,98.14173997847591,0.0,Process industries,Process Industries,america,,0.22496224020809244
51,NASDAQ:NCT,NCT,Intercont (Cayman) Limited,intercont-cayman-limited,delayed_streaming_900,stock,['common'],35.87301587301588,3.49,100,1,false,0,USD,-14.66992665036674,123112,93095753.49000001,USD,,,,0.0,Transportation,Transportation,america,,6.643821200954626
52,NASDAQ:GDHG,GDHG,Golden Heaven Group Holdings Ltd.,golden-heaven-ltd,delayed_streaming_900,stock,['common'],35.53333333333333,0.505,10000,1,false,0,USD,5.208333333333338,3376350,19180390.270833332,USD,,-67.047,-265.08956602031395,0.0,Industrial services,Industrial Services,america,,2.5581474991927062
53,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,delayed_streaming_900,stock,['common'],34.469696969696976,8.41,100,1,false,0,USD,-20.585457979225684,608004,63969151.199999996,USD,,-0.7302,-153.45366192294338,0.0,Health services,Health Services,america,,2.7345822076118935
54,NASDAQ:NEO,NEO,"NeoGenomics, Inc.",neogenomics,delayed_streaming_900,stock,['common'],34.4432882414152,5.25,100,1,false,0,USD,-18.730650154798763,11695469,675646148.5681114,USD,,-0.6109,8.793669752164819,0.0,Health services,Health Services,america,1.533333,6.798134032087998
55,NASDAQ:EMPG,EMPG,Empro Group Inc.,,delayed_streaming_900,stock,['common'],34.42622950819672,3.81,100,1,false,0,USD,19.43573667711599,295581,30956250.0,USD,,,,0.0,Distribution services,Distribution Services,america,,2.0835415716524266
56,NASDAQ:ANGH,ANGH,Anghami Inc.,anghami,delayed_streaming_900,stock,['common'],34.32539682539684,0.5401,10000,1,false,0,USD,-14.864438839848667,2843832,36113621.33701136,USD,,-1.11,-85.52565602540531,0.0,Technology services,Technology Services,america,,0.5408814823477827
57,NASDAQ:CLSD,CLSD,"Clearside Biomedical, Inc.",clearside-biomedical,delayed_streaming_900,stock,['common'],34.11764705882352,0.48,10000,1,false,0,USD,7.840934621433384,3605897,37300101.190743655,USD,,-0.4077,24.91712707182321,0.0,Health technology,Health Technology,america,1.857143,0.14226414392072817
58,NASDAQ:NTCL,NTCL,NETCLASS TECHNOLOGY INC,netclass-technology,delayed_streaming_900,stock,['common'],33.95348837209303,2.31,100,1,false,0,USD,4.999999999999994,801340,31785601.049999997,USD,,,,0.0,Technology services,Technology Services,america,,1.401114296230049
59,NASDAQ:ALBT,ALBT,Avalon GloboCare Corp.,avalon-globocare,delayed_streaming_900,stock,['common'],33.78378378378378,2.27,100,1,false,0,USD,-23.56902356902357,690494,6706018.713804713,USD,,-33.6142,-59.2720173988031,0.0,Health technology,Health Technology,america,,0.2529563546302332
60,AMEX:SOAR,SOAR,"Volato Group, Inc.",volato,delayed_streaming_900,stock,['common'],33.520231213872826,1.78,100,1,false,0,USD,4.093567251461992,47937169,3698699.473684211,USD,,-19.106,81.77798632729049,0.0,Transportation,Transportation,america,,57.90740549476369
61,NASDAQ:PBM,PBM,Psyence Biomedical Ltd.,psyence,delayed_streaming_900,stock,['common'],33.42857142857143,7.03,100,1,false,0,USD,-23.169398907103826,130215,5014020.345355191,USD,,,,0.0,Health technology,Health Technology,america,,0.8800106508219921
62,NASDAQ:GNLN,GNLN,"Greenlane Holdings, Inc.",greenlane,delayed_streaming_900,stock,['common'],33.42105263157896,3.82,100,1,false,0,USD,-22.672064777327943,290166,5295719.356275304,USD,,-5850.4725,92.53531373643298,0.0,Distribution services,Distribution Services,america,,1.022475243826545
63,NASDAQ:AGRI,AGRI,AgriFORCE Growing Systems Ltd.,,delayed_streaming_900,stock,['common'],32.839506172839506,4.11,100,1,false,0,USD,-17.799999999999994,8435400,3585469.47,USD,,-17.5173,98.25432400435291,0.0,Commercial services,Commercial Services,america,,23.562745346334072
64,NASDAQ:NCI,NCI,Neo-Concept International Group Holdings Limited,,delayed_streaming_900,stock,['common'],32.584269662921336,2.15,100,1,false,0,USD,6.435643564356431,242226,8737600.0,USD,8.444619010212097,0.2546,,0.0,Retail trade,Retail Trade,america,,4.249832446145911
65,NASDAQ:LNZA,LNZA,"LanzaTech Global, Inc.",lanzatech-global,delayed_streaming_900,stock,['common'],32.05405405405405,0.411,10000,1,false,0,USD,-15.882112157183792,2404059,95337604.06467459,USD,,-0.6673,-35.96169519152404,0.0,Industrial services,Industrial Services,america,2.0,0.5840752676700967
66,NASDAQ:YSXT,YSXT,"YSX Tech. Co., Ltd",ysx-tech-co-ltd,delayed_streaming_900,stock,['common'],31.76895306859205,2.85,100,1,false,0,USD,-21.917808219178077,62825,66262503.9041096,USD,,,,0.0,Finance,Finance,america,,0.44851260868354675
67,NASDAQ:RMSG,RMSG,Real Messenger Corporation,real-messenger,delayed_streaming_900,stock,['common'],31.147540983606547,2.06,100,1,false,0,USD,-14.16666666666666,177422,9931873.708333334,USD,,,,0.0,Technology services,Technology Services,america,,0.8032335422055036
68,NASDAQ:SONN,SONN,"Sonnet BioTherapeutics Holdings, Inc.",sonnet-biotherapeutics,delayed_streaming_900,stock,['common'],30.64516129032257,3.26,100,1,false,0,USD,-19.506172839506174,1125544,20421178.503703702,USD,,-12.831,69.65073868555129,0.0,Health technology,Health Technology,america,,0.6568856108339226
69,NASDAQ:TLIH,TLIH,Ten-League International Holdings Limited,,delayed_streaming_900,stock,['common'],30.578093306288046,0.7996,10000,1,false,0,USD,-19.232323232323235,1688317,23511712.662799995,USD,16.024048096192384,0.0499,,0.0,Distribution services,Distribution Services,america,,1.0721580572282654
70,NASDAQ:RAYA,RAYA,Erayak Power Solution Group Inc.,erayak-power-solution,delayed_streaming_900,stock,['common'],30.43828451882845,0.11,10000,1,false,0,USD,-11.787584503484393,15927349,4953622.883904441,USD,,-0.0721,-170.96456692913387,0.0,Producer manufacturing,Producer Manufacturing,america,,0.351782704218455
71,NASDAQ:LHAI,LHAI,Linkhome Holdings Inc.,,delayed_streaming_900,stock,['common'],30.131578947368435,7.92,100,1,false,0,USD,-19.919110212335696,799841,126759599.99999999,USD,154.6875,0.0512,,0.0,Technology services,Technology Services,america,,
72,NASDAQ:BINI,BINI,"Bollinger Innovations, Inc.",mullen-automotive,delayed_streaming_900,stock,['common'],30.111524163568784,0.057,10000,1,false,0,USD,-11.764705882352944,206721190,600724.4117647059,USD,,-505005847.6198,99.3037844756923,0.0,Technology services,Technology Services,america,,1.3310136613317407
73,NASDAQ:PRPH,PRPH,"ProPhase Labs, Inc.",prophase-labs,delayed_streaming_900,stock,['common'],30.014641288433374,0.3503,10000,1,false,0,USD,-21.103603603603606,3181012,14551883.306756755,USD,,,,0.0,Health technology,Health Technology,america,,2.616873911165322
74,NASDAQ:LSB,LSB,"LakeShore Biopharma Co., Ltd",ys-biopharma-co-ltd,delayed_streaming_900,stock,['common'],29.92781787895613,0.9005,10000,1,false,0,USD,-3.4316353887399496,405539,37112029.831635386,USD,,,,0.0,Health technology,Health Technology,america,,4.365878156883052
75,NYSE:XPRO,XPRO,Expro Group Holdings N.V.,franks-international,delayed_streaming_900,stock,['common'],29.495718363463364,11.89,100,1,false,0,USD,32.11111111111112,6398947,1371997705.88,USD,19.562356038170453,0.6078,,0.0,Energy minerals,Energy Minerals,america,1.5,6.632119728631188
76,NASDAQ:LRHC,LRHC,La Rosa Holdings Corp.,,delayed_streaming_900,stock,['common'],29.43201376936317,5.9,100,1,false,0,USD,-21.542553191489354,420898,4305153.111702127,USD,,-517.7648,-560.0034672295816,0.0,Finance,Finance,america,,1.2337214097847558
77,NASDAQ:SDM,SDM,Smart Digital Group Limited,smart-digital-limited,delayed_streaming_900,stock,['common'],29.384615384615383,20.65,100,1,false,0,USD,-18.15299246928261,833521,,USD,,,,,Commercial services,Commercial Services,america,,1.1459867893806341
78,NASDAQ:MBRX,MBRX,"Moleculin Biotech, Inc.",moleculin-biotech,delayed_streaming_900,stock,['common'],28.956521739130434,0.7144,10000,1,false,0,USD,29.820098128293658,18515926,21580233.780846808,USD,,-5.7957,55.35931602865285,0.0,Health technology,Health Technology,america,1.0,5.495154875041857
79,NASDAQ:APYX,APYX,Apyx Medical Corporation,apyx-medicalrporation,delayed_streaming_900,stock,['common'],28.947368421052648,1.96,100,1,false,0,USD,-19.008264462809915,348940,74076022.94214876,USD,,-0.548,16.755278748291047,0.0,Health technology,Health Technology,america,1.666667,3.926784940609825
80,NASDAQ:IVF,IVF,"INVO Fertility, Inc.",invo-fertility,delayed_streaming_900,stock,['common'],28.94736842105264,1.81,100,1,false,0,USD,-15.023474178403747,13780029,1680172.0140845072,USD,,-106.7866,40.467301129980974,0.0,Health services,Health Services,america,2.0,2.445876082925035
81,NASDAQ:AIHS,AIHS,Senmiao Technology Limited,,delayed_streaming_900,stock,['common'],28.581589958158997,2.735,100,1,false,0,USD,2.7037176117161126,85221,29513352.0,USD,,-0.3541,14.777376654632961,0.0,Finance,Finance,america,,2.6782195611442106
82,NASDAQ:FTHM,FTHM,Fathom Holdings Inc.,fathom,delayed_streaming_900,stock,['common'],28.561225299579405,1.3,100,1,false,0,USD,-18.238993710691826,148147,36594680.31446541,USD,,-0.9914,30.188014928526158,0.0,Technology services,Technology Services,america,1.0,0.7360727154205264
83,NASDAQ:CIGL,CIGL,Concorde International Group Ltd,concorde-international-ltd,delayed_streaming_900,stock,['common'],28.53932584269662,2.34,100,1,false,0,USD,-15.217391304347824,183829,52243743.239999995,USD,,,,0.0,Commercial services,Commercial Services,america,,1.1090310841692992
84,NASDAQ:WAI,WAI,Top KingWin Ltd,top-kingwin-ltd,delayed_streaming_900,stock,['common'],28.52468063791433,0.369,10000,1,false,0,USD,-13.885647607934656,1445565,4120554.5390898483,USD,,-0.8067,,0.0,Commercial services,Commercial Services,america,,0.15945937550507905
85,NASDAQ:AGH,AGH,Aureus Greenway Holdings Inc.,aureus-greenway,delayed_streaming_900,stock,['common'],28.49162011173183,2.14,100,1,false,0,USD,13.829787234042568,649615,,USD,,,,,Consumer services,Consumer Services,america,,0.14814154497436738
86,NASDAQ:SRPT,SRPT,"Sarepta Therapeutics, Inc.",sarepta-therapeutics,delayed_streaming_900,stock,['common'],28.471601321488148,15.83,100,1,false,0,USD,14.21356421356422,67569461,1555725361.143579,USD,,-2.5773,-3975.6390977443607,0.0,Health technology,Health Technology,america,1.931034,2.610492880441053
87,NASDAQ:INTZ,INTZ,Intrusion Inc.,intrusion,delayed_streaming_900,stock,['common'],28.327777777777765,1.81,100,1,false,0,USD,-2.6881720430107547,1094084,36010124.18817205,USD,,-1.2153,85.5937125854977,0.0,Technology services,Technology Services,america,1.5,3.470539161107569
88,NASDAQ:LGCL,LGCL,Lucas GC Limited,lucas-gc-limited,delayed_streaming_900,stock,['common'],28.10180275715801,0.5861,10000,1,false,0,USD,-2.963576158940402,124373,65418754.75165564,USD,8.26657263751763,0.0709,,0.0,Commercial services,Commercial Services,america,,1.1632189627146672
89,NASDAQ:PALI,PALI,"Palisade Bio, Inc.",palisade-bio,delayed_streaming_900,stock,['common'],27.358490566037737,1.09,100,1,false,0,USD,-12.09677419354838,679586,5227254.10483871,USD,,-8.9004,63.974888792646354,0.0,Health technology,Health Technology,america,1.0,0.3622560638095539
90,NASDAQ:SLDP,SLDP,"Solid Power, Inc.",solid-power,delayed_streaming_900,stock,['common'],27.358490566037727,3.23,100,1,false,0,USD,-20.24691358024691,21949931,579339531.9580247,USD,,-0.5043,-33.2012678288431,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.24506450906538
91,NASDAQ:RCT,RCT,RedCloud Holdings plc,redcloud-plc,delayed_streaming_900,stock,['common'],27.27272727272728,2.68,100,1,false,0,USD,-6.6202090592334475,263826,118527376.7108014,USD,,,,0.0,Technology services,Technology Services,america,1.0,1.3521009824572192
92,NASDAQ:VCIG,VCIG,VCI Global Limited,vci-global-limited,delayed_streaming_900,stock,['common'],27.26997273002727,0.9901,10000,1,false,0,USD,1.030612244897959,8270501,26663385.927857146,USD,,,,0.0,Commercial services,Commercial Services,america,,0.6987725751335677
93,NASDAQ:MEGL,MEGL,Magic Empire Global Limited,magic-empire-global-limited,delayed_streaming_900,stock,['common'],27.17391304347826,1.45,100,1,false,0,USD,-17.37891737891738,260528,11692872.706552707,USD,,-0.12,-875.609756097561,0.0,Finance,Finance,america,,1.0777764861478203
94,NASDAQ:TLRY,TLRY,"Tilray Brands, Inc.",tilray,delayed_streaming_900,stock,['common'],26.987295825771312,0.5769,10000,1,false,0,USD,-17.550378733743035,71475289,598892761.2103759,USD,,-2.309,-592.5614877024597,0.0,Process industries,Process Industries,america,1.666667,1.68617104750967
95,NYSE:PERF,PERF,Perfect Corp.,perfect,delayed_streaming_900,stock,['common'],26.94300518134716,2.05,100,1,false,0,USD,-16.32653061224491,761151,208790355.44897953,USD,33.82838283828382,0.0606,9.386281588447659,0.0,Technology services,Technology Services,america,1.333333,2.9863920515739006
96,AMEX:CVM,CVM,Cel-Sci Corporation,cel-sci,delayed_streaming_900,stock,['common'],26.61433274246645,7.15,100,1,false,0,USD,-16.957026713124264,756938,48772586.48083624,USD,,-12.2634,35.03385143511013,0.0,Health technology,Health Technology,america,,0.9878435696621833
97,NASDAQ:CTOR,CTOR,"Citius Oncology, Inc.",citius-pharmaceuticals,delayed_streaming_900,stock,['common'],26.51398370402995,2.06,100,1,false,0,USD,10.160427807486627,1626576,161443400.7486631,USD,,,,0.0,Health technology,Health Technology,america,2.0,0.3715934480159002
98,NYSE:STEM,STEM,"Stem, Inc.",stem,delayed_streaming_900,stock,['common'],26.488294314381278,15.17,100,1,false,0,USD,-19.777895293495508,1275308,126669504.81332627,USD,,-99.385,-574.8397522950731,0.0,Producer manufacturing,Producer Manufacturing,america,2.0,0.9243049510269301
99,NASDAQ:OST,OST,"Ostin Technology Group Co., Ltd.",ostin-technology-co-ltd,delayed_streaming_900,stock,['common'],26.065773447015818,0.0884,10000,1,false,0,USD,-14.589371980676319,12532634,11768695.416425124,USD,,-5.7325,20.20684279390885,0.0,Electronic technology,Electronic Technology,america,,1.2010509526702338
