,ticker,name,description,logoid,update_mode,type,typespecs,Perf.Y,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
34,NASDAQ:TMC,TMC,TMC the metals company Inc.,the-metals-company,delayed_streaming_900,stock,['common'],460.16949152542384,6.61,100,1,false,0,USD,-11.275167785234897,11524770,2647590367.452349,USD,,-0.2337,28.597616865261227,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,1.022640968657758
35,NASDAQ:RPID,RPID,"Rapid Micro Biosystems, Inc.",rapid-micro-biosystems,delayed_streaming_900,stock,['common'],450.735294117647,3.745,100,1,false,0,USD,-9.75903614457832,153711,164149725.5240964,USD,,-1.0245,14.86621239820509,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,1.425644554835622
36,NASDAQ:AEVA,AEVA,"Aeva Technologies, Inc.",aeva,delayed_streaming_900,stock,['common'],449.19354838709677,20.43,100,1,false,0,USD,-7.136363636363638,2085796,1124112617.8486362,USD,,-2.8215,10.383051708804478,0.0,Electronic technology,Electronic Technology,america,1.2,0.7810475516126896
37,AMEX:LEU,LEU,Centrus Energy Corp.,centrus,delayed_streaming_900,stock,['common'],423.67375555036233,224.08,100,1,false,0,USD,-6.399331662489555,1127639,3817710388.000334,USD,35.136025088200704,6.3775,40.27890812308913,0.0,Non-energy minerals,Non-Energy Minerals,america,1.321429,0.9400096048386647
38,NASDAQ:AZ,AZ,A2Z Cust2Mate Solutions Corp.,a2z-smart-technologies,delayed_streaming_900,stock,['common'],402.7848101265823,9.93,100,1,false,0,USD,-3.6857419980601427,211745,347944534.0213385,USD,,-1.0767,-22.88290344670167,0.0,Finance,Finance,america,,0.8723554235009661
39,NYSE:IONQ,IONQ,"IonQ, Inc.",ionq,delayed_streaming_900,stock,['common'],385.9712230215827,40.53,100,1,false,0,USD,-4.274917335852627,21070192,10603984113.47331,USD,,-1.4902,-79.17518335938439,0.0,Electronic technology,Electronic Technology,america,1.3125,1.098353506468133
40,AMEX:UMAC,UMAC,"Unusual Machines, Inc.",unusual-machines,delayed_streaming_900,stock,['common'],383.85416666666663,9.29,100,1,false,0,USD,-8.472906403940899,3138480,281373508.2344827,USD,,-3.7622,-542.67167748548,0.0,Electronic technology,Electronic Technology,america,1.0,0.5860856862546895
41,NASDAQ:HOOD,HOOD,"Robinhood Markets, Inc.",robinhood,delayed_streaming_900,stock,['common'],379.2207792207792,103.32,100,1,false,0,USD,-3.231244731666201,30567905,91176687711.8168,USD,58.96923691570115,1.7521,1104.192439862543,0.0,Finance,Finance,america,1.407407,0.7083085298291991
42,NASDAQ:CDTX,CDTX,"Cidara Therapeutics, Inc.",cidara-therapeutics,delayed_streaming_900,stock,['common'],375.287797390637,61.93,100,1,false,0,USD,-1.196553924696873,204682,1369739871.4999998,USD,,-29.0723,-260.33192037877103,0.0,Health technology,Health Technology,america,1.0,0.31080622663243807
43,NASDAQ:DALN,DALN,DallasNews Corporation - Series A,dallasnews,delayed_streaming_900,stock,['common'],365.72327044025155,14.81,100,1,false,0,USD,0.006752650415296253,154035,79270719.51313391,USD,2.6619455029117836,5.5636,,0.0,Consumer services,Consumer Services,america,,0.7191085826649244
44,NASDAQ:APP,APP,Applovin Corporation,applovin,delayed_streaming_900,stock,['common'],362.3242137560726,361.63,100,1,false,0,USD,-2.5150959672201814,3270215,122370831657.13509,USD,65.29974720115565,5.538,228.1000059245216,0.0,Technology services,Technology Services,america,1.290323,0.8628448197253094
45,NYSE:SMR,SMR,NuScale Power Corporation,nuscale-power,delayed_streaming_900,stock,['common'],338.40644583706353,48.97,100,1,false,0,USD,-3.9615610904098904,9449691,13926720349.494606,USD,,-1.3671,-62.80814576634513,0.0,Producer manufacturing,Producer Manufacturing,america,1.653846,0.6980843458996195
46,NYSE:MP,MP,MP Materials Corp.,mp-materials,delayed_streaming_900,stock,['common'],337.30043541364296,60.26,100,1,false,0,USD,-6.005303384807364,12203275,10670161505.027294,USD,,-0.6365,-311.97411003236243,0.0,Non-energy minerals,Non-Energy Minerals,america,1.409091,0.4605782840492902
47,NYSE:BBAI,BBAI,"BigBear.ai, Inc.",bigbear-ai,delayed_streaming_900,stock,['common'],335.52631578947364,6.62,100,1,false,0,USD,-7.412587412587415,66988004,1927669962.4755244,USD,,-0.7731,13.581488933601605,0.0,Technology services,Technology Services,america,1.333333,0.6240195531878113
48,NASDAQ:LTBR,LTBR,Lightbridge Corporation,lightbridge,delayed_streaming_900,stock,['common'],333.3333333333333,13.65,100,1,false,0,USD,-8.939292861907939,1431044,321434625.55036694,USD,,-0.8494,-25.98635419756749,0.0,Process industries,Process Industries,america,,0.8473948590590594
49,NASDAQ:LAES,LAES,SEALSQ Corp,sealsq,delayed_streaming_900,stock,['common'],327.7777777777778,3.08,100,1,false,0,USD,-4.347826086956525,8006253,450390668.86956525,USD,,-0.6817,-191.6987590928541,0.0,Electronic technology,Electronic Technology,america,1.0,0.6857562403066437
50,NASDAQ:PDYN,PDYN,Palladyne AI Corp.,sarcos-technology-and-robotics,delayed_streaming_900,stock,['common'],327.63819095477385,8.51,100,1,false,0,USD,-13.340122199592672,3556188,303922111.182281,USD,,-1.8738,52.43800289362134,0.0,Producer manufacturing,Producer Manufacturing,america,1.0,0.8083307307187172
51,NASDAQ:NAKA,NAKA,"Kindly MD, Inc.",kindly-md,delayed_streaming_900,stock,['common'],326.9035532994924,8.41,100,1,false,0,USD,-20.585457979225684,608004,63969151.199999996,USD,,-0.7302,-153.45366192294338,0.0,Health services,Health Services,america,,2.7345822076118935
52,NASDAQ:XGN,XGN,Exagen Inc.,exagen,delayed_streaming_900,stock,['common'],322.49999999999994,8.45,100,1,false,0,USD,14.343707713125841,2216535,184722207.21244928,USD,,-0.8922,7.916193621632779,0.0,Health services,Health Services,america,1.142857,7.000967454306498
53,NASDAQ:COMM,COMM,"CommScope Holding Company, Inc.",commscope,delayed_streaming_900,stock,['common'],317.0,8.34,100,1,false,0,USD,2.5830258302582907,5110397,1806419261.0774906,USD,,-0.594,93.28896973257562,0.0,Electronic technology,Electronic Technology,america,2.277778,1.2270874822356268
54,NASDAQ:OCG,OCG,Oriental Culture Holding LTD,oriental-culture-ltd,delayed_streaming_900,stock,['common'],309.2741935483871,5.075,100,1,false,0,USD,1.2974051896207663,10692,105224692.42015968,USD,,-0.3056,63.86425446375784,0.0,Retail trade,Retail Trade,america,,0.7004533424176516
55,NASDAQ:ABVC,ABVC,"ABVC BioPharma, Inc.",abvc-biopharma,delayed_streaming_900,stock,['common'],308.2191780821918,2.98,100,1,false,0,USD,-1.3245033112582794,141334,50605150.2384106,USD,,-0.1442,93.72470516558596,0.0,Health technology,Health Technology,america,,0.46915071949013293
56,NASDAQ:SRRK,SRRK,Scholar Rock Holding Corporation,scholar-rock,delayed_streaming_900,stock,['common'],303.35497835497836,37.27,100,1,false,0,USD,0.48530601240226395,834759,3538621194.637638,USD,,-2.6452,-20.301982899763516,0.0,Health technology,Health Technology,america,1.0,0.5626219632979651
57,NASDAQ:CURI,CURI,CuriosityStream Inc.,curiositystream,delayed_streaming_900,stock,['common'],298.2300884955753,4.5,100,1,false,0,USD,-3.6402569593147733,448380,259686983.83297646,USD,,-0.1378,84.16637940939906,3.10492505353319,Consumer services,Consumer Services,america,1.0,0.843706392132482
58,NASDAQ:ETON,ETON,"Eton Pharmaceuticals, Inc.",eton-pharmaceuticals,delayed_streaming_900,stock,['common'],297.5206611570248,14.43,100,1,false,0,USD,-3.9920159680638703,356942,386977029.04191613,USD,,-0.1757,-619.8224852071006,0.0,Health technology,Health Technology,america,1.0,0.7699602014733005
59,NASDAQ:AMLX,AMLX,"Amylyx Pharmaceuticals, Inc.",amylyx-pharmaceuticals,delayed_streaming_900,stock,['common'],297.5,7.95,100,1,false,0,USD,-0.5006257822277852,897944,708671587.7909887,USD,,-3.1028,-190.52434456928836,0.0,Health technology,Health Technology,america,1.055556,0.6552910388835129
60,NASDAQ:CRDO,CRDO,Credo Technology Group Holding Ltd,credo-technology-ltd,delayed_streaming_900,stock,['common'],277.6933701657458,109.38,100,1,false,0,USD,1.3246873552570566,4566094,18774182883.601112,USD,392.46501614639396,0.2787,,0.0,Technology services,Technology Services,america,1.153846,1.02148652446298
61,NYSE:ZVIA,ZVIA,Zevia PBC,zevia-pbc,delayed_streaming_900,stock,['common'],274.4186046511628,3.22,100,1,false,0,USD,0.6250000000000006,999652,238992404.875,USD,,-0.32,33.81592554291623,0.0,Consumer non-durables,Consumer Non-Durables,america,1.5,1.5786180704150843
62,NASDAQ:MB,MB,MasterBeef Group,masterbeef,delayed_streaming_900,stock,['common'],271.0526315789474,14.1,100,1,false,0,USD,-1.3296011196640973,23364,241885500.0,USD,57.01577031945006,0.2473,,0.0,Consumer services,Consumer Services,america,,0.6065436306947837
63,NASDAQ:MTEN,MTEN,Mingteng International Corporation Inc.,mingteng-international,delayed_streaming_900,stock,['common'],267.72486772486775,13.9,100,1,false,0,USD,-3.4722222222222223,83268,95070440.0,USD,,-0.117,,0.0,Producer manufacturing,Producer Manufacturing,america,,0.5751295229425347
64,NASDAQ:MFI,MFI,mF International Limited,,delayed_streaming_900,stock,['common'],263.855421686747,24.16,100,1,false,0,USD,-8.830188679245282,17670,40020049.44,USD,,-0.1956,,0.0,Technology services,Technology Services,america,,0.6817603074287566
65,NYSE:GEV,GEV,GE Vernova Inc.,ge-verona,delayed_streaming_900,stock,['common'],262.93597980725104,632.67,100,1,false,0,USD,-2.314485995738506,2749780,172227911705.75595,USD,151.38905505970183,4.1791,-3.2257317525009155,0.0772010005249668,Producer manufacturing,Producer Manufacturing,america,1.473684,0.8392561837298913
