,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
195,NASDAQ:GNLX,GNLX,Genelux Corporation,genelux,streaming,stock,['common'],,3.15,100,1,false,0,USD,-5.688622754491016,68266,,-0.8567,11.406411582213027,0.0,Health technology,Health Technology,america,1.0,0.6902150944235603
196,NASDAQ:WYFI,WYFI,"WhiteFiber, Inc.",,streaming,stock,['common'],,15.3,100,1,false,0,USD,-5.672009864364971,3471754,,,,0.0,Technology services,Technology Services,america,,
197,NASDAQ:APPF,APPF,"AppFolio, Inc.",appfolio,streaming,stock,['common'],,283.36,100,1,false,0,USD,-5.663015614075969,635503,51.13878361306623,5.541,62.34032579397635,0.0,Technology services,Technology Services,america,1.375,1.2132682619875779
198,NASDAQ:ATHR,ATHR,"Aether Holdings, Inc.",aether,streaming,stock,['common'],,8.5,100,1,false,0,USD,-5.660377358490564,51705,,-0.1102,-130.5439330543933,0.0,Technology services,Technology Services,america,,0.760211133002029
199,NASDAQ:AKAM,AKAM,"Akamai Technologies, Inc.",akamai,streaming,stock,['common'],,70.53,100,1,false,0,USD,-5.6581059390048205,5403818,25.006204573657154,2.8205,-30.07660460619282,0.0,Technology services,Technology Services,america,1.592593,2.528084010817794
200,AMEX:BDL,BDL,"Flanigan's Enterprises, Inc.",flanigan-s-enterprises,streaming,stock,['common'],,31.15,100,1,false,0,USD,-5.634656164798544,1240,14.29554841670491,2.179,14.76273239584978,1.76565008025682,Consumer services,Consumer Services,america,,1.433194637078132
201,NASDAQ:LYFT,LYFT,"Lyft, Inc.",lyft,streaming,stock,['common'],,13.41,100,1,false,0,USD,-5.629838142153417,24335925,61.26084970306076,0.2189,,0.0,Transportation,Transportation,america,1.72449,1.0614420104890212
202,NASDAQ:SHFS,SHFS,"SHF Holdings, Inc.",shf,streaming,stock,['common'],,2.265,100,1,false,0,USD,-5.624999999999991,5285,,-18.2137,-2048.406076166025,0.0,Finance,Finance,america,,0.2961663687257281
203,NASDAQ:RAPP,RAPP,"Rapport Therapeutics, Inc.",rapport-therapeutics,streaming,stock,['common'],,14.55,100,1,false,0,USD,-5.5807916937053825,104519,,-2.4622,,0.0,Health technology,Health Technology,america,1.0,0.6360954127904359
204,NYSE:TOST,TOST,"Toast, Inc.",toast,streaming,stock,['common'],,43.08,100,1,false,0,USD,-5.547029160271872,9052953,125.63429571303587,0.3429,,0.0,Technology services,Technology Services,america,1.534483,0.8877857328159613
205,NASDAQ:LVLU,LVLU,"Lulu's Fashion Lounge Holdings, Inc.",,streaming,stock,['common'],,3.79,100,1,false,0,USD,-5.486284289276802,39905,,-20.6918,-183.51922391822643,0.0,Retail trade,Retail Trade,america,,0.22927227526232297
206,NASDAQ:GTM,GTM,ZoomInfo Technologies Inc.,zoominfo,streaming,stock,['common'],,9.82,100,1,false,0,USD,-5.486044273339752,5464464,37.52388230798625,0.2617,628.9693593314763,0.0,Technology services,Technology Services,america,2.020833,0.8145104581774856
207,NYSE:FUN,FUN,Six Flags Entertainment Corporation,six-flags-entertainment,streaming,stock,['common'],,23.79,100,1,false,0,USD,-5.445151033386331,5598571,,-4.7212,-291.568269425847,0.0,Consumer services,Consumer Services,america,1.285714,0.9756515591562879
208,NYSE:CMDB,CMDB,Costamare Bulkers Holdings Limited,costamare-bulkers-limited,streaming,stock,['common'],,9.22,100,1,false,0,USD,-5.435897435897429,147155,,,,0.0,Transportation,Transportation,america,,1.6481547230376539
209,NASDAQ:SPT,SPT,"Sprout Social, Inc",sprout-social,streaming,stock,['common'],,13.94,100,1,false,0,USD,-5.427408412483044,1214955,,-0.9487,27.5192910077164,0.0,Technology services,Technology Services,america,1.607143,1.595779054039677
210,NASDAQ:BOOM,BOOM,DMC Global Inc.,dmc-global,streaming,stock,['common'],,5.85,100,1,false,0,USD,-5.416329830234438,385357,,-8.6378,-1438.3638053920051,0.0,Industrial services,Industrial Services,america,1.666667,2.053856046680073
211,NASDAQ:ALGS,ALGS,"Aligos Therapeutics, Inc.",aligos-therapeutics,streaming,stock,['common'],,7.69,100,1,false,0,USD,-5.41205412054121,84998,,-19.7932,-63.75881126518183,0.0,Health technology,Health Technology,america,1.0,1.4875602038530256
212,NASDAQ:HURA,HURA,"TuHURA Biosciences, Inc.",kintara-therapeutics,streaming,stock,['common'],,2.3,100,1,false,0,USD,-5.349794238683141,134284,,-11.5667,92.1251592267791,0.0,Health technology,Health Technology,america,1.0,0.9578475464269028
213,NASDAQ:MTSI,MTSI,"MACOM Technology Solutions Holdings, Inc.",macom-technology-solutions,streaming,stock,['common'],,120.94,100,1,false,0,USD,-5.3307240704501,2150996,,-1.0075,-202.09768950141873,0.0,Electronic technology,Electronic Technology,america,1.382353,2.766217413776097
214,NASDAQ:ACHV,ACHV,"Achieve Life Sciences, Inc.",achieve-life-science,streaming,stock,['common'],,2.5,100,1,false,0,USD,-5.303030303030307,915156,,-1.4588,-32.49772933696641,0.0,Health technology,Health Technology,america,1.0,1.5711442195010483
215,NYSE:SMWB,SMWB,Similarweb Ltd.,similarweb,streaming,stock,['common'],,7.16,100,1,false,0,USD,-5.291005291005284,644209,,-0.2181,15.986132511556244,0.0,Technology services,Technology Services,america,1.055556,1.6975383139743239
216,NASDAQ:DUOL,DUOL,"Duolingo, Inc.",duolingo,streaming,stock,['common'],,370.34,100,1,false,0,USD,-5.245113089755399,3839642,153.90433445538793,2.4063,73.60219320395352,0.0,Technology services,Technology Services,america,1.461538,1.9131528015677757
217,NYSE:FVRR,FVRR,Fiverr International Ltd.,fiverr,streaming,stock,['common'],,21.71,100,1,false,0,USD,-5.23788738542121,1232862,45.71488734470415,0.4749,59.952846076119904,0.0,Technology services,Technology Services,america,1.363636,0.8495300739056753
218,NYSE:QS,QS,QuantumScape Corporation,quantumscape,streaming,stock,['common'],,8.76,100,1,false,0,USD,-5.194805194805199,34527936,,-0.866,9.20528412665129,0.0,Producer manufacturing,Producer Manufacturing,america,2.25,0.745313343667754
219,NASDAQ:DGNX,DGNX,Diginex Limited,diginex-limited,streaming,stock,['common'],,44.1,100,1,false,0,USD,-5.161290322580642,28192,,-0.1859,-7.023603914795634,0.0,Technology services,Technology Services,america,,0.5136249437493965
220,NYSE:CPRI,CPRI,Capri Holdings Limited,capri-holdings,streaming,stock,['common'],,19.7,100,1,false,0,USD,-5.151661049590758,3469542,,-9.4069,-277.1963591162436,0.0,Retail trade,Retail Trade,america,1.857143,0.7988907997768336
221,NASDAQ:FMFC,FMFC,Kandal M Venture Limited,kandal-m-venture-limited,streaming,stock,['common'],,7.55,100,1,false,0,USD,-5.150753768844223,68217,,,,,Consumer non-durables,Consumer Non-Durables,america,,0.20706448147674855
222,NASDAQ:DKNG,DKNG,DraftKings Inc.,draftkings,streaming,stock,['common'],,42.88,100,1,false,0,USD,-5.132743362831859,16820651,,-0.6526,25.151966968689077,0.0,Consumer services,Consumer Services,america,1.162162,1.5104378394969398
223,NASDAQ:CNCK,CNCK,Coincheck Group N.V.,coincheck-nv,streaming,stock,['common'],,4.345,100,1,false,0,USD,-5.131004366812234,99226,,,,0.0,Finance,Finance,america,2.0,1.4144590541573059
224,NASDAQ:DIBS,DIBS,"1stdibs.com, Inc.",1stdibs,streaming,stock,['common'],,2.61,100,1,false,0,USD,-5.090909090909095,50614,,-0.5537,-56.14777213761983,0.0,Retail trade,Retail Trade,america,1.0,1.0880823446203192
225,NASDAQ:VWAV,VWAV,"VisionWave Holdings, Inc.",,streaming,stock,['common'],,6.9,100,1,false,0,USD,-5.089408528198064,132411,,-0.4182,-733.0677290836653,0.0,Finance,Finance,america,,0.004380536549379593
226,NYSE:FLR,FLR,Fluor Corporation,fluor,streaming,stock,['common'],,41.89,100,1,false,0,USD,-5.075912077951511,5135084,1.7246632192615527,24.2888,941.275829546429,0.0,Industrial services,Industrial Services,america,1.545455,0.7709343034946203
227,NASDAQ:HTCO,HTCO,High-Trend International Group,,streaming,stock,['common'],,7.21,100,1,false,0,USD,-5.069124423963131,138248,,-12.3517,-138.25203016800722,0.0,Transportation,Transportation,america,,4.429821638221407
228,NYSE:RDW,RDW,Redwire Corporation,redwire,streaming,stock,['common'],,8.99,100,1,false,0,USD,-5.068637803590289,10032242,,-3.2512,-230.67534580960128,0.0,Electronic technology,Electronic Technology,america,1.125,1.8103784406308274
229,NYSE:OKLO,OKLO,Oklo Inc.,altc,streaming,stock,['common'],,75.32,100,1,false,0,USD,-5.0428643469490675,13742030,,-5.399,-2987.16577540107,0.0,Producer manufacturing,Producer Manufacturing,america,1.464286,0.7413303367728192
230,NYSE:KRMN,KRMN,Karman Holdings Inc.,karman,streaming,stock,['common'],,45.78,100,1,false,0,USD,-5.040448039825762,3047362,,,,0.0,Electronic technology,Electronic Technology,america,1.125,1.4461369666431447
231,NYSE:FIGS,FIGS,"FIGS, Inc.",figs,streaming,stock,['common'],,6.22,100,1,false,0,USD,-5.038167938931299,3803102,151.7073170731707,0.041,-60.155490767735664,0.0,Consumer non-durables,Consumer Non-Durables,america,2.05,1.8706118285996927
232,NYSE:MUX,MUX,McEwen Inc.,mcewen-mining,streaming,stock,['common'],,10.2,100,1,false,0,USD,-5.027932960893863,1300821,,-0.2566,-114.76324722398022,0.0,Non-energy minerals,Non-Energy Minerals,america,1.083333,1.5440387570261354
233,NASDAQ:EXAS,EXAS,Exact Sciences Corporation,exact-sciences,streaming,stock,['common'],,40.99,100,1,false,0,USD,-5.027803521779414,6212826,,-5.4205,-464.22400333090457,0.0,Health technology,Health Technology,america,1.222222,1.5121101805005825
234,AMEX:LEU,LEU,Centrus Energy Corp.,centrus,streaming,stock,['common'],,223.15,100,1,false,0,USD,-5.0183025453307195,1282750,36.663106875872835,6.0865,8.575047272467796,0.0,Non-energy minerals,Non-Energy Minerals,america,1.392857,1.0188142487377705
235,NASDAQ:PAYO,PAYO,Payoneer Global Inc.,payoneer,streaming,stock,['common'],,6.64,100,1,false,0,USD,-5.007153075822611,4532371,25.218382073680214,0.2633,-1.7903767251025837,0.0,Commercial services,Commercial Services,america,1.090909,0.9661543668073587
236,NASDAQ:TWFG,TWFG,"TWFG, Inc.",twfg,streaming,stock,['common'],,25.83,100,1,false,0,USD,-5.001838911364484,374520,34.80194017784964,0.7422,-58.54557640750671,0.0,Finance,Finance,america,1.5,4.026031823840145
237,NASDAQ:TCRT,TCRT,"Alaunos Therapeutics, Inc.",alaunos-therapeutics,streaming,stock,['common'],,2.47,100,1,false,0,USD,-4.999999999999996,88023,,-2.5424,84.80598103138128,0.0,Health technology,Health Technology,america,,2.152277884276828
238,NASDAQ:BYND,BYND,"Beyond Meat, Inc.",beyond-meat,streaming,stock,['common'],,2.66,100,1,false,0,USD,-4.999999999999989,1659413,,-2.1332,56.185429375397945,0.0,Consumer non-durables,Consumer Non-Durables,america,2.5,0.6889795360481201
239,NASDAQ:TSAT,TSAT,Telesat Corporation,telesat,streaming,stock,['common'],,21.01,100,1,false,0,USD,-4.975124378109443,99367,,-5.580510649999999,-487.34147097537993,0.0,Communications,Communications,america,1.5,0.8418691975186264
240,NASDAQ:FA,FA,First Advantage Corporation,first-advantage,streaming,stock,['common'],,16.63,100,1,false,0,USD,-4.971428571428578,1891629,,-0.9148,-640.9816676522767,0.0,Commercial services,Commercial Services,america,1.555556,2.1938235928912206
241,NYSE:KVYO,KVYO,"Klaviyo, Inc. Series A",klaviyo,streaming,stock,['common'],,32.35,100,1,false,0,USD,-4.936820452541873,1969547,,-0.2412,82.85226787999432,0.0,Technology services,Technology Services,america,1.142857,0.7066004485971652
242,NYSE:LOAR,LOAR,Loar Holdings Inc.,loar,streaming,stock,['common'],,67.62,100,1,false,0,USD,-4.934626739772235,926366,177.48031496062993,0.381,555.7659208261618,0.0,Electronic technology,Electronic Technology,america,1.0,1.2827068322984807
243,NASDAQ:BEEM,BEEM,Beam Global,beam-global,streaming,stock,['common'],,2.12,100,1,false,0,USD,-4.932735426008963,214998,,-1.5975,-39.604998689154925,0.0,Producer manufacturing,Producer Manufacturing,america,1.2,0.9763072989866745
244,NASDAQ:PAYS,PAYS,"Paysign, Inc.",paysign,streaming,stock,['common'],,5.61,100,1,false,0,USD,-4.834605597964364,1285322,46.28712871287129,0.1212,-15.422191207257507,0.0,Commercial services,Commercial Services,america,1.0,1.1112394504088596
245,NYSE:RAMP,RAMP,"LiveRamp Holdings, Inc.",liveramp-holdings,streaming,stock,['common'],,26.46,100,1,false,0,USD,-4.820143884892086,1380794,123.18435754189944,0.2148,155.71428571428567,0.0,Technology services,Technology Services,america,1.444444,2.645612800774987
246,NYSE:SEMR,SEMR,"SEMrush Holdings, Inc.",semrush,streaming,stock,['common'],,7.12,100,1,false,0,USD,-4.812834224598935,1355992,,-0.009,-108.89328063241106,0.0,Technology services,Technology Services,america,1.333333,0.9123532824996151
247,NASDAQ:BAOS,BAOS,Baosheng Media Group Holdings Limited,baosheng-media-limited,streaming,stock,['common'],,2.69,100,1,false,0,USD,-4.77876106194691,9333,,-17.5115,-37.598711350331996,0.0,Commercial services,Commercial Services,america,,0.24565568722000833
248,NASDAQ:EKSO,EKSO,"Ekso Bionics Holdings, Inc.",ekso-bionics,streaming,stock,['common'],,2.99,100,1,false,0,USD,-4.777070063694264,128448,,-6.5584,44.72575262111047,0.0,Health technology,Health Technology,america,1.0,0.7202902963694449
249,NASDAQ:SCVL,SCVL,"Shoe Carnival, Inc.",shoe-carnival,streaming,stock,['common'],,19.57,100,1,false,0,USD,-4.768856447688567,481708,8.185886978709165,2.3907,-11.64208892338398,2.9126213592233,Retail trade,Retail Trade,america,1.666667,1.5125162803958287
