,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
19,NASDAQ:WLGS,WLGS,"Wang & Lee Group, Inc.",wang-and-lee-group,streaming,stock,['common'],52.78137128072446,0.0812,10000,1,false,0,USD,-31.244707874682476,66888876,1719009.278,USD,,-0.0215,-290.90909090909093,0.0,Industrial services,Industrial Services,america,,17.6351390043522
20,NASDAQ:SAFX,SAFX,XCF GLOBAL INC,,streaming,stock,['common'],52.50526315789474,23.8,100,1,false,0,USD,-34.290447266703474,152629,135941363.6,USD,,-0.569,-70.66586682663467,0.0,Finance,Finance,america,,16.679671278386117
21,NYSE:BODI,BODI,"The Beachbody Company, Inc.",the-beachbody-company,streaming,stock,['common'],52.32824640840741,4.6,100,1,false,0,USD,26.72176308539944,1335667,32223998.56749311,USD,,-9.2243,57.68262080292138,0.0,Consumer services,Consumer Services,america,1.5,85.39305944480674
22,NASDAQ:MSW,MSW,Ming Shing Group Holdings Limited,ming-shing-limited,streaming,stock,['common'],51.29789864029667,4.39,100,1,false,0,USD,-11.491935483870975,786234,56960249.99999999,USD,190.04329004329003,0.0231,,0.0,Industrial services,Industrial Services,america,,9.915766294662845
23,NASDAQ:NTCL,NTCL,NETCLASS TECHNOLOGY INC,netclass-technology,streaming,stock,['common'],50.73170731707317,2.13,100,1,false,0,USD,1.428571428571419,2212526,33568799.99999999,USD,,-0.0842,-1015.2173913043479,0.0,Technology services,Technology Services,america,,3.497619117627066
24,NASDAQ:CTXR,CTXR,"Citius Pharmaceuticals, Inc.",citius-pharmaceuticals,streaming,stock,['common'],50.25224830006581,1.06,100,1,false,0,USD,-22.627737226277375,5765599,10907755.138686132,USD,,-5.7316,3.166075350565963,0.0,Health technology,Health Technology,america,1.333333,0.5556611185933653
25,NASDAQ:CMTL,CMTL,Comtech Telecommunications Corp.,comtech,streaming,stock,['common'],48.538011695906434,2.08,100,1,false,0,USD,-18.11023622047244,1894088,61040926.36220473,USD,,-10.0489,-615.3260250569476,0.0,Electronic technology,Electronic Technology,america,1.5,6.959966252713672
26,NASDAQ:IRWD,IRWD,"Ironwood Pharmaceuticals, Inc.",ironwood-pharmaceuticals,streaming,stock,['common'],47.22413793103449,0.7991,10000,1,false,0,USD,36.34192117386113,12638164,129310229.74833648,USD,,-0.195,97.12728344136711,0.0,Health technology,Health Technology,america,2.0,5.172367165037707
27,NASDAQ:HKPD,HKPD,Hong Kong Pharma Digital Technology Holdings Limited,hong-kong-pharma-digital-technology-limited,streaming,stock,['common'],46.51162790697674,1.98,100,1,false,0,USD,-7.906976744186044,2292964,,USD,,,,,Transportation,Transportation,america,,0.4115317198033411
28,NASDAQ:TNMG,TNMG,TNL Mediagene,tnl-mediagene,streaming,stock,['common'],46.47169811320754,0.6443,10000,1,false,0,USD,23.028451403475255,3784335,18224111.1919,USD,,-3.2534,-10462.987012987012,0.0,Technology services,Technology Services,america,1.0,13.077927387296667
29,NASDAQ:AQMS,AQMS,"Aqua Metals, Inc.",aqua-metals,streaming,stock,['common'],43.956043956043956,0.98,10000,1,false,0,USD,10.112359550561795,3476996,8718422.449438201,USD,,-3.7479,23.97151898734177,0.0,Non-energy minerals,Non-Energy Minerals,america,1.0,12.230966789210989
30,NASDAQ:NWTN,NWTN,NWTN Inc.,nwtn,streaming,stock,['common'],43.38993710691823,2.01,100,1,false,0,USD,25.624999999999982,1202660,587321399.5124999,USD,,,,0.0,Consumer durables,Consumer Durables,america,,2.3537438238346065
31,NASDAQ:NKTR,NKTR,Nektar Therapeutics,,streaming,stock,['common'],42.41879683622451,11.35,100,1,false,0,USD,29.12400455062572,1426719,140818383.4357224,USD,,-9.5264,30.931579748707644,0.0,Health technology,Health Technology,america,1.375,7.146819474756052
32,NYSE:RFL,RFL,"Rafael Holdings, Inc.",rafael,streaming,stock,['common'],41.77777777777778,2.85,100,1,false,0,USD,26.66666666666667,3082420,145026465.46666667,USD,,-2.0839,-2622.8813559322034,0.0,Finance,Finance,america,,12.732979292932631
33,NYSE:LVWR,LVWR,"LiveWire Group, Inc.",livewire,streaming,stock,['common'],41.6382252559727,7.48,100,1,false,0,USD,25.08361204013378,2662860,1522675468.695652,USD,,-0.4405,20.32917344908663,0.0,Consumer durables,Consumer Durables,america,,0.11284563265733946
34,NASDAQ:SSII,SSII,SS Innovations International Inc.,ss-innovations-international,streaming,stock,['common'],39.75609756097563,4.2,100,1,false,0,USD,-8.296943231441045,127569,813136674.3668122,USD,,-0.0862,57.536945812807886,0.0,Health technology,Health Technology,america,,1.3237280924759522
