,ticker,name,description,logoid,update_mode,type,typespecs,Volatility.D,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
72,NASDAQ:WETO,WETO,Webus International Limited,webus-international-limited,streaming,stock,['common'],28.94906511927789,1.96,100,1,false,0,USD,17.365269461077848,115082,43120000.00000001,USD,,-0.0168,86.24078624078625,0.0,Transportation,Transportation,america,,2.414209773309894
73,NASDAQ:REVB,REVB,"Revelation Biosciences, Inc.",,streaming,stock,['common'],28.947368421052648,1.93,100,1,false,0,USD,-14.977973568281941,424174,1860126.348017621,USD,,-102.5651,79.17646781750754,0.0,Health technology,Health Technology,america,1.0,10.772782453663021
74,NASDAQ:SAIH,SAIH,SAIHEAT Limited,,streaming,stock,['common'],28.453195882993775,6.305,100,1,false,0,USD,-3.519510328997711,93945,67364024.7559296,USD,,-3.4401,47.10142698978964,0.0,Technology services,Technology Services,america,,2.054084664714873
75,NASDAQ:ITOS,ITOS,"iTeos Therapeutics, Inc.",iteos-therapeutics,streaming,stock,['common'],28.34170854271357,10.06,100,1,false,0,USD,17.936694021102007,13613451,385034376.1078546,USD,,-3.2269,14.600645741809132,0.0,Health technology,Health Technology,america,1.833333,4.446089432511885
76,AMEX:MTNB,MTNB,"Matinas Biopharma Holdings, Inc.",matinas-biopharma,streaming,stock,['common'],28.004012533943925,0.85,10000,1,false,0,USD,6.249999999999992,743139,4323937.25,USD,,-3.9789,25.634987384356606,0.0,Health technology,Health Technology,america,,4.375477650378175
77,AMEX:DDC,DDC,DDC Enterprise Limited,,streaming,stock,['common'],27.294685990338163,5.18,100,1,false,0,USD,24.519230769230756,116665,20982878.77403846,USD,,,,0.0,Technology services,Technology Services,america,,0.9531571056834847
78,NYSE:JOBY,JOBY,"Joby Aviation, Inc.",joby-aviation,streaming,stock,['common'],27.284105131414275,8.86,100,1,false,0,USD,28.779069767441857,98587528,7015330703.68314,USD,,-0.8294,-10.4835486878913,0.0,Electronic technology,Electronic Technology,america,1.777778,7.998433536595779
79,NASDAQ:ICCM,ICCM,IceCure Medical Ltd.,icecure-medical,streaming,stock,['common'],26.95202786203796,1.03,100,1,false,0,USD,-8.849557522123883,606215,58266070.0,USD,,-0.3011,6.228589224540647,0.0,Health technology,Health Technology,america,1.0,2.9571045092532837
80,NASDAQ:BGM,BGM,BGM Group Ltd.,qilian-international-ltd,streaming,stock,['common'],26.782608695652176,11.575,100,1,false,0,USD,-18.885774351786967,42476,1687573007.641906,USD,,-0.2454,-12.775735294117657,0.0,Health technology,Health Technology,america,,5.220362313497031
81,NASDAQ:EYPT,EYPT,"EyePoint Pharmaceuticals, Inc.",eyepoint-pharmaceuticals,streaming,stock,['common'],26.63829787234043,7.04,100,1,false,0,USD,18.120805369127517,2529665,484434632.5906041,USD,,-2.4077,-31.80598894180764,0.0,Health technology,Health Technology,america,1.038462,3.3342401558680286
82,NYSE:ANVS,ANVS,"Annovis Bio, Inc.",annovis-bio,streaming,stock,['common'],26.470588235294116,2.43,100,1,false,0,USD,19.117647058823536,1431606,47351539.85294118,USD,,-2.2135,56.85857955874328,0.0,Health technology,Health Technology,america,1.25,3.467535468456847
83,NASDAQ:SLE,SLE,"Super League Enterprise, Inc.",super-league-enterprise,streaming,stock,['common'],26.463535911602207,0.228899,10000,1,false,0,USD,18.66200103680664,4949701,5535568.108926905,USD,,-1.8379,81.30961823987633,0.0,Technology services,Technology Services,america,1.0,3.060888522631969
84,NASDAQ:MSW,MSW,Ming Shing Group Holdings Limited,ming-shing-limited,streaming,stock,['common'],26.27551020408164,4.22,100,1,false,0,USD,-12.809917355371903,127597,54754500.0,USD,182.6839826839827,0.0231,,0.0,Industrial services,Industrial Services,america,,1.7673032893944074
85,NASDAQ:ABVE,ABVE,Above Food Ingredients Inc.,above-food-ingredients,streaming,stock,['common'],26.273510971786838,1.15,100,1,false,0,USD,-8.730158730158738,294761,32812621.428571425,USD,,,,0.0,Consumer non-durables,Consumer Non-Durables,america,,0.7032607894311781
