,ticker,name,description,logoid,update_mode,type,typespecs,relative_volume_10d_calc,close,pricescale,minmov,fractional,minmove2,currency,change,volume,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark
53,NASDAQ:BTOC,BTOC,Armlogi Holding Corp.,armlogi,delayed_streaming_900,stock,['common'],5.62759090190739,1.5,100,1,false,0,USD,-10.714285714285712,92584,63168039.0,USD,,-0.2353,,0.0,Transportation,Transportation,america,2.0
54,AMEX:SER,SER,"Serina Therapeutics, Inc.",agex-therapeutics,delayed_streaming_900,stock,['common'],5.53570337559187,5.965,100,1,false,0,USD,4.374453193350831,144969,59455426.188101485,USD,,,,0.0,Commercial services,Commercial Services,america,1.0
55,NASDAQ:MBRX,MBRX,"Moleculin Biotech, Inc.",moleculin-biotech,delayed_streaming_900,stock,['common'],5.495154875041857,0.7144,10000,1,false,0,USD,29.820098128293658,18515926,21580233.780846808,USD,,-5.7957,55.35931602865285,0.0,Health technology,Health Technology,america,1.0
56,AMEX:NEN,NEN,New England Realty Associates Limited Partnership,new-england-realty-associates-limited-partnership,delayed_streaming_900,stock,['common'],5.456524894759762,72.26,100,1,false,0,USD,-2.0203389830508405,3759,252955528.92901993,USD,15.839544059622973,4.562,58.89933820968305,2.18400218400218,Finance,Finance,america,
57,NASDAQ:ADD,ADD,"Color Star Technology Co., Ltd.",color-star-technology-co-ltd,delayed_streaming_900,stock,['common'],5.454146606843056,0.8573,10000,1,false,0,USD,-3.118996496779305,932370,25277106.366821107,USD,,-35.5873,85.46448556140996,0.0,Technology services,Technology Services,america,
58,NYSE:UPS,UPS,"United Parcel Service, Inc.",united-parcel,delayed_streaming_900,stock,['common'],5.4268766710761085,90.84,100,1,false,0,USD,-10.57294743059657,26112204,76923111338.21382,USD,13.504995242626071,6.7264,9.782928023502532,6.43827525103367,Transportation,Transportation,america,1.558824
59,NASDAQ:SGBX,SGBX,Safe & Green Holdings Corp.,sg-blocks,delayed_streaming_900,stock,['common'],5.3143976290048505,0.61,10000,1,false,0,USD,1.1440888741502266,920417,7393597.496269276,USD,,-7.7455,77.03948538566432,0.0,Producer manufacturing,Producer Manufacturing,america,
60,AMEX:ACCS,ACCS,ACCESS Newswire Inc.,issuer-direct,delayed_streaming_900,stock,['common'],5.289730129153875,11.9,100,1,false,0,USD,-0.8333333333333304,68721,45788141.7,USD,,-1.375,-779.0123456790124,0.0,Technology services,Technology Services,america,1.0
61,NASDAQ:GLE,GLE,Global Engine Group Holding Limited,global-engine-limited,delayed_streaming_900,stock,['common'],5.279943312473034,1.1,100,1,false,0,USD,-62.96296296296296,1899335,68131798.0,USD,244.44444444444449,0.0045,-61.20689655172414,0.0,Technology services,Technology Services,america,
62,NASDAQ:SILO,SILO,"Silo Pharma, Inc.",silo-pharma,delayed_streaming_900,stock,['common'],5.220609720463621,0.691,10000,1,false,0,USD,3.823905040943577,3264240,4980584.3077154225,USD,,-1.1371,5.154725164734346,0.0,Health technology,Health Technology,america,
63,NASDAQ:BAND,BAND,Bandwidth Inc.,bandwidth,delayed_streaming_900,stock,['common'],5.207514803583993,13.205,100,1,false,0,USD,-18.537939543491674,1338148,393019254.98025906,USD,,-0.3427,58.9384136113108,0.0,Technology services,Technology Services,america,1.666667
64,NASDAQ:CRDF,CRDF,"Cardiff Oncology, Inc.",cardiff-oncology,delayed_streaming_900,stock,['common'],5.1994482275358695,3.31,100,1,false,0,USD,-11.260053619302948,9936926,220200559.50670242,USD,,-0.9315,-3.3851276359600413,0.0,Health technology,Health Technology,america,1.125
