,ticker,name,description,logoid,update_mode,type,typespecs,market_cap_basicfundamental_currency_code,close,pricescale,minmov,fractional,minmove2,currency,change,volume,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,sector,market,recommendation_mark,relative_volume_10d_calc
87,NASDAQ:GRAL,GRAL,"GRAIL, Inc.",grail,delayed_streaming_900,stock,['common'],,34.12,100,1,false,0,USD,-10.844003135615377,1580332,,-60.804,-26.630151821229976,0.0,Health technology,Health Technology,america,1.75,1.4189897442960964
88,NASDAQ:MBIN,MBIN,Merchants Bancorp,merchants-bancorp,delayed_streaming_900,stock,['common'],,31.26,100,1,false,0,USD,-10.838562464346834,237696,6.880764235874183,4.5431,-30.771809523809523,1.08385624643468,Finance,Finance,america,1.5,1.6032721601977105
89,NASDAQ:INKT,INKT,"MiNK Therapeutics, Inc.",mink-therapeutics,delayed_streaming_900,stock,['common'],,16.7,100,1,false,0,USD,-10.742918225547843,155739,,-2.5049,58.0031855142929,0.0,Health technology,Health Technology,america,1.666667,0.2425472389244252
90,AMEX:LUD,LUD,Luda Technology Group Limited,luda-technology-limited,delayed_streaming_900,stock,['common'],,5.0,100,1,false,0,USD,-10.714285714285708,28254,,,,,Non-energy minerals,Non-Energy Minerals,america,,0.5412208213132277
91,NASDAQ:BBLG,BBLG,Bone Biologics Corp,bone-biologics,delayed_streaming_900,stock,['common'],,2.67,100,1,false,0,USD,-10.702341137123755,103291,,-23.2454,82.87959580485506,0.0,Health technology,Health Technology,america,,1.6256059175322632
92,NYSE:CARR,CARR,Carrier Global Corporation,carrier-global-corporation,delayed_streaming_900,stock,['common'],,71.67,100,1,false,0,USD,-10.613619356447998,13098846,28.848011592336178,2.4844,-33.87805072791632,1.03517086555251,Producer manufacturing,Producer Manufacturing,america,1.518519,2.9611619791374317
93,NYSE:UPS,UPS,"United Parcel Service, Inc.",united-parcel,delayed_streaming_900,stock,['common'],,90.84,100,1,false,0,USD,-10.57294743059657,26112204,13.504995242626071,6.7264,9.782928023502532,6.43827525103367,Transportation,Transportation,america,1.558824,5.4268766710761085
94,NASDAQ:SABS,SABS,"SAB Biotherapeutics, Inc.",sab-biotherapeutics,delayed_streaming_900,stock,['common'],,2.265,100,1,false,0,USD,-10.474308300395245,218465,,-3.6973,45.13252010803431,0.0,Health technology,Health Technology,america,1.0,0.025748788051402578
95,NASDAQ:DFDV,DFDV,DeFi Development Corp.,janover,delayed_streaming_900,stock,['common'],,16.07,100,1,false,0,USD,-10.47353760445682,3064116,,-0.2584,51.42857142857142,0.0,Finance,Finance,america,1.0,1.0680072112853414
96,NASDAQ:OUST,OUST,"Ouster, Inc.",ouster,delayed_streaming_900,stock,['common'],,23.215,100,1,false,0,USD,-10.47049749325106,2961597,,-1.9648,64.81249328414341,0.0,Electronic technology,Electronic Technology,america,1.333333,0.9103715885084284
97,NASDAQ:SHFS,SHFS,"SHF Holdings, Inc.",shf,delayed_streaming_900,stock,['common'],,2.95,100,1,false,0,USD,-10.470409711684363,7803,,-18.2137,-2048.406076166025,0.0,Finance,Finance,america,,0.3428895353435927
98,NYSE:BRO,BRO,"Brown & Brown, Inc.",brown-and-brown,delayed_streaming_900,stock,['common'],,91.91,100,1,false,0,USD,-10.40163774614935,10471457,26.50383528461849,3.4678,-0.18134193028410156,0.565412361084032,Finance,Finance,america,1.75,3.7062196471610607
99,NASDAQ:ABTS,ABTS,Abits Group Inc,abits,delayed_streaming_900,stock,['common'],,4.23,100,1,false,0,USD,-10.381355932203377,43156,,-0.3837,92.77346692782884,0.0,Technology services,Technology Services,america,,2.4663672004480586
